rl	V(vo)
1.000000000000000e-01	1.278781e-01
2.000000000000000e-01	2.530665e-01
3.000000000000000e-01	3.756345e-01
4.000000000000000e-01	4.956470e-01
5.000000000000000e-01	6.131702e-01
6.000000000000000e-01	7.282665e-01
7.000000000000000e-01	8.409984e-01
7.999999999999999e-01	9.514207e-01
8.999999999999999e-01	1.059594e+00
9.999999999999999e-01	1.165573e+00
1.100000000000000e+00	1.269413e+00
1.200000000000000e+00	1.371166e+00
1.300000000000000e+00	1.470882e+00
1.400000000000000e+00	1.568612e+00
1.500000000000000e+00	1.664403e+00
1.600000000000000e+00	1.758303e+00
1.700000000000000e+00	1.850359e+00
1.800000000000000e+00	1.940608e+00
1.900000000000001e+00	2.029101e+00
2.000000000000000e+00	2.115877e+00
2.100000000000001e+00	2.200977e+00
2.200000000000001e+00	2.284440e+00
2.300000000000001e+00	2.366306e+00
2.400000000000001e+00	2.446611e+00
2.500000000000001e+00	2.525392e+00
2.600000000000001e+00	2.602685e+00
2.700000000000001e+00	2.678526e+00
2.800000000000001e+00	2.752939e+00
2.900000000000001e+00	2.825970e+00
3.000000000000001e+00	2.897645e+00
3.100000000000001e+00	2.967994e+00
3.200000000000002e+00	3.037050e+00
3.300000000000002e+00	3.104841e+00
3.400000000000002e+00	3.171398e+00
3.500000000000002e+00	3.236745e+00
3.600000000000002e+00	3.300904e+00
3.700000000000002e+00	3.363914e+00
3.800000000000002e+00	3.425794e+00
3.900000000000002e+00	3.486572e+00
4.000000000000002e+00	3.546269e+00
4.100000000000001e+00	3.604912e+00
4.200000000000001e+00	3.662523e+00
4.300000000000001e+00	3.719126e+00
4.400000000000000e+00	3.774736e+00
4.500000000000000e+00	3.829383e+00
4.600000000000000e+00	3.883087e+00
4.699999999999999e+00	3.935866e+00
4.799999999999999e+00	3.987740e+00
4.899999999999999e+00	4.038730e+00
4.999999999999998e+00	4.088854e+00
5.099999999999998e+00	4.138132e+00
5.199999999999998e+00	4.186579e+00
5.299999999999997e+00	4.234216e+00
5.399999999999997e+00	4.281058e+00
5.499999999999996e+00	4.327122e+00
5.599999999999996e+00	4.372425e+00
5.699999999999996e+00	4.416981e+00
5.799999999999995e+00	4.460804e+00
5.899999999999995e+00	4.503900e+00
5.999999999999995e+00	4.546263e+00
6.099999999999994e+00	4.587849e+00
6.199999999999994e+00	4.628520e+00
6.299999999999994e+00	4.667913e+00
6.399999999999993e+00	4.705216e+00
6.499999999999993e+00	4.739041e+00
6.599999999999993e+00	4.767923e+00
6.699999999999992e+00	4.791350e+00
6.799999999999992e+00	4.809980e+00
6.899999999999991e+00	4.824919e+00
6.999999999999991e+00	4.837154e+00
7.099999999999991e+00	4.847409e+00
7.199999999999990e+00	4.856189e+00
7.299999999999990e+00	4.863842e+00
7.399999999999990e+00	4.870613e+00
7.499999999999989e+00	4.876678e+00
7.599999999999989e+00	4.882167e+00
7.699999999999989e+00	4.887178e+00
7.799999999999988e+00	4.891785e+00
7.899999999999988e+00	4.896046e+00
7.999999999999988e+00	4.900008e+00
8.099999999999987e+00	4.903710e+00
8.199999999999987e+00	4.907193e+00
8.299999999999986e+00	4.910460e+00
8.399999999999986e+00	4.913543e+00
8.499999999999986e+00	4.916461e+00
8.599999999999985e+00	4.919230e+00
8.699999999999985e+00	4.921864e+00
8.799999999999985e+00	4.924374e+00
8.899999999999984e+00	4.926769e+00
8.999999999999984e+00	4.929060e+00
9.099999999999984e+00	4.931254e+00
9.199999999999983e+00	4.933358e+00
9.299999999999983e+00	4.935378e+00
9.399999999999983e+00	4.937320e+00
9.499999999999982e+00	4.939189e+00
9.599999999999982e+00	4.940989e+00
9.699999999999982e+00	4.942725e+00
9.799999999999981e+00	4.944401e+00
9.899999999999981e+00	4.946020e+00
9.999999999999980e+00	4.947585e+00
1.009999999999998e+01	4.949099e+00
1.019999999999998e+01	4.950570e+00
1.029999999999998e+01	4.951985e+00
1.039999999999998e+01	4.953361e+00
1.049999999999998e+01	4.954697e+00
1.059999999999998e+01	4.955992e+00
1.069999999999998e+01	4.957250e+00
1.079999999999998e+01	4.958473e+00
1.089999999999998e+01	4.959661e+00
1.099999999999998e+01	4.960817e+00
1.109999999999998e+01	4.961941e+00
1.119999999999998e+01	4.963036e+00
1.129999999999998e+01	4.964102e+00
1.139999999999998e+01	4.965140e+00
1.149999999999998e+01	4.966155e+00
1.159999999999997e+01	4.967140e+00
1.169999999999997e+01	4.968102e+00
1.179999999999997e+01	4.969040e+00
1.189999999999997e+01	4.969956e+00
1.199999999999997e+01	4.970851e+00
1.209999999999997e+01	4.971725e+00
1.219999999999997e+01	4.972578e+00
