vreg	V(vo)
0.000000000000000e+00	7.995937e-11
1.000000000000000e-02	9.832128e-08
2.000000000000000e-02	2.159626e-07
3.000000000000000e-02	3.569097e-07
4.000000000000000e-02	5.258854e-07
5.000000000000000e-02	7.286123e-07
6.000000000000000e-02	9.720418e-07
7.000000000000001e-02	1.264641e-06
8.000000000000000e-02	1.616758e-06
9.000000000000000e-02	2.041082e-06
9.999999999999999e-02	2.553239e-06
1.100000000000000e-01	3.172558e-06
1.200000000000000e-01	3.923064e-06
1.300000000000000e-01	4.834784e-06
1.400000000000000e-01	5.945462e-06
1.500000000000000e-01	7.302837e-06
1.600000000000000e-01	8.967682e-06
1.700000000000000e-01	1.101788e-05
1.800000000000000e-01	1.355391e-05
1.900000000000000e-01	1.670633e-05
2.000000000000000e-01	2.064586e-05
2.100000000000000e-01	2.559719e-05
2.200000000000001e-01	3.185789e-05
2.300000000000001e-01	3.982419e-05
2.400000000000001e-01	5.002637e-05
2.500000000000001e-01	6.317712e-05
2.600000000000001e-01	8.023762e-05
2.700000000000001e-01	1.025076e-04
2.800000000000001e-01	1.317471e-04
2.900000000000001e-01	1.703406e-04
3.000000000000001e-01	2.215152e-04
3.100000000000001e-01	2.896271e-04
3.200000000000001e-01	3.805313e-04
3.300000000000001e-01	5.020443e-04
3.400000000000001e-01	6.645041e-04
3.500000000000001e-01	8.814100e-04
3.600000000000002e-01	1.170096e-03
3.700000000000002e-01	1.552340e-03
3.800000000000002e-01	2.054752e-03
3.900000000000002e-01	2.708740e-03
4.000000000000002e-01	3.549805e-03
4.100000000000002e-01	4.616022e-03
4.200000000000002e-01	5.945702e-03
4.300000000000002e-01	7.574499e-03
4.400000000000002e-01	9.532475e-03
4.500000000000002e-01	1.184173e-02
4.600000000000002e-01	1.451505e-02
4.700000000000003e-01	1.755584e-02
4.800000000000003e-01	2.095903e-02
4.900000000000003e-01	2.471275e-02
5.000000000000002e-01	2.880021e-02
5.100000000000002e-01	3.320155e-02
5.200000000000002e-01	3.789533e-02
5.300000000000002e-01	4.285982e-02
5.400000000000003e-01	4.807369e-02
5.500000000000003e-01	5.351667e-02
5.600000000000003e-01	5.916979e-02
5.700000000000003e-01	6.501553e-02
5.800000000000003e-01	7.103789e-02
5.900000000000003e-01	7.722231e-02
6.000000000000003e-01	8.355559e-02
6.100000000000003e-01	9.002586e-02
6.200000000000003e-01	9.662233e-02
6.300000000000003e-01	1.033353e-01
6.400000000000003e-01	1.101561e-01
6.500000000000004e-01	1.170769e-01
6.600000000000004e-01	1.240903e-01
6.700000000000004e-01	1.311901e-01
6.800000000000004e-01	1.383703e-01
6.900000000000004e-01	1.456256e-01
7.000000000000004e-01	1.529513e-01
7.100000000000004e-01	1.603428e-01
7.200000000000004e-01	1.677961e-01
7.300000000000004e-01	1.753076e-01
7.400000000000004e-01	1.828738e-01
7.500000000000004e-01	1.904917e-01
7.600000000000005e-01	1.981584e-01
7.700000000000005e-01	2.058713e-01
7.800000000000005e-01	2.136279e-01
7.900000000000005e-01	2.214259e-01
8.000000000000005e-01	2.292634e-01
8.100000000000005e-01	2.371383e-01
8.200000000000005e-01	2.450489e-01
8.300000000000005e-01	2.529934e-01
8.400000000000005e-01	2.609704e-01
8.500000000000005e-01	2.689783e-01
8.600000000000005e-01	2.770158e-01
8.700000000000006e-01	2.850816e-01
8.800000000000006e-01	2.931746e-01
8.900000000000006e-01	3.012935e-01
9.000000000000006e-01	3.094374e-01
9.100000000000006e-01	3.176052e-01
9.200000000000006e-01	3.257960e-01
9.300000000000006e-01	3.340090e-01
9.400000000000006e-01	3.422432e-01
9.500000000000006e-01	3.504980e-01
9.600000000000006e-01	3.587725e-01
9.700000000000006e-01	3.670661e-01
9.800000000000006e-01	3.753781e-01
9.900000000000007e-01	3.837078e-01
1.000000000000001e+00	3.920547e-01
1.010000000000001e+00	4.004181e-01
1.020000000000001e+00	4.087977e-01
1.030000000000001e+00	4.171927e-01
1.040000000000001e+00	4.256028e-01
1.050000000000001e+00	4.340274e-01
1.060000000000001e+00	4.424661e-01
1.070000000000001e+00	4.509186e-01
1.080000000000001e+00	4.593843e-01
1.090000000000001e+00	4.678628e-01
1.100000000000001e+00	4.763539e-01
1.110000000000001e+00	4.848572e-01
1.120000000000001e+00	4.933723e-01
1.130000000000001e+00	5.018988e-01
1.140000000000001e+00	5.104366e-01
1.150000000000001e+00	5.189852e-01
1.160000000000001e+00	5.275444e-01
1.170000000000001e+00	5.361139e-01
1.180000000000001e+00	5.446934e-01
1.190000000000001e+00	5.532826e-01
1.200000000000001e+00	5.618815e-01
1.210000000000001e+00	5.704896e-01
1.220000000000001e+00	5.791067e-01
1.230000000000001e+00	5.877327e-01
1.240000000000001e+00	5.963674e-01
1.250000000000001e+00	6.050104e-01
1.260000000000001e+00	6.136617e-01
1.270000000000001e+00	6.223210e-01
1.280000000000001e+00	6.309882e-01
1.290000000000001e+00	6.396630e-01
1.300000000000001e+00	6.483453e-01
1.310000000000001e+00	6.570349e-01
1.320000000000001e+00	6.657317e-01
1.330000000000001e+00	6.744356e-01
1.340000000000001e+00	6.831462e-01
1.350000000000001e+00	6.918637e-01
1.360000000000001e+00	7.005876e-01
1.370000000000001e+00	7.093180e-01
1.380000000000001e+00	7.180547e-01
1.390000000000001e+00	7.267976e-01
1.400000000000001e+00	7.355465e-01
1.410000000000001e+00	7.443013e-01
1.420000000000001e+00	7.530620e-01
1.430000000000001e+00	7.618283e-01
1.440000000000001e+00	7.706003e-01
1.450000000000001e+00	7.793776e-01
1.460000000000001e+00	7.881604e-01
1.470000000000001e+00	7.969485e-01
1.480000000000001e+00	8.057417e-01
1.490000000000001e+00	8.145400e-01
1.500000000000001e+00	8.233432e-01
1.510000000000001e+00	8.321514e-01
1.520000000000001e+00	8.409643e-01
1.530000000000001e+00	8.497820e-01
1.540000000000001e+00	8.586043e-01
1.550000000000001e+00	8.674312e-01
1.560000000000001e+00	8.762624e-01
1.570000000000001e+00	8.850982e-01
1.580000000000001e+00	8.939381e-01
1.590000000000001e+00	9.027824e-01
1.600000000000001e+00	9.116308e-01
1.610000000000001e+00	9.204834e-01
1.620000000000001e+00	9.293399e-01
1.630000000000001e+00	9.382004e-01
1.640000000000001e+00	9.470648e-01
1.650000000000001e+00	9.559330e-01
1.660000000000001e+00	9.648051e-01
1.670000000000001e+00	9.736808e-01
1.680000000000001e+00	9.825602e-01
1.690000000000001e+00	9.914431e-01
1.700000000000001e+00	1.000330e+00
1.710000000000001e+00	1.009220e+00
1.720000000000001e+00	1.018113e+00
1.730000000000001e+00	1.027010e+00
1.740000000000001e+00	1.035910e+00
1.750000000000001e+00	1.044813e+00
1.760000000000001e+00	1.053720e+00
1.770000000000001e+00	1.062630e+00
1.780000000000001e+00	1.071543e+00
1.790000000000001e+00	1.080459e+00
1.800000000000001e+00	1.089378e+00
1.810000000000001e+00	1.098300e+00
1.820000000000001e+00	1.107225e+00
1.830000000000001e+00	1.116152e+00
1.840000000000001e+00	1.125083e+00
1.850000000000001e+00	1.134017e+00
1.860000000000001e+00	1.142953e+00
1.870000000000001e+00	1.151892e+00
1.880000000000001e+00	1.160834e+00
1.890000000000001e+00	1.169778e+00
1.900000000000001e+00	1.178725e+00
1.910000000000001e+00	1.187675e+00
1.920000000000001e+00	1.196627e+00
1.930000000000001e+00	1.205582e+00
1.940000000000002e+00	1.214539e+00
1.950000000000002e+00	1.223499e+00
1.960000000000002e+00	1.232461e+00
1.970000000000002e+00	1.241426e+00
1.980000000000002e+00	1.250393e+00
1.990000000000002e+00	1.259362e+00
2.000000000000001e+00	1.268333e+00
2.010000000000001e+00	1.277307e+00
2.020000000000001e+00	1.286283e+00
