Freq.	V(vo)/V(vp)
1.00000000000000e-01	(5.37406743353985e+01dB,-1.75537996630319e+02°)
1.01157945425990e-01	(5.37412727412219e+01dB,-1.75588872358885e+02°)
1.02329299228075e-01	(5.37418576053360e+01dB,-1.75639172596709e+02°)
1.03514216667934e-01	(5.37424292324217e+01dB,-1.75688903700875e+02°)
1.04712854805090e-01	(5.37429879203853e+01dB,-1.75738071963438e+02°)
1.05925372517729e-01	(5.37435339605027e+01dB,-1.75786683611911e+02°)
1.07151930523761e-01	(5.37440676375653e+01dB,-1.75834744809759e+02°)
1.08392691402120e-01	(5.37445892300208e+01dB,-1.75882261656884e+02°)
1.09647819614319e-01	(5.37450990101105e+01dB,-1.75929240190130e+02°)
1.10917481526240e-01	(5.37455972440065e+01dB,-1.75975686383772e+02°)
1.12201845430196e-01	(5.37460841919424e+01dB,-1.76021606150016e+02°)
1.13501081567232e-01	(5.37465601083441e+01dB,-1.76067005339503e+02°)
1.14815362149688e-01	(5.37470252419572e+01dB,-1.76111889741805e+02°)
1.16144861384034e-01	(5.37474798359697e+01dB,-1.76156265085931e+02°)
1.17489755493953e-01	(5.37479241281358e+01dB,-1.76200137040828e+02°)
1.18850222743702e-01	(5.37483583508938e+01dB,-1.76243511215886e+02°)
1.20226443461741e-01	(5.37487827314834e+01dB,-1.76286393161440e+02°)
1.21618600064637e-01	(5.37491974920593e+01dB,-1.76328788369275e+02°)
1.23026877081238e-01	(5.37496028498040e+01dB,-1.76370702273129e+02°)
1.24451461177139e-01	(5.37499990170355e+01dB,-1.76412140249199e+02°)
1.25892541179417e-01	(5.37503862013177e+01dB,-1.76453107616641e+02°)
1.27350308101666e-01	(5.37507646055613e+01dB,-1.76493609638074e+02°)
1.28824955169314e-01	(5.37511344281290e+01dB,-1.76533651520081e+02°)
1.30316677845230e-01	(5.37514958629348e+01dB,-1.76573238413712e+02°)
1.31825673855641e-01	(5.37518490995430e+01dB,-1.76612375414981e+02°)
1.33352143216333e-01	(5.37521943232635e+01dB,-1.76651067565367e+02°)
1.34896288259166e-01	(5.37525317152473e+01dB,-1.76689319852309e+02°)
1.36458313658893e-01	(5.37528614525767e+01dB,-1.76727137209702e+02°)
1.38038426460289e-01	(5.37531837083567e+01dB,-1.76764524518394e+02°)
1.39636836105594e-01	(5.37534986518034e+01dB,-1.76801486606675e+02°)
1.41253754462276e-01	(5.37538064483288e+01dB,-1.76838028250770e+02°)
1.42889395851111e-01	(5.37541072596267e+01dB,-1.76874154175326e+02°)
1.44543977074593e-01	(5.37544012437543e+01dB,-1.76909869053900e+02°)
1.46217717445672e-01	(5.37546885552132e+01dB,-1.76945177509442e+02°)
1.47910838816821e-01	(5.37549693450301e+01dB,-1.76980084114780e+02°)
1.49623565609444e-01	(5.37552437608301e+01dB,-1.77014593393098e+02°)
1.51356124843621e-01	(5.37555119469170e+01dB,-1.77048709818413e+02°)
1.53108746168203e-01	(5.37557740443440e+01dB,-1.77082437816055e+02°)
1.54881661891248e-01	(5.37560301909877e+01dB,-1.77115781763133e+02°)
1.56675107010815e-01	(5.37562805216188e+01dB,-1.77148745989010e+02°)
1.58489319246112e-01	(5.37565251679701e+01dB,-1.77181334775768e+02°)
1.60324539069005e-01	(5.37567642588051e+01dB,-1.77213552358676e+02°)
1.62181009735893e-01	(5.37569979199862e+01dB,-1.77245402926648e+02°)
1.64058977319954e-01	(5.37572262745358e+01dB,-1.77276890622706e+02°)
1.65958690743757e-01	(5.37574494427013e+01dB,-1.77308019544433e+02°)
1.67880401812256e-01	(5.37576675420197e+01dB,-1.77338793744428e+02°)
1.69824365246175e-01	(5.37578806873730e+01dB,-1.77369217230759e+02°)
1.71790838715759e-01	(5.37580889910529e+01dB,-1.77399293967406e+02°)
1.73780082874938e-01	(5.37582925628154e+01dB,-1.77429027874708e+02°)
1.75792361395870e-01	(5.37584915099380e+01dB,-1.77458422829804e+02°)
1.77827941003893e-01	(5.37586859372233e+01dB,-1.77487482667088e+02°)
1.79887091512879e-01	(5.37588759472649e+01dB,-1.77516211178579e+02°)
1.81970085860999e-01	(5.37590616401818e+01dB,-1.77544612114450e+02°)
1.84077200146896e-01	(5.37592431138826e+01dB,-1.77572689183392e+02°)
1.86208713666287e-01	(5.37594204640646e+01dB,-1.77600446053057e+02°)
1.88364908948981e-01	(5.37595937842606e+01dB,-1.77627886350477e+02°)
1.90546071796325e-01	(5.37597631658899e+01dB,-1.77655013662488e+02°)
1.92752491319094e-01	(5.37599286983056e+01dB,-1.77681831536144e+02°)
1.94984459975805e-01	(5.37600904688390e+01dB,-1.77708343479127e+02°)
1.97242273611486e-01	(5.37602485628475e+01dB,-1.77734552960159e+02°)
1.99526231496889e-01	(5.37604030637571e+01dB,-1.77760463409411e+02°)
2.01836636368157e-01	(5.37605540531073e+01dB,-1.77786078218897e+02°)
2.04173794466954e-01	(5.37607016105915e+01dB,-1.77811400742884e+02°)
2.06538015581054e-01	(5.37608458141014e+01dB,-1.77836434298279e+02°)
2.08929613085405e-01	(5.37609867397648e+01dB,-1.77861182165029e+02°)
