Freq.	V(vo)/V(vp)
1.00000000000000e-01	(5.62292696968762e+01dB,-1.74059864548567e+02°)
1.01157945425990e-01	(5.62303285985614e+01dB,-1.74127383120871e+02°)
1.02329299228075e-01	(5.62313636461956e+01dB,-1.74194144910811e+02°)
1.03514216667934e-01	(5.62323753716476e+01dB,-1.74260158042344e+02°)
1.04712854805090e-01	(5.62333642951727e+01dB,-1.74325430564321e+02°)
1.05925372517729e-01	(5.62343309256542e+01dB,-1.74389970450760e+02°)
1.07151930523761e-01	(5.62352757608427e+01dB,-1.74453785601136e+02°)
1.08392691402120e-01	(5.62361992875884e+01dB,-1.74516883840686e+02°)
1.09647819614319e-01	(5.62371019820722e+01dB,-1.74579272920730e+02°)
1.10917481526240e-01	(5.62379843100281e+01dB,-1.74640960519005e+02°)
1.12201845430196e-01	(5.62388467269651e+01dB,-1.74701954240004e+02°)
1.13501081567232e-01	(5.62396896783829e+01dB,-1.74762261615341e+02°)
1.14815362149688e-01	(5.62405135999836e+01dB,-1.74821890104114e+02°)
1.16144861384034e-01	(5.62413189178814e+01dB,-1.74880847093287e+02°)
1.17489755493953e-01	(5.62421060488033e+01dB,-1.74939139898079e+02°)
1.18850222743702e-01	(5.62428754002909e+01dB,-1.74996775762363e+02°)
1.20226443461741e-01	(5.62436273708954e+01dB,-1.75053761859073e+02°)
1.21618600064637e-01	(5.62443623503710e+01dB,-1.75110105290624e+02°)
1.23026877081238e-01	(5.62450807198610e+01dB,-1.75165813089332e+02°)
1.24451461177139e-01	(5.62457828520833e+01dB,-1.75220892217853e+02°)
1.25892541179417e-01	(5.62464691115111e+01dB,-1.75275349569614e+02°)
1.27350308101666e-01	(5.62471398545496e+01dB,-1.75329191969265e+02°)
1.28824955169314e-01	(5.62477954297100e+01dB,-1.75382426173130e+02°)
1.30316677845230e-01	(5.62484361777788e+01dB,-1.75435058869664e+02°)
1.31825673855641e-01	(5.62490624319857e+01dB,-1.75487096679914e+02°)
1.33352143216333e-01	(5.62496745181649e+01dB,-1.75538546157992e+02°)
1.34896288259166e-01	(5.62502727549163e+01dB,-1.75589413791543e+02°)
1.36458313658893e-01	(5.62508574537618e+01dB,-1.75639706002226e+02°)
1.38038426460289e-01	(5.62514289192986e+01dB,-1.75689429146189e+02°)
1.39636836105594e-01	(5.62519874493481e+01dB,-1.75738589514559e+02°)
1.41253754462276e-01	(5.62525333351079e+01dB,-1.75787193333925e+02°)
1.42889395851111e-01	(5.62530668612890e+01dB,-1.75835246766831e+02°)
1.44543977074593e-01	(5.62535883062614e+01dB,-1.75882755912267e+02°)
1.46217717445672e-01	(5.62540979421913e+01dB,-1.75929726806163e+02°)
1.47910838816821e-01	(5.62545960351760e+01dB,-1.75976165421890e+02°)
1.49623565609444e-01	(5.62550828453762e+01dB,-1.76022077670752e+02°)
1.51356124843621e-01	(5.62555586271487e+01dB,-1.76067469402494e+02°)
