rl	V(vo)
1.000000000000000e-01	9.094648e-01
2.000000000000000e-01	1.791463e+00
3.000000000000000e-01	2.647342e+00
4.000000000000000e-01	3.478354e+00
5.000000000000000e-01	4.285655e+00
6.000000000000000e-01	4.854890e+00
7.000000000000000e-01	4.928784e+00
7.999999999999999e-01	4.956480e+00
8.999999999999999e-01	4.972094e+00
9.999999999999999e-01	4.982149e+00
1.100000000000000e+00	4.989127e+00
1.200000000000000e+00	4.994221e+00
1.300000000000000e+00	4.998073e+00
1.400000000000000e+00	5.001116e+00
1.500000000000000e+00	5.003474e+00
1.600000000000000e+00	5.005416e+00
1.700000000000000e+00	5.007020e+00
1.800000000000000e+00	5.008361e+00
1.900000000000001e+00	5.009497e+00
2.000000000000000e+00	5.010475e+00
2.100000000000001e+00	5.011391e+00
2.200000000000001e+00	5.012035e+00
2.300000000000001e+00	5.012771e+00
2.400000000000001e+00	5.013248e+00
2.500000000000001e+00	5.013741e+00
2.600000000000001e+00	5.014288e+00
2.700000000000001e+00	5.014587e+00
2.800000000000001e+00	5.014948e+00
2.900000000000001e+00	5.015275e+00
3.000000000000001e+00	5.015573e+00
3.100000000000001e+00	5.015849e+00
3.200000000000002e+00	5.016096e+00
3.300000000000002e+00	5.016319e+00
3.400000000000002e+00	5.016529e+00
3.500000000000002e+00	5.016722e+00
3.600000000000002e+00	5.016901e+00
3.700000000000002e+00	5.017067e+00
3.800000000000002e+00	5.017221e+00
3.900000000000002e+00	5.017339e+00
4.000000000000002e+00	5.017476e+00
4.100000000000001e+00	5.017607e+00
4.200000000000001e+00	5.017731e+00
4.300000000000001e+00	5.017977e+00
4.400000000000000e+00	5.017947e+00
4.500000000000000e+00	5.018056e+00
4.600000000000000e+00	5.018150e+00
4.699999999999999e+00	5.018227e+00
4.799999999999999e+00	5.018319e+00
4.899999999999999e+00	5.018397e+00
4.999999999999998e+00	5.018388e+00
5.099999999999998e+00	5.018542e+00
5.199999999999998e+00	5.018609e+00
5.299999999999997e+00	5.018673e+00
5.399999999999997e+00	5.018734e+00
5.499999999999996e+00	5.018792e+00
5.599999999999996e+00	5.018847e+00
5.699999999999996e+00	5.018900e+00
5.799999999999995e+00	5.018951e+00
5.899999999999995e+00	5.018999e+00
5.999999999999995e+00	5.019045e+00
6.099999999999994e+00	5.019090e+00
6.199999999999994e+00	5.019133e+00
6.299999999999994e+00	5.019174e+00
6.399999999999993e+00	5.019232e+00
6.499999999999993e+00	5.019381e+00
6.599999999999993e+00	5.019288e+00
6.699999999999992e+00	5.019330e+00
6.799999999999992e+00	5.019454e+00
6.899999999999991e+00	5.019391e+00
6.999999999999991e+00	5.019421e+00
7.099999999999991e+00	5.019452e+00
7.199999999999990e+00	5.019590e+00
7.299999999999990e+00	5.019508e+00
7.399999999999990e+00	5.019536e+00
7.499999999999989e+00	5.019562e+00
7.599999999999989e+00	5.019588e+00
7.699999999999989e+00	5.019613e+00
7.799999999999988e+00	5.019637e+00
7.899999999999988e+00	5.019677e+00
7.999999999999988e+00	5.019684e+00
8.099999999999987e+00	5.019705e+00
8.199999999999987e+00	5.019726e+00
8.299999999999986e+00	5.019747e+00
8.399999999999986e+00	5.019767e+00
8.499999999999986e+00	5.019777e+00
8.599999999999985e+00	5.019839e+00
8.699999999999985e+00	5.019824e+00
8.799999999999985e+00	5.019842e+00
8.899999999999984e+00	5.019859e+00
8.999999999999984e+00	5.019876e+00
9.099999999999984e+00	5.019893e+00
9.199999999999983e+00	5.019909e+00
9.299999999999983e+00	5.019925e+00
9.399999999999983e+00	5.019940e+00
9.499999999999982e+00	5.019955e+00
9.599999999999982e+00	5.019969e+00
9.699999999999982e+00	5.019984e+00
9.799999999999981e+00	5.019998e+00
9.899999999999981e+00	5.020050e+00
9.999999999999980e+00	5.020024e+00
1.009999999999998e+01	5.020037e+00
1.019999999999998e+01	5.020050e+00
1.029999999999998e+01	5.020062e+00
1.039999999999998e+01	5.020074e+00
1.049999999999998e+01	5.020086e+00
1.059999999999998e+01	5.020098e+00
1.069999999999998e+01	5.020109e+00
1.079999999999998e+01	5.020120e+00
1.089999999999998e+01	5.020132e+00
1.099999999999998e+01	5.020158e+00
1.109999999999998e+01	5.020152e+00
1.119999999999998e+01	5.020162e+00
1.129999999999998e+01	5.020172e+00
1.139999999999998e+01	5.020181e+00
1.149999999999998e+01	5.020191e+00
1.159999999999997e+01	5.020200e+00
1.169999999999997e+01	5.020210e+00
1.179999999999997e+01	5.020324e+00
1.189999999999997e+01	5.020242e+00
1.199999999999997e+01	5.020284e+00
1.209999999999997e+01	5.020244e+00
1.219999999999997e+01	5.020291e+00
1.229999999999997e+01	5.020266e+00
1.239999999999997e+01	5.020271e+00
1.249999999999997e+01	5.020277e+00
1.259999999999997e+01	5.020284e+00
1.269999999999997e+01	5.020292e+00
1.279999999999997e+01	5.020299e+00
1.289999999999997e+01	5.020306e+00
1.299999999999997e+01	5.020313e+00
1.309999999999997e+01	5.020320e+00
1.319999999999997e+01	5.020328e+00
1.329999999999997e+01	5.020333e+00
1.339999999999997e+01	5.020341e+00
1.349999999999997e+01	5.020348e+00
1.359999999999997e+01	5.020354e+00
1.369999999999997e+01	5.020360e+00
1.379999999999997e+01	5.020371e+00
1.389999999999997e+01	5.020381e+00
1.399999999999997e+01	5.020379e+00
1.409999999999997e+01	5.020387e+00
1.419999999999997e+01	5.020391e+00
1.429999999999997e+01	5.020488e+00
1.439999999999996e+01	5.020405e+00
