vreg	V(vo)
0.000000000000000e+00	9.765663e-09
1.000000000000000e-02	1.200568e-05
2.000000000000000e-02	2.636370e-05
3.000000000000000e-02	4.355642e-05
4.000000000000000e-02	6.415402e-05
5.000000000000000e-02	8.884546e-05
6.000000000000000e-02	1.184649e-04
7.000000000000001e-02	1.540245e-04
8.000000000000000e-02	1.967549e-04
9.000000000000000e-02	2.481570e-04
9.999999999999999e-02	3.100658e-04
1.100000000000000e-01	3.847317e-04
1.200000000000000e-01	4.749232e-04
1.300000000000000e-01	5.840563e-04
1.400000000000000e-01	7.163585e-04
1.500000000000000e-01	8.770757e-04
1.600000000000000e-01	1.072729e-03
1.700000000000000e-01	1.311436e-03
1.800000000000000e-01	1.603294e-03
1.900000000000000e-01	1.960843e-03
2.000000000000000e-01	2.399578e-03
2.100000000000000e-01	2.938498e-03
2.200000000000001e-01	3.600625e-03
2.300000000000001e-01	4.413372e-03
2.400000000000001e-01	5.408633e-03
2.500000000000001e-01	6.622365e-03
2.600000000000001e-01	8.093498e-03
2.700000000000001e-01	9.862047e-03
2.800000000000001e-01	1.196650e-02
2.900000000000001e-01	1.444082e-02
3.000000000000001e-01	1.731154e-02
3.100000000000001e-01	2.059563e-02
3.200000000000001e-01	2.429954e-02
3.300000000000001e-01	2.841955e-02
3.400000000000001e-01	3.294312e-02
3.500000000000001e-01	3.785104e-02
3.600000000000002e-01	4.311955e-02
3.700000000000002e-01	4.872249e-02
3.800000000000002e-01	5.463287e-02
3.900000000000002e-01	6.082415e-02
4.000000000000002e-01	6.727101e-02
4.100000000000002e-01	7.394984e-02
4.200000000000002e-01	8.083896e-02
4.300000000000002e-01	8.791869e-02
4.400000000000002e-01	9.517132e-02
4.500000000000002e-01	1.025809e-01
4.600000000000002e-01	1.101333e-01
4.700000000000003e-01	1.178158e-01
4.800000000000003e-01	1.256170e-01
4.900000000000003e-01	1.335268e-01
5.000000000000002e-01	1.415364e-01
5.100000000000002e-01	1.496374e-01
5.200000000000002e-01	1.578228e-01
5.300000000000002e-01	1.660861e-01
5.400000000000003e-01	1.744214e-01
5.500000000000003e-01	1.828234e-01
5.600000000000003e-01	1.912875e-01
5.700000000000003e-01	1.998093e-01
5.800000000000003e-01	2.083849e-01
5.900000000000003e-01	2.170108e-01
6.000000000000003e-01	2.256838e-01
6.100000000000003e-01	2.344009e-01
6.200000000000003e-01	2.431595e-01
6.300000000000003e-01	2.519570e-01
6.400000000000003e-01	2.607913e-01
6.500000000000004e-01	2.696602e-01
6.600000000000004e-01	2.785619e-01
6.700000000000004e-01	2.874945e-01
6.800000000000004e-01	2.964564e-01
6.900000000000004e-01	3.054462e-01
7.000000000000004e-01	3.144623e-01
7.100000000000004e-01	3.235036e-01
7.200000000000004e-01	3.325687e-01
7.300000000000004e-01	3.416566e-01
7.400000000000004e-01	3.507662e-01
7.500000000000004e-01	3.598965e-01
7.600000000000005e-01	3.690466e-01
7.700000000000005e-01	3.782156e-01
7.800000000000005e-01	3.874028e-01
7.900000000000005e-01	3.966072e-01
8.000000000000005e-01	4.058284e-01
8.100000000000005e-01	4.150655e-01
8.200000000000005e-01	4.243179e-01
8.300000000000005e-01	4.335851e-01
8.400000000000005e-01	4.428664e-01
8.500000000000005e-01	4.521614e-01
8.600000000000005e-01	4.614695e-01
8.700000000000006e-01	4.707902e-01
8.800000000000006e-01	4.801232e-01
8.900000000000006e-01	4.894679e-01
9.000000000000006e-01	4.988239e-01
9.100000000000006e-01	5.081910e-01
9.200000000000006e-01	5.175686e-01
9.300000000000006e-01	5.269566e-01
9.400000000000006e-01	5.363544e-01
9.500000000000006e-01	5.457618e-01
9.600000000000006e-01	5.551785e-01
9.700000000000006e-01	5.646043e-01
9.800000000000006e-01	5.740387e-01
9.900000000000007e-01	5.834817e-01
1.000000000000001e+00	5.929329e-01
1.010000000000001e+00	6.023920e-01
1.020000000000001e+00	6.118589e-01
1.030000000000001e+00	6.213333e-01
1.040000000000001e+00	6.308150e-01
1.050000000000001e+00	6.403039e-01
1.060000000000001e+00	6.497996e-01
1.070000000000001e+00	6.593021e-01
1.080000000000001e+00	6.688111e-01
1.090000000000001e+00	6.783265e-01
1.100000000000001e+00	6.878481e-01
1.110000000000001e+00	6.973758e-01
1.120000000000001e+00	7.069093e-01
1.130000000000001e+00	7.164486e-01
1.140000000000001e+00	7.259935e-01
1.150000000000001e+00	7.355438e-01
1.160000000000001e+00	7.450995e-01
1.170000000000001e+00	7.546604e-01
1.180000000000001e+00	7.642264e-01
1.190000000000001e+00	7.737973e-01
1.200000000000001e+00	7.833731e-01
1.210000000000001e+00	7.929536e-01
1.220000000000001e+00	8.025388e-01
1.230000000000001e+00	8.121284e-01
1.240000000000001e+00	8.217225e-01
1.250000000000001e+00	8.313209e-01
