vreg	V(vo)
0.000000000000000e+00	1.090466e-11
1.000000000000000e-02	1.340883e-08
2.000000000000000e-02	2.945253e-08
3.000000000000000e-02	4.867472e-08
4.000000000000000e-02	7.171953e-08
5.000000000000000e-02	9.936746e-08
6.000000000000000e-02	1.325667e-07
7.000000000000001e-02	1.724721e-07
8.000000000000000e-02	2.204951e-07
9.000000000000000e-02	2.783667e-07
9.999999999999999e-02	3.482186e-07
1.100000000000000e-01	4.326876e-07
1.200000000000000e-01	5.350517e-07
1.300000000000000e-01	6.594079e-07
1.400000000000000e-01	8.109068e-07
1.500000000000000e-01	9.960640e-07
1.600000000000000e-01	1.223175e-06
1.700000000000000e-01	1.502874e-06
1.800000000000000e-01	1.848885e-06
1.900000000000000e-01	2.279042e-06
2.000000000000000e-01	2.816680e-06
2.100000000000000e-01	3.492528e-06
2.200000000000001e-01	4.347309e-06
2.300000000000001e-01	5.435301e-06
2.400000000000001e-01	6.829229e-06
2.500000000000001e-01	8.626996e-06
2.600000000000001e-01	1.096092e-05
2.700000000000001e-01	1.401041e-05
2.800000000000001e-01	1.801935e-05
2.900000000000001e-01	2.331978e-05
3.000000000000001e-01	3.036410e-05
3.100000000000001e-01	3.976854e-05
3.200000000000001e-01	5.237146e-05
3.300000000000001e-01	6.931063e-05
3.400000000000001e-01	9.212441e-05
3.500000000000001e-01	1.228821e-04
3.600000000000002e-01	1.643482e-04
3.700000000000002e-01	2.201842e-04
3.800000000000002e-01	2.951863e-04
3.900000000000002e-01	3.955538e-04
4.000000000000002e-01	5.291684e-04
4.100000000000002e-01	7.058551e-04
4.200000000000002e-01	9.375762e-04
4.300000000000002e-01	1.238498e-03
4.400000000000002e-01	1.624863e-03
4.500000000000002e-01	2.114611e-03
4.600000000000002e-01	2.726732e-03
4.700000000000003e-01	3.480376e-03
4.800000000000003e-01	4.393819e-03
4.900000000000003e-01	5.483420e-03
5.000000000000002e-01	6.762726e-03
5.100000000000002e-01	8.241861e-03
5.200000000000002e-01	9.927238e-03
5.300000000000002e-01	1.182162e-02
5.400000000000003e-01	1.392443e-02
5.500000000000003e-01	1.623227e-02
5.600000000000003e-01	1.873949e-02
5.700000000000003e-01	2.143877e-02
5.800000000000003e-01	2.432166e-02
5.900000000000003e-01	2.737904e-02
6.000000000000003e-01	3.060145e-02
6.100000000000003e-01	3.397942e-02
6.200000000000003e-01	3.750366e-02
6.300000000000003e-01	4.116518e-02
6.400000000000003e-01	4.495539e-02
6.500000000000004e-01	4.886618e-02
6.600000000000004e-01	5.288990e-02
6.700000000000004e-01	5.701941e-02
6.800000000000004e-01	6.124804e-02
6.900000000000004e-01	6.556961e-02
7.000000000000004e-01	6.997835e-02
7.100000000000004e-01	7.446893e-02
7.200000000000004e-01	7.903640e-02
7.300000000000004e-01	8.367618e-02
7.400000000000004e-01	8.838402e-02
7.500000000000004e-01	9.315597e-02
7.600000000000005e-01	9.798839e-02
7.700000000000005e-01	1.028779e-01
7.800000000000005e-01	1.078213e-01
7.900000000000005e-01	1.128156e-01
8.000000000000005e-01	1.178583e-01
8.100000000000005e-01	1.229466e-01
8.200000000000005e-01	1.280782e-01
8.300000000000005e-01	1.332510e-01
8.400000000000005e-01	1.384628e-01
8.500000000000005e-01	1.437117e-01
8.600000000000005e-01	1.489959e-01
8.700000000000006e-01	1.543136e-01
8.800000000000006e-01	1.596634e-01
8.900000000000006e-01	1.650436e-01
9.000000000000006e-01	1.704528e-01
9.100000000000006e-01	1.758898e-01
9.200000000000006e-01	1.813533e-01
9.300000000000006e-01	1.868421e-01
9.400000000000006e-01	1.923550e-01
9.500000000000006e-01	1.978910e-01
9.600000000000006e-01	2.034491e-01
9.700000000000006e-01	2.090284e-01
9.800000000000006e-01	2.146280e-01
9.900000000000007e-01	2.202470e-01
1.000000000000001e+00	2.258846e-01
1.010000000000001e+00	2.315400e-01
1.020000000000001e+00	2.372125e-01
1.030000000000001e+00	2.429014e-01
1.040000000000001e+00	2.486061e-01
1.050000000000001e+00	2.543259e-01
1.060000000000001e+00	2.600602e-01
1.070000000000001e+00	2.658084e-01
1.080000000000001e+00	2.715701e-01
1.090000000000001e+00	2.773446e-01
1.100000000000001e+00	2.831315e-01
1.110000000000001e+00	2.889302e-01
1.120000000000001e+00	2.947404e-01
1.130000000000001e+00	3.005616e-01
1.140000000000001e+00	3.063934e-01
1.150000000000001e+00	3.122354e-01
1.160000000000001e+00	3.180871e-01
1.170000000000001e+00	3.239482e-01
1.180000000000001e+00	3.298185e-01
