Freq.	V(vo)/V(vp)
1.00000000000000e-01	(6.19597768196194e+01dB,-1.68472964247958e+02°)
1.01157945425990e-01	(6.19637262279439e+01dB,-1.68601440594588e+02°)
1.02329299228075e-01	(6.19675892096702e+01dB,-1.68728560575075e+02°)
1.03514216667934e-01	(6.19713675817884e+01dB,-1.68854336032426e+02°)
1.04712854805090e-01	(6.19750631262361e+01dB,-1.68978778788730e+02°)
1.05925372517729e-01	(6.19786775903464e+01dB,-1.69101900642159e+02°)
1.07151930523761e-01	(6.19822126878848e+01dB,-1.69223713363348e+02°)
1.08392691402120e-01	(6.19856700990715e+01dB,-1.69344228693189e+02°)
1.09647819614319e-01	(6.19890514711922e+01dB,-1.69463458339972e+02°)
1.10917481526240e-01	(6.19923584193749e+01dB,-1.69581413976439e+02°)
1.12201845430196e-01	(6.19955925267722e+01dB,-1.69698107237682e+02°)
1.13501081567232e-01	(6.19987553453322e+01dB,-1.69813549718414e+02°)
1.14815362149688e-01	(6.20018483963130e+01dB,-1.69927752970661e+02°)
1.16144861384034e-01	(6.20048731706225e+01dB,-1.70040728501754e+02°)
1.17489755493953e-01	(6.20078311293249e+01dB,-1.70152487772211e+02°)
1.18850222743702e-01	(6.20107237043968e+01dB,-1.70263042193423e+02°)
1.20226443461741e-01	(6.20135522988856e+01dB,-1.70372403126125e+02°)
1.21618600064637e-01	(6.20163182877425e+01dB,-1.70480581878171e+02°)
1.23026877081238e-01	(6.20190230179703e+01dB,-1.70587589703171e+02°)
1.24451461177139e-01	(6.20216678094480e+01dB,-1.70693437798455e+02°)
1.25892541179417e-01	(6.20242539550689e+01dB,-1.70798137303860e+02°)
1.27350308101666e-01	(6.20267827216400e+01dB,-1.70901699299784e+02°)
1.28824955169314e-01	(6.20292553496686e+01dB,-1.71004134806482e+02°)
1.30316677845230e-01	(6.20316730547639e+01dB,-1.71105454781737e+02°)
1.31825673855641e-01	(6.20340370271559e+01dB,-1.71205670120570e+02°)
1.33352143216333e-01	(6.20363484327455e+01dB,-1.71304791653419e+02°)
1.34896288259166e-01	(6.20386084134664e+01dB,-1.71402830145099e+02°)
1.36458313658893e-01	(6.20408180875552e+01dB,-1.71499796293913e+02°)
1.38038426460289e-01	(6.20429785500726e+01dB,-1.71595700730566e+02°)
1.39636836105594e-01	(6.20450908732477e+01dB,-1.71690554017310e+02°)
1.41253754462276e-01	(6.20471561071594e+01dB,-1.71784366646818e+02°)
1.42889395851111e-01	(6.20491752798981e+01dB,-1.71877149041623e+02°)
1.44543977074593e-01	(6.20511493979777e+01dB,-1.71968911553347e+02°)
1.46217717445672e-01	(6.20530794470008e+01dB,-1.72059664461759e+02°)
1.47910838816821e-01	(6.20549663918019e+01dB,-1.72149417974364e+02°)
1.49623565609444e-01	(6.20568111768427e+01dB,-1.72238182225798e+02°)
1.51356124843621e-01	(6.20586147268597e+01dB,-1.72325967277045e+02°)
1.53108746168203e-01	(6.20603779469895e+01dB,-1.72412783115166e+02°)
1.54881661891248e-01	(6.20621017232334e+01dB,-1.72498639652764e+02°)
1.56675107010815e-01	(6.20637869227428e+01dB,-1.72583546727643e+02°)
1.58489319246112e-01	(6.20654343944440e+01dB,-1.72667514102221e+02°)
1.60324539069005e-01	(6.20670449691405e+01dB,-1.72750551463418e+02°)
1.62181009735893e-01	(6.20686194598678e+01dB,-1.72832668422369e+02°)
1.64058977319954e-01	(6.20701586625869e+01dB,-1.72913874513885e+02°)
1.65958690743757e-01	(6.20716633559250e+01dB,-1.72994179196744e+02°)
1.67880401812256e-01	(6.20731343020300e+01dB,-1.73073591853077e+02°)
1.69824365246175e-01	(6.20745722469030e+01dB,-1.73152121788240e+02°)
1.71790838715759e-01	(6.20759779202075e+01dB,-1.73229778231110e+02°)
1.73780082874938e-01	(6.20773520362804e+01dB,-1.73306570333465e+02°)
1.75792361395870e-01	(6.20786952937577e+01dB,-1.73382507170469e+02°)
1.77827941003893e-01	(6.20800083764022e+01dB,-1.73457597740258e+02°)
1.79887091512879e-01	(6.20812919534090e+01dB,-1.73531850963947e+02°)
1.81970085860999e-01	(6.20825466791862e+01dB,-1.73605275686065e+02°)
1.84077200146896e-01	(6.20837731943406e+01dB,-1.73677880674091e+02°)
1.86208713666287e-01	(6.20849721252756e+01dB,-1.73749674619059e+02°)
1.88364908948981e-01	(6.20861440849933e+01dB,-1.73820666135285e+02°)
1.90546071796325e-01	(6.20872896733738e+01dB,-1.73890863760504e+02°)
1.92752491319094e-01	(6.20884094770163e+01dB,-1.73960275956339e+02°)
1.94984459975805e-01	(6.20895040697672e+01dB,-1.74028911108285e+02°)
1.97242273611486e-01	(6.20905740131574e+01dB,-1.74096777525788e+02°)
1.99526231496889e-01	(6.20916198564014e+01dB,-1.74163883442644e+02°)
2.01836636368157e-01	(6.20926421367384e+01dB,-1.74230237017170e+02°)
2.04173794466954e-01	(6.20936413795944e+01dB,-1.74295846332512e+02°)
2.06538015581054e-01	(6.20946180991746e+01dB,-1.74360719396686e+02°)
2.08929613085405e-01	(6.20955727980960e+01dB,-1.74424864143261e+02°)
2.11348903983666e-01	(6.20965059682303e+01dB,-1.74488288431257e+02°)
2.13796208950224e-01	(6.20974180906751e+01dB,-1.74551000045634e+02°)
2.16271852372703e-01	(6.20983096356332e+01dB,-1.74613006697831e+02°)
2.18776162394956e-01	(6.20991810635027e+01dB,-1.74674316025563e+02°)
2.21309470960565e-01	(6.21000328242279e+01dB,-1.74734935593719e+02°)
2.23872113856835e-01	(6.21008653578593e+01dB,-1.74794872894499e+02°)
2.26464430759307e-01	(6.21016790950247e+01dB,-1.74854135347643e+02°)
2.29086765276778e-01	(6.21024744565265e+01dB,-1.74912730301173e+02°)
2.31739464996849e-01	(6.21032518541514e+01dB,-1.74970665031429e+02°)
2.34422881531993e-01	(6.21040116905204e+01dB,-1.75027946743679e+02°)
2.37137370566167e-01	(6.21047543593695e+01dB,-1.75084582572480e+02°)
2.39883291901950e-01	(6.21054802457397e+01dB,-1.75140579582099e+02°)
2.42661009508243e-01	(6.21061897261628e+01dB,-1.75195944766942e+02°)
2.45470891568504e-01	(6.21068831687570e+01dB,-1.75250685052039e+02°)
2.48313310529558e-01	(6.21075609337534e+01dB,-1.75304807293294e+02°)
2.51188643150959e-01	(6.21082233730624e+01dB,-1.75358318278270e+02°)
2.54097270554932e-01	(6.21088708311411e+01dB,-1.75411224726262e+02°)
2.57039578276888e-01	(6.21095036444653e+01dB,-1.75463533289139e+02°)
2.60015956316529e-01	(6.21101221423038e+01dB,-1.75515250551478e+02°)
2.63026799189540e-01	(6.21107266465310e+01dB,-1.75566383031222e+02°)
