Freq.	V(vo)/V(vp)
1.00000000000000e-01	(5.61407498510293e+01dB,-1.74120087467040e+02°)
1.01157945425990e-01	(5.61417874631251e+01dB,-1.74186931041538e+02°)
1.02329299228075e-01	(5.61428016958767e+01dB,-1.74253025078995e+02°)
1.03514216667934e-01	(5.61437930707049e+01dB,-1.74318377636459e+02°)
1.04712854805090e-01	(5.61447620977987e+01dB,-1.74382996696006e+02°)
1.05925372517729e-01	(5.61457092761055e+01dB,-1.74446890165193e+02°)
1.07151930523761e-01	(5.61466350936065e+01dB,-1.74510065877329e+02°)
1.08392691402120e-01	(5.61475400276290e+01dB,-1.74572531591746e+02°)
1.09647819614319e-01	(5.61484245450303e+01dB,-1.74634294994154e+02°)
1.10917481526240e-01	(5.61492891024602e+01dB,-1.74695363696957e+02°)
1.12201845430196e-01	(5.61501341464530e+01dB,-1.74755745239692e+02°)
1.13501081567232e-01	(5.61509601138061e+01dB,-1.74815447089287e+02°)
1.14815362149688e-01	(5.61517674316219e+01dB,-1.74874476640546e+02°)
1.16144861384034e-01	(5.61525565176784e+01dB,-1.74932841216436e+02°)
1.17489755493953e-01	(5.61533277804631e+01dB,-1.74990548068581e+02°)
1.18850222743702e-01	(5.61540816194942e+01dB,-1.75047604377600e+02°)
1.20226443461741e-01	(5.61548184255123e+01dB,-1.75104017253519e+02°)
1.21618600064637e-01	(5.61555385805865e+01dB,-1.75159793736248e+02°)
1.23026877081238e-01	(5.61562424582990e+01dB,-1.75214940796008e+02°)
1.24451461177139e-01	(5.61569304240091e+01dB,-1.75269465333722e+02°)
1.25892541179417e-01	(5.61576028350310e+01dB,-1.75323374181465e+02°)
1.27350308101666e-01	(5.61582600407242e+01dB,-1.75376674102958e+02°)
1.28824955169314e-01	(5.61589023826643e+01dB,-1.75429371794025e+02°)
1.30316677845230e-01	(5.61595301949342e+01dB,-1.75481473882990e+02°)
1.31825673855641e-01	(5.61601438041218e+01dB,-1.75532986931230e+02°)
1.33352143216333e-01	(5.61607435296462e+01dB,-1.75583917433566e+02°)
1.34896288259166e-01	(5.61613296837898e+01dB,-1.75634271818797e+02°)
1.36458313658893e-01	(5.61619025718527e+01dB,-1.75684056450183e+02°)
1.38038426460289e-01	(5.61624624924270e+01dB,-1.75733277625868e+02°)
1.39636836105594e-01	(5.61630097373789e+01dB,-1.75781941579445e+02°)
1.41253754462276e-01	(5.61635445921588e+01dB,-1.75830054480368e+02°)
1.42889395851111e-01	(5.61640673357769e+01dB,-1.75877622434525e+02°)
1.44543977074593e-01	(5.61645782411491e+01dB,-1.75924651484630e+02°)
1.46217717445672e-01	(5.61650775749004e+01dB,-1.75971147610881e+02°)
1.47910838816821e-01	(5.61655655979550e+01dB,-1.76017116731240e+02°)
1.49623565609444e-01	(5.61660425652087e+01dB,-1.76062564702150e+02°)
1.51356124843621e-01	(5.61665087259893e+01dB,-1.76107497318878e+02°)
1.53108746168203e-01	(5.61669643240146e+01dB,-1.76151920316097e+02°)
1.54881661891248e-01	(5.61674095975142e+01dB,-1.76195839368387e+02°)
1.56675107010815e-01	(5.61678447794744e+01dB,-1.76239260090682e+02°)
1.58489319246112e-01	(5.61682700976299e+01dB,-1.76282188038832e+02°)
1.60324539069005e-01	(5.61686857745781e+01dB,-1.76324628710101e+02°)
1.62181009735893e-01	(5.61690920280164e+01dB,-1.76366587543626e+02°)
1.64058977319954e-01	(5.61694890707269e+01dB,-1.76408069920963e+02°)
1.65958690743757e-01	(5.61698771106835e+01dB,-1.76449081166599e+02°)
1.67880401812256e-01	(5.61702563513238e+01dB,-1.76489626548382e+02°)
1.69824365246175e-01	(5.61706269913601e+01dB,-1.76529711278142e+02°)
1.71790838715759e-01	(5.61709892251719e+01dB,-1.76569340512074e+02°)
1.73780082874938e-01	(5.61713432426959e+01dB,-1.76608519351320e+02°)
1.75792361395870e-01	(5.61716892296892e+01dB,-1.76647252842406e+02°)
1.77827941003893e-01	(5.61720273677398e+01dB,-1.76685545977768e+02°)
1.79887091512879e-01	(5.61723578341929e+01dB,-1.76723403696312e+02°)
1.81970085860999e-01	(5.61726808026572e+01dB,-1.76760830883753e+02°)
1.84077200146896e-01	(5.61729964426355e+01dB,-1.76797832373276e+02°)
1.86208713666287e-01	(5.61733049199855e+01dB,-1.76834412945891e+02°)
1.88364908948981e-01	(5.61736063966300e+01dB,-1.76870577331058e+02°)
1.90546071796325e-01	(5.61739010310977e+01dB,-1.76906330207005e+02°)
1.92752491319094e-01	(5.61741889781873e+01dB,-1.76941676201368e+02°)
1.94984459975805e-01	(5.61744703892136e+01dB,-1.76976619891609e+02°)
1.97242273611486e-01	(5.61747454121686e+01dB,-1.77011165805470e+02°)
1.99526231496889e-01	(5.61750141916715e+01dB,-1.77045318421494e+02°)
2.01836636368157e-01	(5.61752768690855e+01dB,-1.77079082169484e+02°)
2.04173794466954e-01	(5.61755335825895e+01dB,-1.77112461430981e+02°)
