vreg	V(vo)
0.000000000000000e+00	5.780666e-11
1.000000000000000e-01	2.002023e-07
2.000000000000000e-01	6.412056e-07
3.000000000000000e-01	1.057615e-06
4.000000000000000e-01	1.234026e-06
5.000000000000000e-01	1.305723e-06
6.000000000000000e-01	1.371793e-06
7.000000000000000e-01	1.438986e-06
7.999999999999999e-01	1.507456e-06
8.999999999999999e-01	1.577359e-06
9.999999999999999e-01	1.648416e-06
1.100000000000000e+00	1.720761e-06
1.200000000000000e+00	1.794181e-06
1.300000000000000e+00	1.868646e-06
1.400000000000000e+00	1.944219e-06
1.500000000000000e+00	2.020944e-06
1.600000000000000e+00	2.098557e-06
1.700000000000000e+00	2.178065e-06
1.800000000000000e+00	2.302160e-06
1.900000000000001e+00	4.577776e-06
2.000000000000000e+00	1.331177e-04
2.100000000000001e+00	6.732177e-03
2.200000000000001e+00	3.066453e-01
2.300000000000001e+00	1.500736e+00
2.400000000000001e+00	1.608510e+00
2.500000000000001e+00	1.687882e+00
2.600000000000001e+00	1.761130e+00
2.700000000000001e+00	1.847245e+00
2.800000000000001e+00	1.936072e+00
2.900000000000001e+00	2.025052e+00
3.000000000000001e+00	2.114118e+00
3.100000000000001e+00	2.203225e+00
3.200000000000002e+00	2.292370e+00
3.300000000000002e+00	2.381550e+00
3.400000000000002e+00	2.470763e+00
3.500000000000002e+00	2.560005e+00
3.600000000000002e+00	2.649276e+00
3.700000000000002e+00	2.738572e+00
3.800000000000002e+00	2.827893e+00
3.900000000000002e+00	2.917237e+00
4.000000000000002e+00	3.006602e+00
4.100000000000001e+00	3.095988e+00
4.200000000000001e+00	3.185392e+00
4.300000000000001e+00	3.274814e+00
4.400000000000000e+00	3.364254e+00
4.500000000000000e+00	3.453709e+00
4.600000000000000e+00	3.543179e+00
4.699999999999999e+00	3.632664e+00
4.799999999999999e+00	3.722162e+00
4.899999999999999e+00	3.811673e+00
4.999999999999998e+00	3.901197e+00
5.099999999999998e+00	3.990732e+00
5.199999999999998e+00	4.080279e+00
5.299999999999997e+00	4.169836e+00
5.399999999999997e+00	4.259403e+00
5.499999999999996e+00	4.348980e+00
5.599999999999996e+00	4.438567e+00
5.699999999999996e+00	4.528160e+00
5.799999999999995e+00	4.617751e+00
5.899999999999995e+00	4.707295e+00
5.999999999999995e+00	4.796552e+00
6.099999999999994e+00	4.884407e+00
6.199999999999994e+00	4.964951e+00
6.299999999999994e+00	5.010311e+00
6.399999999999993e+00	5.013737e+00
6.499999999999993e+00	5.015095e+00
6.599999999999993e+00	5.015224e+00
6.699999999999992e+00	5.015412e+00
6.799999999999992e+00	5.015572e+00
6.899999999999991e+00	5.015732e+00
6.999999999999991e+00	5.015891e+00
7.099999999999991e+00	5.016050e+00
7.199999999999990e+00	5.016209e+00
7.299999999999990e+00	5.016366e+00
7.399999999999990e+00	5.016524e+00
7.499999999999989e+00	5.016681e+00
7.599999999999989e+00	5.016838e+00
7.699999999999989e+00	5.016994e+00
7.799999999999988e+00	5.017150e+00
7.899999999999988e+00	5.017306e+00
7.999999999999988e+00	5.017461e+00
8.099999999999987e+00	5.017615e+00
8.199999999999987e+00	5.017769e+00
8.299999999999986e+00	5.017923e+00
8.399999999999986e+00	5.018076e+00
8.499999999999986e+00	5.018229e+00
8.599999999999985e+00	5.018382e+00
8.699999999999985e+00	5.018534e+00
8.799999999999985e+00	5.018685e+00
8.899999999999984e+00	5.018837e+00
8.999999999999984e+00	5.018988e+00
9.099999999999984e+00	5.019138e+00
9.199999999999983e+00	5.019289e+00
9.299999999999983e+00	5.019438e+00
9.399999999999983e+00	5.019588e+00
9.499999999999982e+00	5.019736e+00
9.599999999999982e+00	5.019885e+00
9.699999999999982e+00	5.020033e+00
9.799999999999981e+00	5.020181e+00
9.899999999999981e+00	5.020328e+00
9.999999999999980e+00	5.020475e+00
1.009999999999998e+01	5.020622e+00
1.019999999999998e+01	5.020768e+00
1.029999999999998e+01	5.020914e+00
1.039999999999998e+01	5.021060e+00
1.049999999999998e+01	5.021205e+00
1.059999999999998e+01	5.021349e+00
1.069999999999998e+01	5.021494e+00
1.079999999999998e+01	5.021638e+00
1.089999999999998e+01	5.021782e+00
1.099999999999998e+01	5.021925e+00
1.109999999999998e+01	5.022069e+00
1.119999999999998e+01	5.022211e+00
1.129999999999998e+01	5.022354e+00
1.139999999999998e+01	5.022495e+00
1.149999999999998e+01	5.022637e+00
1.159999999999997e+01	5.022779e+00
1.169999999999997e+01	5.022920e+00
1.179999999999997e+01	5.023060e+00
1.189999999999997e+01	5.023201e+00
1.199999999999997e+01	5.023340e+00
1.209999999999997e+01	5.023480e+00
1.219999999999997e+01	5.023619e+00
1.229999999999997e+01	5.023758e+00
1.239999999999997e+01	5.023897e+00
1.249999999999997e+01	5.024035e+00
1.259999999999997e+01	5.024173e+00
1.269999999999997e+01	5.024311e+00
1.279999999999997e+01	5.024448e+00
1.289999999999997e+01	5.024585e+00
1.299999999999997e+01	5.024722e+00
1.309999999999997e+01	5.024858e+00
1.319999999999997e+01	5.024995e+00
1.329999999999997e+01	5.025130e+00
1.339999999999997e+01	5.025266e+00
1.349999999999997e+01	5.025401e+00
1.359999999999997e+01	5.025536e+00
1.369999999999997e+01	5.025671e+00
1.379999999999997e+01	5.025805e+00
1.389999999999997e+01	5.025939e+00
1.399999999999997e+01	5.026073e+00
1.409999999999997e+01	5.026206e+00
1.419999999999997e+01	5.026339e+00
1.429999999999997e+01	5.026472e+00
1.439999999999996e+01	5.026604e+00
1.449999999999996e+01	5.026736e+00
1.459999999999996e+01	5.026868e+00
1.469999999999996e+01	5.026999e+00
1.479999999999996e+01	5.027131e+00
1.489999999999996e+01	5.027262e+00
1.499999999999996e+01	5.027393e+00
1.509999999999996e+01	5.027523e+00
1.519999999999996e+01	5.027653e+00
1.529999999999996e+01	5.027783e+00
1.539999999999996e+01	5.027913e+00
1.549999999999996e+01	5.028042e+00
1.559999999999996e+01	5.028171e+00
1.569999999999996e+01	5.028300e+00
1.579999999999996e+01	5.028429e+00
1.589999999999996e+01	5.028557e+00
1.599999999999996e+01	5.028685e+00
1.609999999999996e+01	5.028812e+00
1.619999999999996e+01	5.028940e+00
1.629999999999996e+01	5.029067e+00
1.639999999999996e+01	5.029194e+00
1.649999999999996e+01	5.029320e+00
1.659999999999997e+01	5.029447e+00
1.669999999999997e+01	5.029573e+00
1.679999999999997e+01	5.029698e+00
1.689999999999997e+01	5.029824e+00
1.699999999999997e+01	5.029950e+00
1.709999999999997e+01	5.030075e+00
1.719999999999997e+01	5.030200e+00
1.729999999999998e+01	5.030324e+00
1.739999999999998e+01	5.030448e+00
1.749999999999998e+01	5.030572e+00
1.759999999999998e+01	5.030696e+00
1.769999999999998e+01	5.030819e+00
1.779999999999998e+01	5.030942e+00
1.789999999999998e+01	5.031065e+00
1.799999999999999e+01	5.031188e+00
1.809999999999999e+01	5.031311e+00
1.819999999999999e+01	5.031433e+00
1.829999999999999e+01	5.031555e+00
1.839999999999999e+01	5.031677e+00
1.849999999999999e+01	5.031799e+00
1.859999999999999e+01	5.031920e+00
1.870000000000000e+01	5.032041e+00
1.880000000000000e+01	5.032162e+00
1.890000000000000e+01	5.032282e+00
1.900000000000000e+01	5.032403e+00
1.910000000000000e+01	5.032523e+00
1.920000000000000e+01	5.032643e+00
1.930000000000000e+01	5.032763e+00
1.940000000000001e+01	5.032882e+00
1.950000000000001e+01	5.033001e+00
1.960000000000001e+01	5.033120e+00
1.970000000000001e+01	5.033239e+00
1.980000000000001e+01	5.033357e+00
1.990000000000001e+01	5.033475e+00
2.000000000000001e+01	5.033594e+00
2.010000000000002e+01	5.033711e+00
2.020000000000002e+01	5.033829e+00
2.030000000000002e+01	5.033946e+00
2.040000000000002e+01	5.034063e+00
2.050000000000002e+01	5.034180e+00
2.060000000000002e+01	5.034297e+00
