vreg	V(vo)
0.000000000000000e+00	1.583953e-11
1.000000000000000e-01	5.485725e-08
2.000000000000000e-01	1.756952e-07
3.000000000000000e-01	2.898046e-07
4.000000000000000e-01	3.381133e-07
5.000000000000000e-01	3.577852e-07
6.000000000000000e-01	3.758998e-07
7.000000000000000e-01	3.942846e-07
7.999999999999999e-01	4.130539e-07
8.999999999999999e-01	4.322109e-07
9.999999999999999e-01	4.516616e-07
1.100000000000000e+00	4.715083e-07
1.200000000000000e+00	4.916259e-07
1.300000000000000e+00	5.120529e-07
1.400000000000000e+00	5.327457e-07
1.500000000000000e+00	5.537350e-07
1.600000000000000e+00	5.750105e-07
1.700000000000000e+00	5.968159e-07
1.800000000000000e+00	6.308096e-07
1.900000000000001e+00	1.254340e-06
2.000000000000000e+00	3.647557e-05
2.100000000000001e+00	1.845211e-03
2.200000000000001e+00	8.518562e-02
2.300000000000001e+00	1.141634e+00
2.400000000000001e+00	1.245553e+00
2.500000000000001e+00	1.311819e+00
2.600000000000001e+00	1.371954e+00
2.700000000000001e+00	1.440412e+00
2.800000000000001e+00	1.510571e+00
2.900000000000001e+00	1.580833e+00
3.000000000000001e+00	1.651169e+00
3.100000000000001e+00	1.721534e+00
3.200000000000002e+00	1.791924e+00
3.300000000000002e+00	1.862339e+00
3.400000000000002e+00	1.932775e+00
3.500000000000002e+00	2.003230e+00
3.600000000000002e+00	2.073704e+00
3.700000000000002e+00	2.144193e+00
3.800000000000002e+00	2.214698e+00
3.900000000000002e+00	2.285217e+00
4.000000000000002e+00	2.355748e+00
4.100000000000001e+00	2.426291e+00
4.200000000000001e+00	2.496845e+00
4.300000000000001e+00	2.567408e+00
4.400000000000000e+00	2.637980e+00
4.500000000000000e+00	2.708561e+00
4.600000000000000e+00	2.779149e+00
4.699999999999999e+00	2.849744e+00
4.799999999999999e+00	2.920346e+00
4.899999999999999e+00	2.990953e+00
4.999999999999998e+00	3.061565e+00
5.099999999999998e+00	3.132183e+00
5.199999999999998e+00	3.202805e+00
5.299999999999997e+00	3.273431e+00
5.399999999999997e+00	3.344061e+00
5.499999999999996e+00	3.414695e+00
5.599999999999996e+00	3.485331e+00
5.699999999999996e+00	3.555970e+00
5.799999999999995e+00	3.626612e+00
5.899999999999995e+00	3.697257e+00
5.999999999999995e+00	3.767903e+00
6.099999999999994e+00	3.838551e+00
6.199999999999994e+00	3.909201e+00
6.299999999999994e+00	3.979853e+00
6.399999999999993e+00	4.050506e+00
6.499999999999993e+00	4.121160e+00
6.599999999999993e+00	4.191814e+00
6.699999999999992e+00	4.262470e+00
6.799999999999992e+00	4.333127e+00
6.899999999999991e+00	4.403784e+00
6.999999999999991e+00	4.474442e+00
7.099999999999991e+00	4.545098e+00
7.199999999999990e+00	4.615752e+00
7.299999999999990e+00	4.686393e+00
7.399999999999990e+00	4.756983e+00
7.499999999999989e+00	4.827387e+00
7.599999999999989e+00	4.897137e+00
7.699999999999989e+00	4.963488e+00
7.799999999999988e+00	5.007621e+00
7.899999999999988e+00	5.012446e+00
7.999999999999988e+00	5.013269e+00
8.099999999999987e+00	5.013431e+00
8.199999999999987e+00	5.013599e+00
8.299999999999986e+00	5.013760e+00
8.399999999999986e+00	5.013921e+00
8.499999999999986e+00	5.014081e+00
8.599999999999985e+00	5.014241e+00
8.699999999999985e+00	5.014401e+00
8.799999999999985e+00	5.014560e+00
