Freq.	V(vo)/V(vp)
1.00000000000000e-01	(6.23969782981613e+01dB,-1.67870281332963e+02°)
1.01157945425990e-01	(6.24013453503729e+01dB,-1.68005086025776e+02°)
1.02329299228075e-01	(6.24056172431263e+01dB,-1.68138480234291e+02°)
1.03514216667934e-01	(6.24097959592042e+01dB,-1.68270475855006e+02°)
1.04712854805090e-01	(6.24138834442348e+01dB,-1.68401084778746e+02°)
1.05925372517729e-01	(6.24178816069763e+01dB,-1.68530318887333e+02°)
1.07151930523761e-01	(6.24217923196004e+01dB,-1.68658190050373e+02°)
1.08392691402120e-01	(6.24256174187322e+01dB,-1.68784710121160e+02°)
1.09647819614319e-01	(6.24293587056481e+01dB,-1.68909890933841e+02°)
1.10917481526240e-01	(6.24330179469778e+01dB,-1.69033744300030e+02°)
1.12201845430196e-01	(6.24365968748987e+01dB,-1.69156282006193e+02°)
1.13501081567232e-01	(6.24400971881716e+01dB,-1.69277515810086e+02°)
1.14815362149688e-01	(6.24435205523311e+01dB,-1.69397457438372e+02°)
1.16144861384034e-01	(6.24468686002951e+01dB,-1.69516118583824e+02°)
1.17489755493953e-01	(6.24501429328866e+01dB,-1.69633510902744e+02°)
1.18850222743702e-01	(6.24533451193533e+01dB,-1.69749646012486e+02°)
1.20226443461741e-01	(6.24564766978827e+01dB,-1.69864535489088e+02°)
1.21618600064637e-01	(6.24595391761151e+01dB,-1.69978190865005e+02°)
1.23026877081238e-01	(6.24625340315660e+01dB,-1.70090623627039e+02°)
1.24451461177139e-01	(6.24654627124708e+01dB,-1.70201845213879e+02°)
1.25892541179417e-01	(6.24683266377750e+01dB,-1.70311867014711e+02°)
1.27350308101666e-01	(6.24711271979697e+01dB,-1.70420700366942e+02°)
1.28824955169314e-01	(6.24738657554121e+01dB,-1.70528356554598e+02°)
1.30316677845230e-01	(6.24765436451532e+01dB,-1.70634846806240e+02°)
1.31825673855641e-01	(6.24791621749079e+01dB,-1.70740182293905e+02°)
1.33352143216333e-01	(6.24817226258720e+01dB,-1.70844374131182e+02°)
1.34896288259166e-01	(6.24842262530235e+01dB,-1.70947433371942e+02°)
1.36458313658893e-01	(6.24866742859298e+01dB,-1.71049371008583e+02°)
1.38038426460289e-01	(6.24890679286113e+01dB,-1.71150197971354e+02°)
1.39636836105594e-01	(6.24914083606796e+01dB,-1.71249925126401e+02°)
1.41253754462276e-01	(6.24936967371046e+01dB,-1.71348563275302e+02°)
1.42889395851111e-01	(6.24959341893421e+01dB,-1.71446123153272e+02°)
1.44543977074593e-01	(6.24981218251745e+01dB,-1.71542615428731e+02°)
1.46217717445672e-01	(6.25002607294003e+01dB,-1.71638050702074e+02°)
1.47910838816821e-01	(6.25023519645185e+01dB,-1.71732439504511e+02°)
1.49623565609444e-01	(6.25043965705511e+01dB,-1.71825792297807e+02°)
1.51356124843621e-01	(6.25063955661441e+01dB,-1.71918119472822e+02°)
1.53108746168203e-01	(6.25083499482921e+01dB,-1.72009431349434e+02°)
1.54881661891248e-01	(6.25102606934289e+01dB,-1.72099738175210e+02°)
1.56675107010815e-01	(6.25121287571395e+01dB,-1.72189050125416e+02°)
1.58489319246112e-01	(6.25139550752397e+01dB,-1.72277377301806e+02°)
1.60324539069005e-01	(6.25157405634758e+01dB,-1.72364729732719e+02°)
