vreg	V(vo)
0.000000000000000e+00	5.868182e-11
1.000000000000000e-02	5.176076e-09
2.000000000000000e-02	1.202025e-08
3.000000000000000e-02	2.111054e-08
4.000000000000000e-02	3.307316e-08
5.000000000000000e-02	4.862619e-08
6.000000000000000e-02	6.853352e-08
7.000000000000001e-02	9.351442e-08
8.000000000000000e-02	1.241036e-07
9.000000000000000e-02	1.604756e-07
9.999999999999999e-02	2.022790e-07
1.100000000000000e-01	2.485553e-07
1.200000000000000e-01	2.978131e-07
1.300000000000000e-01	3.482826e-07
1.400000000000000e-01	3.982856e-07
1.500000000000000e-01	4.465928e-07
1.600000000000000e-01	4.926494e-07
1.700000000000000e-01	5.366079e-07
1.800000000000000e-01	5.792037e-07
1.900000000000000e-01	6.215072e-07
2.000000000000000e-01	6.646878e-07
2.100000000000000e-01	7.097942e-07
2.200000000000001e-01	7.575254e-07
2.300000000000001e-01	8.081976e-07
2.400000000000001e-01	8.616673e-07
2.500000000000001e-01	9.173243e-07
2.600000000000001e-01	9.741232e-07
2.700000000000001e-01	1.030766e-06
2.800000000000001e-01	1.085806e-06
2.900000000000001e-01	1.137820e-06
3.000000000000001e-01	1.185632e-06
3.100000000000001e-01	1.228413e-06
3.200000000000001e-01	1.265943e-06
3.300000000000001e-01	1.298100e-06
3.400000000000001e-01	1.325424e-06
3.500000000000001e-01	1.348478e-06
3.600000000000002e-01	1.367946e-06
3.700000000000002e-01	1.384406e-06
3.800000000000002e-01	1.398653e-06
3.900000000000002e-01	1.411018e-06
4.000000000000002e-01	1.422072e-06
4.100000000000002e-01	1.432004e-06
4.200000000000002e-01	1.441233e-06
4.300000000000002e-01	1.449885e-06
4.400000000000002e-01	1.458116e-06
4.500000000000002e-01	1.465921e-06
4.600000000000002e-01	1.473635e-06
4.700000000000003e-01	1.481126e-06
4.800000000000003e-01	1.488524e-06
4.900000000000003e-01	1.495831e-06
5.000000000000002e-01	1.503094e-06
5.100000000000002e-01	1.510327e-06
5.200000000000002e-01	1.517483e-06
5.300000000000002e-01	1.524701e-06
5.400000000000003e-01	1.531868e-06
5.500000000000003e-01	1.539014e-06
5.600000000000003e-01	1.546140e-06
5.700000000000003e-01	1.553265e-06
5.800000000000003e-01	1.560497e-06
5.900000000000003e-01	1.567640e-06
6.000000000000003e-01	1.574868e-06
6.100000000000003e-01	1.582070e-06
6.200000000000003e-01	1.589267e-06
6.300000000000003e-01	1.596469e-06
6.400000000000003e-01	1.603693e-06
6.500000000000004e-01	1.610934e-06
6.600000000000004e-01	1.618198e-06
6.700000000000004e-01	1.625487e-06
6.800000000000004e-01	1.632763e-06
6.900000000000004e-01	1.640062e-06
7.000000000000004e-01	1.647318e-06
7.100000000000004e-01	1.654613e-06
7.200000000000004e-01	1.661934e-06
7.300000000000004e-01	1.669328e-06
7.400000000000004e-01	1.676614e-06
7.500000000000004e-01	1.683978e-06
7.600000000000005e-01	1.691386e-06
7.700000000000005e-01	1.698765e-06
7.800000000000005e-01	1.706153e-06
7.900000000000005e-01	1.713549e-06
8.000000000000005e-01	1.721004e-06
8.100000000000005e-01	1.728415e-06
8.200000000000005e-01	1.735867e-06
8.300000000000005e-01	1.743292e-06
8.400000000000005e-01	1.750785e-06
8.500000000000005e-01	1.758262e-06
8.600000000000005e-01	1.765727e-06
8.700000000000006e-01	1.773234e-06
8.800000000000006e-01	1.780749e-06
8.900000000000006e-01	1.788257e-06
9.000000000000006e-01	1.795771e-06
9.100000000000006e-01	1.803320e-06
9.200000000000006e-01	1.810857e-06
9.300000000000006e-01	1.818393e-06
9.400000000000006e-01	1.825966e-06
9.500000000000006e-01	1.833569e-06
9.600000000000006e-01	1.841099e-06
9.700000000000006e-01	1.848750e-06
9.800000000000006e-01	1.856399e-06
9.900000000000007e-01	1.864035e-06
1.000000000000001e+00	1.871639e-06
1.010000000000001e+00	1.879302e-06
1.020000000000001e+00	1.886874e-06
1.030000000000001e+00	1.894581e-06
