vreg	V(vo)
0.000000000000000e+00	1.597594e-11
1.000000000000000e-02	1.409174e-09
2.000000000000000e-02	3.272483e-09
3.000000000000000e-02	5.747295e-09
4.000000000000000e-02	9.004091e-09
5.000000000000000e-02	1.323837e-08
6.000000000000000e-02	1.865810e-08
7.000000000000001e-02	2.545911e-08
8.000000000000000e-02	3.378697e-08
9.000000000000000e-02	4.368919e-08
9.999999999999999e-02	5.507012e-08
1.100000000000000e-01	6.766877e-08
1.200000000000000e-01	8.107915e-08
1.300000000000000e-01	9.481942e-08
1.400000000000000e-01	1.084326e-07
1.500000000000000e-01	1.215842e-07
1.600000000000000e-01	1.341227e-07
1.700000000000000e-01	1.460904e-07
1.800000000000000e-01	1.576876e-07
1.900000000000000e-01	1.692038e-07
2.000000000000000e-01	1.809613e-07
2.100000000000000e-01	1.932390e-07
2.200000000000001e-01	2.062344e-07
2.300000000000001e-01	2.200307e-07
2.400000000000001e-01	2.345873e-07
2.500000000000001e-01	2.497391e-07
2.600000000000001e-01	2.652092e-07
2.700000000000001e-01	2.806280e-07
2.800000000000001e-01	2.956048e-07
2.900000000000001e-01	3.097672e-07
3.000000000000001e-01	3.227901e-07
3.100000000000001e-01	3.344383e-07
3.200000000000001e-01	3.446374e-07
3.300000000000001e-01	3.534012e-07
3.400000000000001e-01	3.608315e-07
3.500000000000001e-01	3.671234e-07
3.600000000000002e-01	3.724058e-07
3.700000000000002e-01	3.769060e-07
3.800000000000002e-01	3.807791e-07
3.900000000000002e-01	3.841531e-07
4.000000000000002e-01	3.871505e-07
4.100000000000002e-01	3.898665e-07
4.200000000000002e-01	3.923695e-07
4.300000000000002e-01	3.947182e-07
4.400000000000002e-01	3.969686e-07
4.500000000000002e-01	3.991024e-07
4.600000000000002e-01	4.012008e-07
4.700000000000003e-01	4.032301e-07
4.800000000000003e-01	4.052495e-07
4.900000000000003e-01	4.072399e-07
5.000000000000002e-01	4.092065e-07
5.100000000000002e-01	4.111637e-07
5.200000000000002e-01	4.131315e-07
