Freq.	V(vo)/V(vp)
1.00000000000000e-01	(6.23804739021605e+01dB,-1.67893615452976e+02°)
1.01157945425990e-01	(6.23848244129546e+01dB,-1.68028176266839e+02°)
1.02329299228075e-01	(6.23890801086073e+01dB,-1.68161328647138e+02°)
1.03514216667934e-01	(6.23932429655835e+01dB,-1.68293084489493e+02°)
1.04712854805090e-01	(6.23973149230365e+01dB,-1.68423455683558e+02°)
1.05925372517729e-01	(6.24012978833413e+01dB,-1.68552454109355e+02°)
1.07151930523761e-01	(6.24051937126293e+01dB,-1.68680091633759e+02°)
1.08392691402120e-01	(6.24090042413273e+01dB,-1.68806380107093e+02°)
1.09647819614319e-01	(6.24127312646885e+01dB,-1.68931331359865e+02°)
1.10917481526240e-01	(6.24163765433272e+01dB,-1.69054957199625e+02°)
1.12201845430196e-01	(6.24199418037493e+01dB,-1.69177269407943e+02°)
1.13501081567232e-01	(6.24234287388837e+01dB,-1.69298279737504e+02°)
1.14815362149688e-01	(6.24268390086059e+01dB,-1.69417999909327e+02°)
1.16144861384034e-01	(6.24301742402658e+01dB,-1.69536441610087e+02°)
1.17489755493953e-01	(6.24334360292092e+01dB,-1.69653616489551e+02°)
1.18850222743702e-01	(6.24366259392947e+01dB,-1.69769536158123e+02°)
1.20226443461741e-01	(6.24397455034083e+01dB,-1.69884212184496e+02°)
1.21618600064637e-01	(6.24427962239788e+01dB,-1.69997656093397e+02°)
1.23026877081238e-01	(6.24457795734811e+01dB,-1.70109879363439e+02°)
1.24451461177139e-01	(6.24486969949409e+01dB,-1.70220893425070e+02°)
1.25892541179417e-01	(6.24515499024368e+01dB,-1.70330709658607e+02°)
1.27350308101666e-01	(6.24543396815906e+01dB,-1.70439339392374e+02°)
1.28824955169314e-01	(6.24570676900605e+01dB,-1.70546793900919e+02°)
1.30316677845230e-01	(6.24597352580272e+01dB,-1.70653084403319e+02°)
1.31825673855641e-01	(6.24623436886720e+01dB,-1.70758222061573e+02°)
1.33352143216333e-01	(6.24648942586537e+01dB,-1.70862217979075e+02°)
1.34896288259166e-01	(6.24673882185807e+01dB,-1.70965083199157e+02°)
1.36458313658893e-01	(6.24698267934729e+01dB,-1.71066828703725e+02°)
1.38038426460289e-01	(6.24722111832234e+01dB,-1.71167465411956e+02°)
1.39636836105594e-01	(6.24745425630551e+01dB,-1.71267004179072e+02°)
1.41253754462276e-01	(6.24768220839649e+01dB,-1.71365455795182e+02°)
1.42889395851111e-01	(6.24790508731728e+01dB,-1.71462830984196e+02°)
1.44543977074593e-01	(6.24812300345540e+01dB,-1.71559140402801e+02°)
1.46217717445672e-01	(6.24833606490761e+01dB,-1.71654394639496e+02°)
1.47910838816821e-01	(6.24854437752228e+01dB,-1.71748604213700e+02°)
1.49623565609444e-01	(6.24874804494155e+01dB,-1.71841779574910e+02°)
1.51356124843621e-01	(6.24894716864265e+01dB,-1.71933931101920e+02°)
1.53108746168203e-01	(6.24914184797933e+01dB,-1.72025069102093e+02°)
1.54881661891248e-01	(6.24933218022145e+01dB,-1.72115203810693e+02°)
1.56675107010815e-01	(6.24951826059538e+01dB,-1.72204345390259e+02°)
1.58489319246112e-01	(6.24970018232282e+01dB,-1.72292503930040e+02°)
1.60324539069005e-01	(6.24987803665963e+01dB,-1.72379689445471e+02°)
1.62181009735893e-01	(6.25005191293354e+01dB,-1.72465911877698e+02°)
1.64058977319954e-01	(6.25022189858188e+01dB,-1.72551181093150e+02°)
