Freq.	V(vo)/V(vp)
1.00000000000000e-01	(5.66162465001567e+01dB,-1.73789181623693e+02°)
1.01157945425990e-01	(5.66174037321938e+01dB,-1.73859730448340e+02°)
1.02329299228075e-01	(5.66185349204024e+01dB,-1.73929490087989e+02°)
1.03514216667934e-01	(5.66196406443486e+01dB,-1.73998468961810e+02°)
1.04712854805090e-01	(5.66207214709936e+01dB,-1.74066675412955e+02°)
1.05925372517729e-01	(5.66217779549547e+01dB,-1.74134117708763e+02°)
1.07151930523761e-01	(5.66228106387605e+01dB,-1.74200804040989e+02°)
1.08392691402120e-01	(5.66238200531040e+01dB,-1.74266742526049e+02°)
1.09647819614319e-01	(5.66248067170882e+01dB,-1.74331941205273e+02°)
1.10917481526240e-01	(5.66257711384686e+01dB,-1.74396408045190e+02°)
1.12201845430196e-01	(5.66267138138923e+01dB,-1.74460150937816e+02°)
1.13501081567232e-01	(5.66276352291284e+01dB,-1.74523177700960e+02°)
1.14815362149688e-01	(5.66285358592994e+01dB,-1.74585496078549e+02°)
1.16144861384034e-01	(5.66294161691034e+01dB,-1.74647113740956e+02°)
1.17489755493953e-01	(5.66302766130357e+01dB,-1.74708038285352e+02°)
1.18850222743702e-01	(5.66311176356038e+01dB,-1.74768277236058e+02°)
1.20226443461741e-01	(5.66319396715382e+01dB,-1.74827838044924e+02°)
1.21618600064637e-01	(5.66327431460018e+01dB,-1.74886728091700e+02°)
1.23026877081238e-01	(5.66335284747909e+01dB,-1.74944954684431e+02°)
1.24451461177139e-01	(5.66342960645366e+01dB,-1.75002525059859e+02°)
1.25892541179417e-01	(5.66350463128995e+01dB,-1.75059446383827e+02°)
1.27350308101666e-01	(5.66357796087602e+01dB,-1.75115725751700e+02°)
1.28824955169314e-01	(5.66364963324091e+01dB,-1.75171370188791e+02°)
1.30316677845230e-01	(5.66371968557287e+01dB,-1.75226386650791e+02°)
1.31825673855641e-01	(5.66378815423747e+01dB,-1.75280782024211e+02°)
1.33352143216333e-01	(5.66385507479524e+01dB,-1.75334563126831e+02°)
1.34896288259166e-01	(5.66392048201906e+01dB,-1.75387736708146e+02°)
1.36458313658893e-01	(5.66398440991099e+01dB,-1.75440309449831e+02°)
1.38038426460289e-01	(5.66404689171908e+01dB,-1.75492287966201e+02°)
1.39636836105594e-01	(5.66410795995343e+01dB,-1.75543678804681e+02°)
1.41253754462276e-01	(5.66416764640233e+01dB,-1.75594488446279e+02°)
1.42889395851111e-01	(5.66422598214777e+01dB,-1.75644723306062e+02°)
1.44543977074593e-01	(5.66428299758087e+01dB,-1.75694389733637e+02°)
1.46217717445672e-01	(5.66433872241672e+01dB,-1.75743494013637e+02°)
1.47910838816821e-01	(5.66439318570914e+01dB,-1.75792042366209e+02°)
1.49623565609444e-01	(5.66444641586510e+01dB,-1.75840040947501e+02°)
1.51356124843621e-01	(5.66449844065872e+01dB,-1.75887495850159e+02°)
1.53108746168203e-01	(5.66454928724512e+01dB,-1.75934413103818e+02°)
1.54881661891248e-01	(5.66459898217392e+01dB,-1.75980798675602e+02°)
1.56675107010815e-01	(5.66464755140240e+01dB,-1.76026658470623e+02°)
1.58489319246112e-01	(5.66469502030849e+01dB,-1.76071998332478e+02°)
1.60324539069005e-01	(5.66474141370354e+01dB,-1.76116824043755e+02°)
1.62181009735893e-01	(5.66478675584448e+01dB,-1.76161141326530e+02°)
1.64058977319954e-01	(5.66483107044626e+01dB,-1.76204955842874e+02°)
1.65958690743757e-01	(5.66487438069358e+01dB,-1.76248273195356e+02°)
1.67880401812256e-01	(5.66491670925247e+01dB,-1.76291098927545e+02°)
1.69824365246175e-01	(5.66495807828188e+01dB,-1.76333438524514e+02°)
1.71790838715759e-01	(5.66499850944469e+01dB,-1.76375297413348e+02°)
1.73780082874938e-01	(5.66503802391865e+01dB,-1.76416680963640e+02°)
1.75792361395870e-01	(5.66507664240712e+01dB,-1.76457594488002e+02°)
1.77827941003893e-01	(5.66511438514944e+01dB,-1.76498043242562e+02°)
1.79887091512879e-01	(5.66515127193121e+01dB,-1.76538032427466e+02°)
1.81970085860999e-01	(5.66518732209443e+01dB,-1.76577567187383e+02°)
1.84077200146896e-01	(5.66522255454705e+01dB,-1.76616652611999e+02°)
1.86208713666287e-01	(5.66525698777267e+01dB,-1.76655293736520e+02°)
1.88364908948981e-01	(5.66529063984024e+01dB,-1.76693495542166e+02°)
1.90546071796325e-01	(5.66532352841262e+01dB,-1.76731262956669e+02°)
1.92752491319094e-01	(5.66535567075612e+01dB,-1.76768600854763e+02°)
1.94984459975805e-01	(5.66538708374898e+01dB,-1.76805514058682e+02°)
1.97242273611486e-01	(5.66541778389012e+01dB,-1.76842007338646e+02°)
1.99526231496889e-01	(5.66544778730751e+01dB,-1.76878085413350e+02°)
2.01836636368157e-01	(5.66547710976647e+01dB,-1.76913752950452e+02°)
2.04173794466954e-01	(5.66550576667757e+01dB,-1.76949014567056e+02°)
2.06538015581054e-01	(5.66553377310473e+01dB,-1.76983874830196e+02°)
2.08929613085405e-01	(5.66556114377272e+01dB,-1.77018338257314e+02°)
2.11348903983666e-01	(5.66558789307491e+01dB,-1.77052409316737e+02°)
2.13796208950224e-01	(5.66561403508045e+01dB,-1.77086092428153e+02°)
2.16271852372703e-01	(5.66563958354169e+01dB,-1.77119391963085e+02°)
2.18776162394956e-01	(5.66566455190104e+01dB,-1.77152312245357e+02°)
2.21309470960565e-01	(5.66568895329808e+01dB,-1.77184857551565e+02°)
2.23872113856835e-01	(5.66571280057614e+01dB,-1.77217032111540e+02°)
