vreg	V(vo)/vreg
6.000000000000000e+00	8.358796e-01
6.100000000000000e+00	8.222040e-01
6.199999999999999e+00	8.089682e-01
6.299999999999999e+00	7.961530e-01
6.399999999999999e+00	7.837382e-01
6.499999999999998e+00	7.717053e-01
6.599999999999998e+00	7.600370e-01
6.699999999999998e+00	7.487170e-01
6.799999999999997e+00	7.377298e-01
6.899999999999997e+00	7.270611e-01
6.999999999999996e+00	7.166970e-01
7.099999999999996e+00	7.066249e-01
7.199999999999996e+00	6.968325e-01
7.299999999999995e+00	6.873083e-01
7.399999999999995e+00	6.780415e-01
7.499999999999995e+00	6.690217e-01
7.599999999999994e+00	6.602392e-01
7.699999999999994e+00	6.516849e-01
7.799999999999994e+00	6.433497e-01
7.899999999999993e+00	6.352256e-01
7.999999999999993e+00	6.273044e-01
8.099999999999993e+00	6.195789e-01
8.199999999999992e+00	6.120417e-01
8.299999999999992e+00	6.046861e-01
8.399999999999991e+00	5.975056e-01
8.499999999999991e+00	5.904939e-01
8.599999999999991e+00	5.836453e-01
8.699999999999990e+00	5.769541e-01
8.799999999999990e+00	5.704149e-01
8.899999999999990e+00	5.640226e-01
8.999999999999989e+00	5.577723e-01
9.099999999999989e+00	5.516594e-01
9.199999999999989e+00	5.456793e-01
9.299999999999988e+00	5.398277e-01
9.399999999999988e+00	5.341006e-01
9.499999999999988e+00	5.284941e-01
9.599999999999987e+00	5.230043e-01
9.699999999999987e+00	5.176277e-01
9.799999999999986e+00	5.123607e-01
9.899999999999986e+00	5.072002e-01
9.999999999999986e+00	5.021428e-01
1.009999999999999e+01	4.971855e-01
1.019999999999999e+01	4.923253e-01
1.029999999999998e+01	4.875596e-01
1.039999999999998e+01	4.828854e-01
1.049999999999998e+01	4.783002e-01
1.059999999999998e+01	4.738015e-01
1.069999999999998e+01	4.693868e-01
1.079999999999998e+01	4.650539e-01
1.089999999999998e+01	4.608005e-01
1.099999999999998e+01	4.566243e-01
1.109999999999998e+01	4.525234e-01
1.119999999999998e+01	4.484957e-01
1.129999999999998e+01	4.445392e-01
1.139999999999998e+01	4.406521e-01
1.149999999999998e+01	4.368326e-01
1.159999999999998e+01	4.330789e-01
1.169999999999998e+01	4.293893e-01
1.179999999999998e+01	4.257623e-01
1.189999999999998e+01	4.221961e-01
1.199999999999998e+01	4.186894e-01
1.209999999999998e+01	4.152407e-01
1.219999999999998e+01	4.118484e-01
1.229999999999998e+01	4.085113e-01
1.239999999999998e+01	4.052279e-01
1.249999999999998e+01	4.019971e-01
1.259999999999998e+01	3.988175e-01
1.269999999999998e+01	3.956880e-01
1.279999999999998e+01	3.926074e-01
1.289999999999998e+01	3.895744e-01
1.299999999999998e+01	3.865882e-01
1.309999999999997e+01	3.836475e-01
1.319999999999997e+01	3.807513e-01
1.329999999999997e+01	3.778986e-01
1.339999999999997e+01	3.750886e-01
1.349999999999997e+01	3.723201e-01
1.359999999999997e+01	3.695923e-01
1.369999999999997e+01	3.669043e-01
1.379999999999997e+01	3.642552e-01
1.389999999999997e+01	3.616443e-01
1.399999999999997e+01	3.590706e-01
1.409999999999997e+01	3.565334e-01
1.419999999999997e+01	3.540319e-01
1.429999999999997e+01	3.515654e-01
1.439999999999997e+01	3.491331e-01
1.449999999999997e+01	3.467344e-01
1.459999999999997e+01	3.443685e-01
1.469999999999997e+01	3.420347e-01
1.479999999999997e+01	3.397325e-01
1.489999999999997e+01	3.374611e-01
1.499999999999997e+01	3.352201e-01
1.509999999999997e+01	3.330087e-01
1.519999999999997e+01	3.308264e-01
1.529999999999997e+01	3.286725e-01
1.539999999999997e+01	3.265467e-01
1.549999999999997e+01	3.244482e-01
1.559999999999997e+01	3.223766e-01
1.569999999999997e+01	3.203314e-01
1.579999999999997e+01	3.183121e-01
1.589999999999996e+01	3.163182e-01
1.599999999999996e+01	3.143491e-01
1.609999999999997e+01	3.124045e-01
1.619999999999997e+01	3.104840e-01
1.629999999999997e+01	3.085869e-01
1.639999999999997e+01	3.067130e-01
1.649999999999997e+01	3.048617e-01
1.659999999999997e+01	3.030328e-01
1.669999999999997e+01	3.012257e-01
1.679999999999998e+01	2.994402e-01
1.689999999999998e+01	2.976757e-01
1.699999999999998e+01	2.959320e-01
1.709999999999998e+01	2.942087e-01
1.719999999999998e+01	2.925054e-01
1.729999999999998e+01	2.908218e-01
1.739999999999998e+01	2.891575e-01
1.749999999999999e+01	2.875122e-01
1.759999999999999e+01	2.858856e-01
1.769999999999999e+01	2.842774e-01
1.779999999999999e+01	2.826872e-01
1.789999999999999e+01	2.811148e-01
