vreg	V(vo)
0.000000000000000e+00	1.251107e-04
1.000000000000000e-01	1.253123e-04
2.000000000000000e-01	1.257562e-04
3.000000000000000e-01	1.261700e-04
4.000000000000000e-01	1.263449e-04
5.000000000000000e-01	1.264169e-04
6.000000000000000e-01	1.264832e-04
7.000000000000000e-01	1.265508e-04
7.999999999999999e-01	1.266198e-04
8.999999999999999e-01	1.266901e-04
9.999999999999999e-01	1.267617e-04
1.100000000000000e+00	1.268344e-04
1.200000000000000e+00	1.269084e-04
1.300000000000000e+00	1.269834e-04
1.400000000000000e+00	1.270596e-04
1.500000000000000e+00	1.271367e-04
1.600000000000000e+00	1.272149e-04
1.700000000000000e+00	1.272951e-04
1.800000000000000e+00	1.274202e-04
1.900000000000001e+00	1.297158e-04
2.000000000000000e+00	2.594901e-04
2.100000000000001e+00	6.922431e-03
2.200000000000001e+00	3.104670e-01
2.300000000000001e+00	1.651825e+00
2.400000000000001e+00	1.772231e+00
2.500000000000001e+00	1.860132e+00
2.600000000000001e+00	1.941177e+00
2.700000000000001e+00	2.036215e+00
2.800000000000001e+00	2.134233e+00
2.900000000000001e+00	2.232423e+00
3.000000000000001e+00	2.330708e+00
3.100000000000001e+00	2.429039e+00
3.200000000000002e+00	2.527411e+00
3.300000000000002e+00	2.625822e+00
3.400000000000002e+00	2.724268e+00
3.500000000000002e+00	2.822748e+00
3.600000000000002e+00	2.921258e+00
3.700000000000002e+00	3.019797e+00
3.800000000000002e+00	3.118363e+00
3.900000000000002e+00	3.216954e+00
4.000000000000002e+00	3.315568e+00
4.100000000000001e+00	3.414204e+00
4.200000000000001e+00	3.512862e+00
4.300000000000001e+00	3.611539e+00
4.400000000000000e+00	3.710234e+00
4.500000000000000e+00	3.808947e+00
4.600000000000000e+00	3.907677e+00
4.699999999999999e+00	4.006422e+00
4.799999999999999e+00	4.105182e+00
4.899999999999999e+00	4.203956e+00
4.999999999999998e+00	4.302744e+00
5.099999999999998e+00	4.401544e+00
5.199999999999998e+00	4.500356e+00
5.299999999999997e+00	4.599170e+00
5.399999999999997e+00	4.697941e+00
5.499999999999996e+00	4.796372e+00
5.599999999999996e+00	4.892910e+00
5.699999999999996e+00	4.977473e+00
5.799999999999995e+00	5.012925e+00
5.899999999999995e+00	5.014244e+00
5.999999999999995e+00	5.015275e+00
6.099999999999994e+00	5.015427e+00
6.199999999999994e+00	5.015603e+00
6.299999999999994e+00	5.015764e+00
6.399999999999993e+00	5.015924e+00
6.499999999999993e+00	5.016085e+00
6.599999999999993e+00	5.016244e+00
6.699999999999992e+00	5.016404e+00
6.799999999999992e+00	5.016563e+00
6.899999999999991e+00	5.016721e+00
6.999999999999991e+00	5.016879e+00
7.099999999999991e+00	5.017037e+00
7.199999999999990e+00	5.017194e+00
7.299999999999990e+00	5.017351e+00
7.399999999999990e+00	5.017507e+00
7.499999999999989e+00	5.017663e+00
7.599999999999989e+00	5.017818e+00
7.699999999999989e+00	5.017973e+00
7.799999999999988e+00	5.018128e+00
7.899999999999988e+00	5.018282e+00
7.999999999999988e+00	5.018435e+00
8.099999999999987e+00	5.018589e+00
8.199999999999987e+00	5.018742e+00
8.299999999999986e+00	5.018895e+00
8.399999999999986e+00	5.019047e+00
8.499999999999986e+00	5.019198e+00
8.599999999999985e+00	5.019350e+00
8.699999999999985e+00	5.019501e+00
8.799999999999985e+00	5.019651e+00
8.899999999999984e+00	5.019801e+00
8.999999999999984e+00	5.019951e+00
9.099999999999984e+00	5.020100e+00
9.199999999999983e+00	5.020249e+00
9.299999999999983e+00	5.020398e+00
9.399999999999983e+00	5.020546e+00
9.499999999999982e+00	5.020694e+00
9.599999999999982e+00	5.020841e+00
9.699999999999982e+00	5.020988e+00
9.799999999999981e+00	5.021135e+00
9.899999999999981e+00	5.021282e+00
9.999999999999980e+00	5.021428e+00
1.009999999999998e+01	5.021573e+00
1.019999999999998e+01	5.021719e+00
1.029999999999998e+01	5.021863e+00
1.039999999999998e+01	5.022008e+00
1.049999999999998e+01	5.022152e+00
1.059999999999998e+01	5.022296e+00
1.069999999999998e+01	5.022439e+00
1.079999999999998e+01	5.022583e+00
1.089999999999998e+01	5.022725e+00
1.099999999999998e+01	5.022868e+00
1.109999999999998e+01	5.023010e+00
1.119999999999998e+01	5.023151e+00
1.129999999999998e+01	5.023293e+00
1.139999999999998e+01	5.023434e+00
1.149999999999998e+01	5.023574e+00
1.159999999999997e+01	5.023715e+00
1.169999999999997e+01	5.023855e+00
1.179999999999997e+01	5.023995e+00
1.189999999999997e+01	5.024134e+00
1.199999999999997e+01	5.024273e+00
1.209999999999997e+01	5.024412e+00
1.219999999999997e+01	5.024550e+00
1.229999999999997e+01	5.024689e+00
1.239999999999997e+01	5.024826e+00
1.249999999999997e+01	5.024964e+00
1.259999999999997e+01	5.025101e+00
1.269999999999997e+01	5.025238e+00
1.279999999999997e+01	5.025374e+00
1.289999999999997e+01	5.025510e+00
1.299999999999997e+01	5.025646e+00
1.309999999999997e+01	5.025782e+00
1.319999999999997e+01	5.025917e+00
1.329999999999997e+01	5.026052e+00
1.339999999999997e+01	5.026187e+00
1.349999999999997e+01	5.026321e+00
1.359999999999997e+01	5.026455e+00
1.369999999999997e+01	5.026589e+00
1.379999999999997e+01	5.026722e+00
1.389999999999997e+01	5.026855e+00
1.399999999999997e+01	5.026989e+00
1.409999999999997e+01	5.027121e+00
1.419999999999997e+01	5.027253e+00
1.429999999999997e+01	5.027385e+00
1.439999999999996e+01	5.027517e+00
1.449999999999996e+01	5.027648e+00
1.459999999999996e+01	5.027780e+00
1.469999999999996e+01	5.027910e+00
1.479999999999996e+01	5.028041e+00
1.489999999999996e+01	5.028171e+00
1.499999999999996e+01	5.028301e+00
1.509999999999996e+01	5.028431e+00
1.519999999999996e+01	5.028561e+00
1.529999999999996e+01	5.028689e+00
1.539999999999996e+01	5.028819e+00
1.549999999999996e+01	5.028947e+00
1.559999999999996e+01	5.029076e+00
1.569999999999996e+01	5.029203e+00
1.579999999999996e+01	5.029331e+00
1.589999999999996e+01	5.029459e+00
1.599999999999996e+01	5.029586e+00
1.609999999999996e+01	5.029713e+00
1.619999999999996e+01	5.029840e+00
1.629999999999996e+01	5.029966e+00
1.639999999999996e+01	5.030093e+00
1.649999999999996e+01	5.030219e+00
1.659999999999997e+01	5.030344e+00
1.669999999999997e+01	5.030469e+00
1.679999999999997e+01	5.030595e+00
1.689999999999997e+01	5.030720e+00
1.699999999999997e+01	5.030844e+00
1.709999999999997e+01	5.030969e+00
1.719999999999997e+01	5.031093e+00
1.729999999999998e+01	5.031217e+00
1.739999999999998e+01	5.031341e+00
1.749999999999998e+01	5.031464e+00
1.759999999999998e+01	5.031587e+00
1.769999999999998e+01	5.031710e+00
1.779999999999998e+01	5.031833e+00
1.789999999999998e+01	5.031955e+00
1.799999999999999e+01	5.032077e+00
1.809999999999999e+01	5.032199e+00
1.819999999999999e+01	5.032321e+00
1.829999999999999e+01	5.032442e+00
1.839999999999999e+01	5.032563e+00
1.849999999999999e+01	5.032684e+00
1.859999999999999e+01	5.032805e+00
1.870000000000000e+01	5.032926e+00
1.880000000000000e+01	5.033046e+00
1.890000000000000e+01	5.033166e+00
1.900000000000000e+01	5.033286e+00
1.910000000000000e+01	5.033405e+00
1.920000000000000e+01	5.033525e+00
1.930000000000000e+01	5.033644e+00
1.940000000000001e+01	5.033762e+00
1.950000000000001e+01	5.033881e+00
1.960000000000001e+01	5.033999e+00
1.970000000000001e+01	5.034118e+00
1.980000000000001e+01	5.034235e+00
1.990000000000001e+01	5.034353e+00
2.000000000000001e+01	5.034471e+00
2.010000000000002e+01	5.034588e+00
2.020000000000002e+01	5.034705e+00
2.030000000000002e+01	5.034822e+00
2.040000000000002e+01	5.034939e+00
2.050000000000002e+01	5.035055e+00
2.060000000000002e+01	5.035171e+00
2.070000000000002e+01	5.035287e+00
2.080000000000003e+01	5.035403e+00
2.090000000000003e+01	5.035519e+00
2.100000000000003e+01	5.035634e+00
2.110000000000003e+01	5.035749e+00
2.120000000000003e+01	5.035864e+00
2.130000000000003e+01	5.035978e+00
2.140000000000003e+01	5.036093e+00
2.150000000000004e+01	5.036207e+00
2.160000000000004e+01	5.036321e+00
2.170000000000004e+01	5.036435e+00
2.180000000000004e+01	5.036549e+00
2.190000000000004e+01	5.036662e+00
2.200000000000004e+01	5.036776e+00
2.210000000000004e+01	5.036889e+00
2.220000000000005e+01	5.037001e+00
2.230000000000005e+01	5.037114e+00
2.240000000000005e+01	5.037226e+00
2.250000000000005e+01	5.037338e+00
2.260000000000005e+01	5.037450e+00
2.270000000000005e+01	5.037562e+00
2.280000000000005e+01	5.037674e+00
2.290000000000006e+01	5.037785e+00
2.300000000000006e+01	5.037897e+00
2.310000000000006e+01	5.038007e+00
2.320000000000006e+01	5.038118e+00
2.330000000000006e+01	5.038229e+00
2.340000000000006e+01	5.038339e+00
2.350000000000006e+01	5.038449e+00
2.360000000000007e+01	5.038559e+00
2.370000000000007e+01	5.038669e+00
2.380000000000007e+01	5.038779e+00
2.390000000000007e+01	5.038888e+00
2.400000000000000e+01	5.038998e+00
