vreg	V(vo)
0.000000000000000e+00	1.703683e-05
1.000000000000000e-01	1.706434e-05
2.000000000000000e-01	1.712478e-05
3.000000000000000e-01	1.718113e-05
4.000000000000000e-01	1.720493e-05
5.000000000000000e-01	1.721472e-05
6.000000000000000e-01	1.722376e-05
7.000000000000000e-01	1.723296e-05
7.999999999999999e-01	1.724235e-05
8.999999999999999e-01	1.725192e-05
9.999999999999999e-01	1.726168e-05
1.100000000000000e+00	1.727159e-05
1.200000000000000e+00	1.728165e-05
1.300000000000000e+00	1.729188e-05
1.400000000000000e+00	1.730224e-05
1.500000000000000e+00	1.731276e-05
1.600000000000000e+00	1.732342e-05
1.700000000000000e+00	1.733433e-05
1.800000000000000e+00	1.735136e-05
1.900000000000001e+00	1.766395e-05
2.000000000000000e+00	3.533613e-05
2.100000000000001e+00	9.429874e-04
2.200000000000001e+00	4.295785e-02
2.300000000000001e+00	1.346192e+00
2.400000000000001e+00	1.632248e+00
2.500000000000001e+00	1.729633e+00
2.600000000000001e+00	1.815743e+00
2.700000000000001e+00	1.907827e+00
2.800000000000001e+00	2.001584e+00
2.900000000000001e+00	2.095428e+00
3.000000000000001e+00	2.189283e+00
3.100000000000001e+00	2.283140e+00
3.200000000000002e+00	2.377001e+00
3.300000000000002e+00	2.470862e+00
3.400000000000002e+00	2.564722e+00
3.500000000000002e+00	2.658579e+00
3.600000000000002e+00	2.752433e+00
3.700000000000002e+00	2.846282e+00
3.800000000000002e+00	2.940126e+00
3.900000000000002e+00	3.033963e+00
4.000000000000002e+00	3.127793e+00
4.100000000000001e+00	3.221616e+00
4.200000000000001e+00	3.315431e+00
4.300000000000001e+00	3.409238e+00
4.400000000000000e+00	3.503037e+00
4.500000000000000e+00	3.596827e+00
4.600000000000000e+00	3.690603e+00
4.699999999999999e+00	3.784375e+00
4.799999999999999e+00	3.878138e+00
4.899999999999999e+00	3.971892e+00
4.999999999999998e+00	4.065636e+00
5.099999999999998e+00	4.159371e+00
5.199999999999998e+00	4.253096e+00
5.299999999999997e+00	4.346817e+00
5.399999999999997e+00	4.440523e+00
5.499999999999996e+00	4.534219e+00
5.599999999999996e+00	4.627898e+00
5.699999999999996e+00	4.721535e+00
5.799999999999995e+00	4.814969e+00
5.899999999999995e+00	4.907012e+00
5.999999999999995e+00	4.985671e+00
6.099999999999994e+00	5.008537e+00
6.199999999999994e+00	5.009679e+00
6.299999999999994e+00	5.009878e+00
6.399999999999993e+00	5.010050e+00
6.499999999999993e+00	5.010222e+00
6.599999999999993e+00	5.010393e+00
6.699999999999992e+00	5.010564e+00
6.799999999999992e+00	5.010734e+00
6.899999999999991e+00	5.010904e+00
6.999999999999991e+00	5.011073e+00
7.099999999999991e+00	5.011241e+00
7.199999999999990e+00	5.011409e+00
7.299999999999990e+00	5.011577e+00
7.399999999999990e+00	5.011744e+00
7.499999999999989e+00	5.011911e+00
7.599999999999989e+00	5.012077e+00
7.699999999999989e+00	5.012243e+00
7.799999999999988e+00	5.012408e+00
7.899999999999988e+00	5.012573e+00
7.999999999999988e+00	5.012737e+00
8.099999999999987e+00	5.012900e+00
8.199999999999987e+00	5.013064e+00
8.299999999999986e+00	5.013227e+00
8.399999999999986e+00	5.013389e+00
8.499999999999986e+00	5.013551e+00
8.599999999999985e+00	5.013712e+00
8.699999999999985e+00	5.013874e+00
8.799999999999985e+00	5.014034e+00
8.899999999999984e+00	5.014194e+00
8.999999999999984e+00	5.014354e+00
