rl	V(vo)
1.000000000000000e-01	4.087783e-02
2.000000000000000e-01	8.362918e-02
3.000000000000000e-01	1.283859e-01
4.000000000000000e-01	1.752924e-01
5.000000000000000e-01	2.245075e-01
6.000000000000000e-01	2.762060e-01
7.000000000000000e-01	3.305806e-01
7.999999999999999e-01	3.878447e-01
8.999999999999999e-01	4.482350e-01
9.999999999999999e-01	5.120147e-01
1.100000000000000e+00	5.794773e-01
1.200000000000000e+00	6.509514e-01
1.300000000000000e+00	7.268059e-01
1.400000000000000e+00	8.074562e-01
1.500000000000000e+00	8.933720e-01
1.600000000000000e+00	9.850864e-01
1.700000000000000e+00	1.083207e+00
1.800000000000000e+00	1.188430e+00
1.900000000000001e+00	1.301555e+00
2.000000000000000e+00	1.423507e+00
2.100000000000001e+00	1.555362e+00
2.200000000000001e+00	1.698376e+00
2.300000000000001e+00	1.854030e+00
2.400000000000001e+00	2.024077e+00
2.500000000000001e+00	2.210611e+00
2.600000000000001e+00	2.416152e+00
2.700000000000001e+00	2.643761e+00
2.800000000000001e+00	2.897197e+00
2.900000000000001e+00	3.181119e+00
3.000000000000001e+00	3.501382e+00
3.100000000000001e+00	3.865441e+00
3.200000000000002e+00	4.282941e+00
3.300000000000002e+00	4.764901e+00
3.400000000000002e+00	5.014359e+00
3.500000000000002e+00	5.016445e+00
3.600000000000002e+00	5.016634e+00
3.700000000000002e+00	5.016808e+00
3.800000000000002e+00	5.016969e+00
3.900000000000002e+00	5.017120e+00
4.000000000000002e+00	5.017261e+00
4.100000000000001e+00	5.017393e+00
4.200000000000001e+00	5.017517e+00
4.300000000000001e+00	5.017633e+00
4.400000000000000e+00	5.017743e+00
4.500000000000000e+00	5.017846e+00
4.600000000000000e+00	5.017991e+00
4.699999999999999e+00	5.018035e+00
4.799999999999999e+00	5.018588e+00
4.899999999999999e+00	5.018205e+00
4.999999999999998e+00	5.018283e+00
5.099999999999998e+00	5.018357e+00
5.199999999999998e+00	5.018428e+00
5.299999999999997e+00	5.018496e+00
5.399999999999997e+00	5.018560e+00
5.499999999999996e+00	5.018615e+00
5.599999999999996e+00	5.018680e+00
5.699999999999996e+00	5.018735e+00
5.799999999999995e+00	5.018789e+00
5.899999999999995e+00	5.018840e+00
5.999999999999995e+00	5.018889e+00
6.099999999999994e+00	5.018937e+00
6.199999999999994e+00	5.018982e+00
6.299999999999994e+00	5.019025e+00
6.399999999999993e+00	5.019067e+00
6.499999999999993e+00	5.019107e+00
6.599999999999993e+00	5.019146e+00
6.699999999999992e+00	5.019183e+00
6.799999999999992e+00	5.019219e+00
6.899999999999991e+00	5.019254e+00
6.999999999999991e+00	5.019288e+00
7.099999999999991e+00	5.019321e+00
7.199999999999990e+00	5.019351e+00
7.299999999999990e+00	5.019381e+00
7.399999999999990e+00	5.019410e+00
7.499999999999989e+00	5.019438e+00
7.599999999999989e+00	5.019466e+00
7.699999999999989e+00	5.019492e+00
7.799999999999988e+00	5.019518e+00
7.899999999999988e+00	5.019543e+00
7.999999999999988e+00	5.019567e+00
8.099999999999987e+00	5.019590e+00
8.199999999999987e+00	5.019613e+00
8.299999999999986e+00	5.019635e+00
8.399999999999986e+00	5.019657e+00
8.499999999999986e+00	5.020347e+00
8.599999999999985e+00	5.019698e+00
8.699999999999985e+00	5.019717e+00
8.799999999999985e+00	5.019736e+00
8.899999999999984e+00	5.019755e+00
8.999999999999984e+00	5.019773e+00
9.099999999999984e+00	5.019791e+00
9.199999999999983e+00	5.019808e+00
9.299999999999983e+00	5.019825e+00
9.399999999999983e+00	5.019842e+00
9.499999999999982e+00	5.019857e+00
9.599999999999982e+00	5.019873e+00
9.699999999999982e+00	5.019888e+00
9.799999999999981e+00	5.019903e+00
9.899999999999981e+00	5.019917e+00
9.999999999999980e+00	5.019932e+00
1.009999999999998e+01	5.019946e+00
1.019999999999998e+01	5.019959e+00
1.029999999999998e+01	5.019972e+00
1.039999999999998e+01	5.019985e+00
1.049999999999998e+01	5.019998e+00
1.059999999999998e+01	5.020010e+00
1.069999999999998e+01	5.020022e+00
1.079999999999998e+01	5.020034e+00
1.089999999999998e+01	5.020046e+00
1.099999999999998e+01	5.020057e+00
1.109999999999998e+01	5.020068e+00
1.119999999999998e+01	5.020079e+00
1.129999999999998e+01	5.020090e+00
1.139999999999998e+01	5.020100e+00
1.149999999999998e+01	5.020111e+00
1.159999999999997e+01	5.020121e+00
1.169999999999997e+01	5.020130e+00
1.179999999999997e+01	5.020140e+00
1.189999999999997e+01	5.020149e+00
1.199999999999997e+01	5.020159e+00
1.209999999999997e+01	5.020168e+00
1.219999999999997e+01	5.020176e+00
1.229999999999997e+01	5.020185e+00
1.239999999999997e+01	5.020194e+00
1.249999999999997e+01	5.020203e+00
1.259999999999997e+01	5.020211e+00
1.269999999999997e+01	5.020219e+00
1.279999999999997e+01	5.020227e+00
1.289999999999997e+01	5.020235e+00
1.299999999999997e+01	5.020243e+00
1.309999999999997e+01	5.020250e+00
1.319999999999997e+01	5.020257e+00
1.329999999999997e+01	5.020265e+00
1.339999999999997e+01	5.020272e+00
1.349999999999997e+01	5.020279e+00
1.359999999999997e+01	5.020286e+00
1.369999999999997e+01	5.020293e+00
1.379999999999997e+01	5.020300e+00
1.389999999999997e+01	5.020307e+00
1.399999999999997e+01	5.020313e+00
1.409999999999997e+01	5.020319e+00
1.419999999999997e+01	5.020326e+00
1.429999999999997e+01	5.020332e+00
1.439999999999996e+01	5.020338e+00
1.449999999999996e+01	5.020344e+00
1.459999999999996e+01	5.020350e+00
1.469999999999996e+01	5.020356e+00
1.479999999999996e+01	5.020362e+00
1.489999999999996e+01	5.020368e+00
1.499999999999996e+01	5.020373e+00
1.509999999999996e+01	5.020379e+00
1.519999999999996e+01	5.020384e+00
1.529999999999996e+01	5.020390e+00
1.539999999999996e+01	5.020395e+00
1.549999999999996e+01	5.020400e+00
1.559999999999996e+01	5.020405e+00
1.569999999999996e+01	5.020410e+00
1.579999999999996e+01	5.020415e+00
1.589999999999996e+01	5.020420e+00
1.599999999999996e+01	5.020425e+00
1.609999999999996e+01	5.020430e+00
1.619999999999996e+01	5.020434e+00
1.629999999999996e+01	5.020439e+00
1.639999999999996e+01	5.020443e+00
1.649999999999996e+01	5.020448e+00
1.659999999999997e+01	5.020452e+00
1.669999999999997e+01	5.020457e+00
1.679999999999997e+01	5.020462e+00
1.689999999999997e+01	5.020466e+00
1.699999999999997e+01	5.020470e+00
1.709999999999997e+01	5.020474e+00
1.719999999999997e+01	5.020478e+00
1.729999999999998e+01	5.020483e+00
1.739999999999998e+01	5.020486e+00
1.749999999999998e+01	5.020491e+00
1.759999999999998e+01	5.020494e+00
1.769999999999998e+01	5.020498e+00
1.779999999999998e+01	5.020502e+00
1.789999999999998e+01	5.020506e+00
1.799999999999999e+01	5.020510e+00
1.809999999999999e+01	5.020514e+00
1.819999999999999e+01	5.020517e+00
1.829999999999999e+01	5.020521e+00
1.839999999999999e+01	5.020525e+00
1.849999999999999e+01	5.020528e+00
1.859999999999999e+01	5.020531e+00
1.870000000000000e+01	5.020535e+00
1.880000000000000e+01	5.020538e+00
1.890000000000000e+01	5.020542e+00
1.900000000000000e+01	5.020545e+00
1.910000000000000e+01	5.020548e+00
1.920000000000000e+01	5.020552e+00
1.930000000000000e+01	5.020555e+00
1.940000000000001e+01	5.020558e+00
1.950000000000001e+01	5.020561e+00
1.960000000000001e+01	5.020564e+00
1.970000000000001e+01	5.020567e+00
1.980000000000001e+01	5.020570e+00
1.990000000000001e+01	5.020573e+00
2.000000000000001e+01	5.020576e+00
2.010000000000002e+01	5.020579e+00
2.020000000000002e+01	5.020582e+00
2.030000000000002e+01	5.020585e+00
2.040000000000002e+01	5.020588e+00
2.050000000000002e+01	5.020591e+00
2.060000000000002e+01	5.020594e+00
2.070000000000002e+01	5.020597e+00
2.080000000000003e+01	5.020599e+00
2.090000000000003e+01	5.020602e+00
2.100000000000003e+01	5.020605e+00
2.110000000000003e+01	5.020607e+00
2.120000000000003e+01	5.020610e+00
2.130000000000003e+01	5.020613e+00
2.140000000000003e+01	5.020615e+00
2.150000000000004e+01	5.020617e+00
2.160000000000004e+01	5.020620e+00
2.170000000000004e+01	5.020623e+00
2.180000000000004e+01	5.020625e+00
2.190000000000004e+01	5.020627e+00
2.200000000000004e+01	5.020630e+00
2.210000000000004e+01	5.020633e+00
2.220000000000005e+01	5.020635e+00
2.230000000000005e+01	5.020638e+00
2.240000000000005e+01	5.020639e+00
2.250000000000005e+01	5.020642e+00
2.260000000000005e+01	5.020644e+00
2.270000000000005e+01	5.020647e+00
2.280000000000005e+01	5.020649e+00
2.290000000000006e+01	5.020651e+00
2.300000000000006e+01	5.020653e+00
2.310000000000006e+01	5.020656e+00
2.320000000000006e+01	5.020658e+00
2.330000000000006e+01	5.020660e+00
2.340000000000006e+01	5.020662e+00
2.350000000000006e+01	5.020664e+00
2.360000000000007e+01	5.020666e+00
2.370000000000007e+01	5.020669e+00
2.380000000000007e+01	5.020670e+00
2.390000000000007e+01	5.020672e+00
2.400000000000007e+01	5.020675e+00
2.410000000000007e+01	5.020677e+00
2.420000000000007e+01	5.020679e+00
2.430000000000008e+01	5.020680e+00
2.440000000000008e+01	5.020682e+00
2.450000000000008e+01	5.020684e+00
2.460000000000008e+01	5.020686e+00
2.470000000000008e+01	5.020688e+00
2.480000000000008e+01	5.020690e+00
2.490000000000008e+01	5.020692e+00
2.500000000000009e+01	5.020694e+00
2.510000000000009e+01	5.020696e+00
2.520000000000009e+01	5.020698e+00
2.530000000000009e+01	5.020700e+00
2.540000000000009e+01	5.020701e+00
2.550000000000009e+01	5.020703e+00
2.560000000000009e+01	5.020705e+00
2.570000000000010e+01	5.020707e+00
2.580000000000010e+01	5.020708e+00
2.590000000000010e+01	5.020710e+00
2.600000000000010e+01	5.020712e+00
2.610000000000010e+01	5.020713e+00
2.620000000000010e+01	5.020715e+00
2.630000000000010e+01	5.020717e+00
2.640000000000011e+01	5.020719e+00
2.650000000000011e+01	5.020720e+00
2.660000000000011e+01	5.020722e+00
2.670000000000011e+01	5.020723e+00
2.680000000000011e+01	5.020725e+00
2.690000000000011e+01	5.020727e+00
2.700000000000011e+01	5.020728e+00
2.710000000000012e+01	5.020730e+00
2.720000000000012e+01	5.020731e+00
2.730000000000012e+01	5.020733e+00
2.740000000000012e+01	5.020734e+00
2.750000000000012e+01	5.020736e+00
2.760000000000012e+01	5.020738e+00
2.770000000000012e+01	5.020739e+00
2.780000000000013e+01	5.020741e+00
2.790000000000013e+01	5.020742e+00
2.800000000000013e+01	5.020743e+00
2.810000000000013e+01	5.020745e+00
2.820000000000013e+01	5.020746e+00
2.830000000000013e+01	5.020748e+00
2.840000000000013e+01	5.020750e+00
2.850000000000014e+01	5.020751e+00
2.860000000000014e+01	5.020752e+00
2.870000000000014e+01	5.020753e+00
2.880000000000014e+01	5.020755e+00
2.890000000000014e+01	5.020756e+00
2.900000000000014e+01	5.020758e+00
2.910000000000014e+01	5.020759e+00
2.920000000000014e+01	5.020761e+00
2.930000000000015e+01	5.020762e+00
2.940000000000015e+01	5.020763e+00
2.950000000000015e+01	5.020764e+00
2.960000000000015e+01	5.020766e+00
2.970000000000015e+01	5.020767e+00
2.980000000000015e+01	5.020769e+00
2.990000000000015e+01	5.020770e+00
3.000000000000016e+01	5.020771e+00
3.010000000000016e+01	5.020772e+00
3.020000000000016e+01	5.020773e+00
3.030000000000016e+01	5.020775e+00
3.040000000000016e+01	5.020776e+00
3.050000000000016e+01	5.020777e+00
3.060000000000016e+01	5.020779e+00
3.070000000000017e+01	5.020780e+00
3.080000000000017e+01	5.020781e+00
3.090000000000017e+01	5.020782e+00
3.100000000000017e+01	5.020783e+00
3.110000000000017e+01	5.020784e+00
3.120000000000017e+01	5.020786e+00
3.130000000000017e+01	5.020787e+00
3.140000000000018e+01	5.020788e+00
3.150000000000018e+01	5.020789e+00
3.160000000000018e+01	5.020791e+00
3.170000000000018e+01	5.020792e+00
3.180000000000018e+01	5.020793e+00
3.190000000000018e+01	5.020794e+00
3.200000000000018e+01	5.020795e+00
3.210000000000019e+01	5.020796e+00
3.220000000000019e+01	5.020797e+00
3.230000000000019e+01	5.020798e+00
3.240000000000019e+01	5.020800e+00
3.250000000000019e+01	5.020801e+00
3.260000000000019e+01	5.020802e+00
3.270000000000019e+01	5.020802e+00
3.280000000000020e+01	5.020804e+00
3.290000000000020e+01	5.020805e+00
3.300000000000020e+01	5.020806e+00
3.310000000000020e+01	5.020807e+00
3.320000000000020e+01	5.020808e+00
3.330000000000020e+01	5.020809e+00
3.340000000000020e+01	5.020810e+00
3.350000000000021e+01	5.020811e+00
3.360000000000021e+01	5.020812e+00
3.370000000000021e+01	5.020813e+00
3.380000000000021e+01	5.020814e+00
3.390000000000021e+01	5.020815e+00
3.400000000000021e+01	5.020816e+00
3.410000000000021e+01	5.020817e+00
3.420000000000022e+01	5.020818e+00
3.430000000000022e+01	5.020819e+00
3.440000000000022e+01	5.020820e+00
3.450000000000022e+01	5.020821e+00
3.460000000000022e+01	5.020822e+00
3.470000000000022e+01	5.020823e+00
3.480000000000022e+01	5.020824e+00
3.490000000000023e+01	5.020825e+00
3.500000000000023e+01	5.020826e+00
3.510000000000023e+01	5.020827e+00
3.520000000000023e+01	5.020828e+00
3.530000000000023e+01	5.020829e+00
3.540000000000023e+01	5.020830e+00
3.550000000000023e+01	5.020831e+00
3.560000000000024e+01	5.020832e+00
3.570000000000024e+01	5.020832e+00
3.580000000000024e+01	5.020833e+00
3.590000000000024e+01	5.020834e+00
3.600000000000024e+01	5.020835e+00
3.610000000000024e+01	5.020836e+00
3.620000000000024e+01	5.020837e+00
3.630000000000025e+01	5.020838e+00
3.640000000000025e+01	5.020839e+00
3.650000000000025e+01	5.020839e+00
3.660000000000025e+01	5.020840e+00
3.670000000000025e+01	5.020841e+00
3.680000000000025e+01	5.020842e+00
3.690000000000025e+01	5.020843e+00
3.700000000000026e+01	5.020844e+00
3.710000000000026e+01	5.020844e+00
3.720000000000026e+01	5.020845e+00
3.730000000000026e+01	5.020846e+00
3.740000000000026e+01	5.020847e+00
3.750000000000026e+01	5.020848e+00
3.760000000000026e+01	5.020849e+00
3.770000000000027e+01	5.020849e+00
3.780000000000027e+01	5.020850e+00
3.790000000000027e+01	5.020851e+00
3.800000000000027e+01	5.020852e+00
3.810000000000027e+01	5.020853e+00
3.820000000000027e+01	5.020854e+00
3.830000000000027e+01	5.020854e+00
3.840000000000028e+01	5.020855e+00
3.850000000000028e+01	5.020856e+00
