Freq.	V(vo)/V(vp)
1.00000000000000e-01	(5.81083418568311e+01dB,-1.72623380712588e+02°)
1.01157945425990e-01	(5.81099717757053e+01dB,-1.72706907097461e+02°)
1.02329299228075e-01	(5.81115651843001e+01dB,-1.72789508024680e+02°)
1.03514216667934e-01	(5.81131228874957e+01dB,-1.72871193069350e+02°)
1.04712854805090e-01	(5.81146456730056e+01dB,-1.72951971730361e+02°)
1.05925372517729e-01	(5.81161343117106e+01dB,-1.73031853430196e+02°)
1.07151930523761e-01	(5.81175895580025e+01dB,-1.73110847514763e+02°)
1.08392691402120e-01	(5.81190121501044e+01dB,-1.73188963253278e+02°)
1.09647819614319e-01	(5.81204028104013e+01dB,-1.73266209838160e+02°)
1.10917481526240e-01	(5.81217622457569e+01dB,-1.73342596384974e+02°)
1.12201845430196e-01	(5.81230911478265e+01dB,-1.73418131932392e+02°)
1.13501081567232e-01	(5.81243901933637e+01dB,-1.73492825442191e+02°)
1.14815362149688e-01	(5.81256600445226e+01dB,-1.73566685799277e+02°)
1.16144861384034e-01	(5.81269013491604e+01dB,-1.73639721811726e+02°)
1.17489755493953e-01	(5.81281147411202e+01dB,-1.73711942210869e+02°)
1.18850222743702e-01	(5.81293008405234e+01dB,-1.73783355651385e+02°)
1.20226443461741e-01	(5.81304602540507e+01dB,-1.73853970711419e+02°)
1.21618600064637e-01	(5.81315935752179e+01dB,-1.73923795892734e+02°)
1.23026877081238e-01	(5.81327013846446e+01dB,-1.73992839620875e+02°)
1.24451461177139e-01	(5.81337842503268e+01dB,-1.74061110245349e+02°)
1.25892541179417e-01	(5.81348427278920e+01dB,-1.74128616039837e+02°)
1.27350308101666e-01	(5.81358773608609e+01dB,-1.74195365202417e+02°)
1.28824955169314e-01	(5.81368886808954e+01dB,-1.74261365855804e+02°)
1.30316677845230e-01	(5.81378772080489e+01dB,-1.74326626047612e+02°)
1.31825673855641e-01	(5.81388434510073e+01dB,-1.74391153750627e+02°)
1.33352143216333e-01	(5.81397879073264e+01dB,-1.74454956863100e+02°)
1.34896288259166e-01	(5.81407110636683e+01dB,-1.74518043209049e+02°)
1.36458313658893e-01	(5.81416133960273e+01dB,-1.74580420538585e+02°)
1.38038426460289e-01	(5.81424953699558e+01dB,-1.74642096528236e+02°)
1.39636836105594e-01	(5.81433574407851e+01dB,-1.74703078781302e+02°)
1.41253754462276e-01	(5.81442000538403e+01dB,-1.74763374828204e+02°)
1.42889395851111e-01	(5.81450236446546e+01dB,-1.74822992126858e+02°)
1.44543977074593e-01	(5.81458286391738e+01dB,-1.74881938063055e+02°)
1.46217717445672e-01	(5.81466154539614e+01dB,-1.74940219950845e+02°)
1.47910838816821e-01	(5.81473844964007e+01dB,-1.74997845032943e+02°)
1.49623565609444e-01	(5.81481361648863e+01dB,-1.75054820481135e+02°)
1.51356124843621e-01	(5.81488708490185e+01dB,-1.75111153396691e+02°)
1.53108746168203e-01	(5.81495889297912e+01dB,-1.75166850810797e+02°)
1.54881661891248e-01	(5.81502907797762e+01dB,-1.75221919684982e+02°)
1.56675107010815e-01	(5.81509767633031e+01dB,-1.75276366911559e+02°)
1.58489319246112e-01	(5.81516472366365e+01dB,-1.75330199314072e+02°)
1.60324539069005e-01	(5.81523025481506e+01dB,-1.75383423647747e+02°)
1.62181009735893e-01	(5.81529430384971e+01dB,-1.75436046599950e+02°)
1.64058977319954e-01	(5.81535690407756e+01dB,-1.75488074790652e+02°)
1.65958690743757e-01	(5.81541808806902e+01dB,-1.75539514772894e+02°)
1.67880401812256e-01	(5.81547788767152e+01dB,-1.75590373033262e+02°)
1.69824365246175e-01	(5.81553633402503e+01dB,-1.75640655992365e+02°)
1.71790838715759e-01	(5.81559345757715e+01dB,-1.75690370005310e+02°)
1.73780082874938e-01	(5.81564928809839e+01dB,-1.75739521362195e+02°)
1.75792361395870e-01	(5.81570385469663e+01dB,-1.75788116288588e+02°)
1.77827941003893e-01	(5.81575718583208e+01dB,-1.75836160946021e+02°)
1.79887091512879e-01	(5.81580930933059e+01dB,-1.75883661432483e+02°)
1.81970085860999e-01	(5.81586025239790e+01dB,-1.75930623782916e+02°)
1.84077200146896e-01	(5.81591004163328e+01dB,-1.75977053969708e+02°)
