Freq.	V(vo)/V(vp)
1.00000000000000e-01	(5.40409590960839e+01dB,-1.75381394690095e+02°)
1.01157945425990e-01	(5.40416001333434e+01dB,-1.75434039331855e+02°)
1.02329299228075e-01	(5.40422266702301e+01dB,-1.75486088959091e+02°)
1.03514216667934e-01	(5.40428390327226e+01dB,-1.75537550127249e+02°)
1.04712854805090e-01	(5.40434375395931e+01dB,-1.75588429325285e+02°)
1.05925372517729e-01	(5.40440225024853e+01dB,-1.75638732976181e+02°)
1.07151930523761e-01	(5.40445942261309e+01dB,-1.75688467437396e+02°)
1.08392691402120e-01	(5.40451530084529e+01dB,-1.75737639001369e+02°)
1.09647819614319e-01	(5.40456991408226e+01dB,-1.75786253895955e+02°)
1.10917481526240e-01	(5.40462329080624e+01dB,-1.75834318284986e+02°)
1.12201845430196e-01	(5.40467545886502e+01dB,-1.75881838268729e+02°)
1.13501081567232e-01	(5.40472644549200e+01dB,-1.75928819884353e+02°)
1.14815362149688e-01	(5.40477627730238e+01dB,-1.75975269106509e+02°)
1.16144861384034e-01	(5.40482498032857e+01dB,-1.76021191847721e+02°)
1.17489755493953e-01	(5.40487258001428e+01dB,-1.76066593958978e+02°)
1.18850222743702e-01	(5.40491910124284e+01dB,-1.76111481230162e+02°)
1.20226443461741e-01	(5.40496456833078e+01dB,-1.76155859390634e+02°)
1.21618600064637e-01	(5.40500900505896e+01dB,-1.76199734109656e+02°)
1.23026877081238e-01	(5.40505243467991e+01dB,-1.76243110996908e+02°)
1.24451461177139e-01	(5.40509487991655e+01dB,-1.76285995603058e+02°)
1.25892541179417e-01	(5.40513636298957e+01dB,-1.76328393420187e+02°)
1.27350308101666e-01	(5.40517690562247e+01dB,-1.76370309882326e+02°)
1.28824955169314e-01	(5.40521652905059e+01dB,-1.76411750365965e+02°)
1.30316677845230e-01	(5.40525525402888e+01dB,-1.76452720190570e+02°)
1.31825673855641e-01	(5.40529310085821e+01dB,-1.76493224619016e+02°)
1.33352143216333e-01	(5.40533008937339e+01dB,-1.76533268858184e+02°)
1.34896288259166e-01	(5.40536623897214e+01dB,-1.76572858059385e+02°)
1.36458313658893e-01	(5.40540156861249e+01dB,-1.76611997318906e+02°)
1.38038426460289e-01	(5.40543609682696e+01dB,-1.76650691678494e+02°)
1.39636836105594e-01	(5.40546984173677e+01dB,-1.76688946125834e+02°)
1.41253754462276e-01	(5.40550282105468e+01dB,-1.76726765595068e+02°)
