vreg	V(vo)
0.000000000000000e+00	1.724476e-05
1.000000000000000e-01	1.727227e-05
2.000000000000000e-01	1.733270e-05
3.000000000000000e-01	1.738900e-05
4.000000000000000e-01	1.741276e-05
5.000000000000000e-01	1.742255e-05
6.000000000000000e-01	1.743159e-05
7.000000000000000e-01	1.744079e-05
7.999999999999999e-01	1.745018e-05
8.999999999999999e-01	1.745975e-05
9.999999999999999e-01	1.746950e-05
1.100000000000000e+00	1.747941e-05
1.200000000000000e+00	1.748948e-05
1.300000000000000e+00	1.749969e-05
1.400000000000000e+00	1.751006e-05
1.500000000000000e+00	1.752058e-05
1.600000000000000e+00	1.753121e-05
1.700000000000000e+00	1.754214e-05
1.800000000000000e+00	1.755916e-05
1.900000000000001e+00	1.787175e-05
2.000000000000000e+00	3.554388e-05
2.100000000000001e+00	9.431952e-04
2.200000000000001e+00	4.295805e-02
2.300000000000001e+00	1.346192e+00
2.400000000000001e+00	1.632248e+00
2.500000000000001e+00	1.729633e+00
2.600000000000001e+00	1.815743e+00
2.700000000000001e+00	1.907827e+00
2.800000000000001e+00	2.001584e+00
2.900000000000001e+00	2.095428e+00
3.000000000000001e+00	2.189283e+00
3.100000000000001e+00	2.283140e+00
3.200000000000002e+00	2.377001e+00
3.300000000000002e+00	2.470862e+00
3.400000000000002e+00	2.564722e+00
3.500000000000002e+00	2.658579e+00
3.600000000000002e+00	2.752433e+00
3.700000000000002e+00	2.846282e+00
3.800000000000002e+00	2.940126e+00
3.900000000000002e+00	3.033963e+00
4.000000000000002e+00	3.127793e+00
4.100000000000001e+00	3.221616e+00
4.200000000000001e+00	3.315431e+00
4.300000000000001e+00	3.409238e+00
4.400000000000000e+00	3.503037e+00
4.500000000000000e+00	3.596827e+00
4.600000000000000e+00	3.690603e+00
4.699999999999999e+00	3.784375e+00
4.799999999999999e+00	3.878138e+00
4.899999999999999e+00	3.971892e+00
4.999999999999998e+00	4.065636e+00
5.099999999999998e+00	4.159371e+00
5.199999999999998e+00	4.253102e+00
5.299999999999997e+00	4.346817e+00
5.399999999999997e+00	4.440523e+00
5.499999999999996e+00	4.534218e+00
5.599999999999996e+00	4.627898e+00
5.699999999999996e+00	4.721533e+00
5.799999999999995e+00	4.814962e+00
5.899999999999995e+00	4.906982e+00
5.999999999999995e+00	4.985421e+00
6.099999999999994e+00	5.007836e+00
6.199999999999994e+00	5.008943e+00
6.299999999999994e+00	5.009138e+00
6.399999999999993e+00	5.009309e+00
6.499999999999993e+00	5.009480e+00
6.599999999999993e+00	5.009649e+00
6.699999999999992e+00	5.009819e+00
6.799999999999992e+00	5.009987e+00
6.899999999999991e+00	5.010155e+00
6.999999999999991e+00	5.010323e+00
7.099999999999991e+00	5.010490e+00
7.199999999999990e+00	5.010656e+00
7.299999999999990e+00	5.010822e+00
7.399999999999990e+00	5.010988e+00
7.499999999999989e+00	5.011153e+00
7.599999999999989e+00	5.011318e+00
7.699999999999989e+00	5.011482e+00
7.799999999999988e+00	5.011646e+00
7.899999999999988e+00	5.011809e+00
7.999999999999988e+00	5.011971e+00
8.099999999999987e+00	5.012134e+00
8.199999999999987e+00	5.012296e+00
8.299999999999986e+00	5.012457e+00
8.399999999999986e+00	5.012618e+00
8.499999999999986e+00	5.012778e+00
8.599999999999985e+00	5.012938e+00
8.699999999999985e+00	5.013098e+00
8.799999999999985e+00	5.013257e+00
8.899999999999984e+00	5.013416e+00
8.999999999999984e+00	5.013574e+00
9.099999999999984e+00	5.013731e+00
9.199999999999983e+00	5.013889e+00
9.299999999999983e+00	5.014046e+00
9.399999999999983e+00	5.014203e+00
9.499999999999982e+00	5.014359e+00
9.599999999999982e+00	5.014514e+00
9.699999999999982e+00	5.014669e+00
9.799999999999981e+00	5.014824e+00
9.899999999999981e+00	5.014978e+00
9.999999999999980e+00	5.015132e+00
1.009999999999998e+01	5.015286e+00
1.019999999999998e+01	5.015439e+00
1.029999999999998e+01	5.015592e+00
1.039999999999998e+01	5.015744e+00
1.049999999999998e+01	5.015896e+00
1.059999999999998e+01	5.016047e+00
1.069999999999998e+01	5.016199e+00
1.079999999999998e+01	5.016349e+00
1.089999999999998e+01	5.016500e+00
1.099999999999998e+01	5.016649e+00
1.109999999999998e+01	5.016799e+00
1.119999999999998e+01	5.016948e+00
1.129999999999998e+01	5.017097e+00
1.139999999999998e+01	5.017245e+00
1.149999999999998e+01	5.017393e+00
1.159999999999997e+01	5.017541e+00
1.169999999999997e+01	5.017688e+00
1.179999999999997e+01	5.017835e+00
1.189999999999997e+01	5.017981e+00
1.199999999999997e+01	5.018127e+00
1.209999999999997e+01	5.018273e+00
1.219999999999997e+01	5.018418e+00
1.229999999999997e+01	5.018563e+00
1.239999999999997e+01	5.018708e+00
1.249999999999997e+01	5.018852e+00
1.259999999999997e+01	5.018996e+00
1.269999999999997e+01	5.019140e+00
1.279999999999997e+01	5.019283e+00
1.289999999999997e+01	5.019426e+00
1.299999999999997e+01	5.019568e+00
1.309999999999997e+01	5.019711e+00
1.319999999999997e+01	5.019853e+00
1.329999999999997e+01	5.019994e+00
1.339999999999997e+01	5.020135e+00
1.349999999999997e+01	5.020276e+00
1.359999999999997e+01	5.020416e+00
1.369999999999997e+01	5.020556e+00
1.379999999999997e+01	5.020696e+00
1.389999999999997e+01	5.020835e+00
1.399999999999997e+01	5.020975e+00
1.409999999999997e+01	5.021113e+00
1.419999999999997e+01	5.021252e+00
1.429999999999997e+01	5.021390e+00
1.439999999999996e+01	5.021528e+00
1.449999999999996e+01	5.021665e+00
1.459999999999996e+01	5.021802e+00
1.469999999999996e+01	5.021939e+00
1.479999999999996e+01	5.022076e+00
1.489999999999996e+01	5.022212e+00
1.499999999999996e+01	5.022347e+00
1.509999999999996e+01	5.022483e+00
1.519999999999996e+01	5.022618e+00
1.529999999999996e+01	5.022753e+00
1.539999999999996e+01	5.022888e+00
1.549999999999996e+01	5.023022e+00
1.559999999999996e+01	5.023156e+00
1.569999999999996e+01	5.023290e+00
1.579999999999996e+01	5.023423e+00
1.589999999999996e+01	5.023556e+00
1.599999999999996e+01	5.023689e+00
1.609999999999996e+01	5.023821e+00
1.619999999999996e+01	5.023954e+00
1.629999999999996e+01	5.024086e+00
1.639999999999996e+01	5.024217e+00
1.649999999999996e+01	5.024348e+00
1.659999999999997e+01	5.024479e+00
1.669999999999997e+01	5.024610e+00
1.679999999999997e+01	5.024741e+00
1.689999999999997e+01	5.024871e+00
1.699999999999997e+01	5.025001e+00
1.709999999999997e+01	5.025130e+00
1.719999999999997e+01	5.025259e+00
1.729999999999998e+01	5.025388e+00
1.739999999999998e+01	5.025517e+00
1.749999999999998e+01	5.025645e+00
1.759999999999998e+01	5.025774e+00
1.769999999999998e+01	5.025901e+00
1.779999999999998e+01	5.026029e+00
1.789999999999998e+01	5.026156e+00
1.799999999999999e+01	5.026283e+00
1.809999999999999e+01	5.026410e+00
1.819999999999999e+01	5.026536e+00
