vreg	V(vo)
0.000000000000000e+00	2.028724e-05
1.000000000000000e-01	2.031959e-05
2.000000000000000e-01	2.039069e-05
3.000000000000000e-01	2.045692e-05
4.000000000000000e-01	2.048487e-05
5.000000000000000e-01	2.049638e-05
6.000000000000000e-01	2.050703e-05
7.000000000000000e-01	2.051784e-05
7.999999999999999e-01	2.052889e-05
8.999999999999999e-01	2.054015e-05
9.999999999999999e-01	2.055162e-05
1.100000000000000e+00	2.056326e-05
1.200000000000000e+00	2.057513e-05
1.300000000000000e+00	2.058715e-05
1.400000000000000e+00	2.059934e-05
1.500000000000000e+00	2.061172e-05
1.600000000000000e+00	2.062423e-05
1.700000000000000e+00	2.063708e-05
1.800000000000000e+00	2.065711e-05
1.900000000000001e+00	2.102482e-05
2.000000000000000e+00	4.181486e-05
2.100000000000001e+00	1.109591e-03
2.200000000000001e+00	5.051361e-02
2.300000000000001e+00	1.448766e+00
2.400000000000001e+00	1.651060e+00
2.500000000000001e+00	1.747304e+00
2.600000000000001e+00	1.833023e+00
2.700000000000001e+00	1.926020e+00
2.800000000000001e+00	2.020333e+00
2.900000000000001e+00	2.114999e+00
3.000000000000001e+00	2.209693e+00
3.100000000000001e+00	2.304396e+00
3.200000000000002e+00	2.399109e+00
3.300000000000002e+00	2.493830e+00
3.400000000000002e+00	2.588557e+00
3.500000000000002e+00	2.683287e+00
3.600000000000002e+00	2.778019e+00
3.700000000000002e+00	2.872753e+00
3.800000000000002e+00	2.967485e+00
3.900000000000002e+00	3.062217e+00
4.000000000000002e+00	3.156946e+00
4.100000000000001e+00	3.251673e+00
4.200000000000001e+00	3.346395e+00
4.300000000000001e+00	3.441113e+00
4.400000000000000e+00	3.535827e+00
4.500000000000000e+00	3.630536e+00
4.600000000000000e+00	3.725240e+00
4.699999999999999e+00	3.819938e+00
4.799999999999999e+00	3.914630e+00
4.899999999999999e+00	4.009316e+00
4.999999999999998e+00	4.103996e+00
5.099999999999998e+00	4.198669e+00
5.199999999999998e+00	4.293336e+00
5.299999999999997e+00	4.387996e+00
