Freq.	V(vo)/V(vp)
1.00000000000000e-01	(-6.75208205102609e+01dB,1.54047816437702e-02°)
1.01157945425990e-01	(-6.75208204939526e+01dB,1.49983875661882e-02°)
1.02329299228075e-01	(-6.75208204781591e+01dB,1.45939815069978e-02°)
1.03514216667934e-01	(-6.75208204628715e+01dB,1.41915098627454e-02°)
1.04712854805090e-01	(-6.75208204480821e+01dB,1.37909192862805e-02°)
1.05925372517729e-01	(-6.75208204337832e+01dB,1.33921566798050e-02°)
1.07151930523761e-01	(-6.75208204199669e+01dB,1.29951691878341e-02°)
1.08392691402120e-01	(-6.75208204066260e+01dB,1.25999041901895e-02°)
1.09647819614319e-01	(-6.75208203937535e+01dB,1.22063092949308e-02°)
1.10917481526240e-01	(-6.75208203813425e+01dB,1.18143323315622e-02°)
1.12201845430196e-01	(-6.75208203693865e+01dB,1.14239213439859e-02°)
1.13501081567232e-01	(-6.75208203578784e+01dB,1.10350245837264e-02°)
1.14815362149688e-01	(-6.75208203468137e+01dB,1.06475905029797e-02°)
1.16144861384034e-01	(-6.75208203361848e+01dB,1.02615677478176e-02°)
1.17489755493953e-01	(-6.75208203259873e+01dB,9.87690515138094e-03°)
1.18850222743702e-01	(-6.75208203162154e+01dB,9.49355172711466e-03°)
1.20226443461741e-01	(-6.75208203068637e+01dB,9.11145666197485e-03°)
1.21618600064637e-01	(-6.75208202979273e+01dB,8.73056930972782e-03°)
1.23026877081238e-01	(-6.75208202894018e+01dB,8.35083918420326e-03°)
1.24451461177139e-01	(-6.75208202812824e+01dB,7.97221595261958e-03°)
1.25892541179417e-01	(-6.75208202735650e+01dB,7.59464942892839e-03°)
1.27350308101666e-01	(-6.75208202662452e+01dB,7.21808956711402e-03°)
1.28824955169314e-01	(-6.75208202593194e+01dB,6.84248645462440e-03°)
1.30316677845230e-01	(-6.75208202527834e+01dB,6.46779030570712e-03°)
1.31825673855641e-01	(-6.75208202466346e+01dB,6.09395145482651e-03°)
1.33352143216333e-01	(-6.75208202408693e+01dB,5.72092035011090e-03°)
1.34896288259166e-01	(-6.75208202354839e+01dB,5.34864754667792e-03°)
1.36458313658893e-01	(-6.75208202304766e+01dB,4.97708370026294e-03°)
1.38038426460289e-01	(-6.75208202258439e+01dB,4.60617956045258e-03°)
1.39636836105594e-01	(-6.75208202215840e+01dB,4.23588596438099e-03°)
1.41253754462276e-01	(-6.75208202176941e+01dB,3.86615383006414e-03°)
1.42889395851111e-01	(-6.75208202141724e+01dB,3.49693414992484e-03°)
1.44543977074593e-01	(-6.75208202110170e+01dB,3.12817798431185e-03°)
1.46217717445672e-01	(-6.75208202082260e+01dB,2.75983645506826e-03°)
1.47910838816821e-01	(-6.75208202057982e+01dB,2.39186073892649e-03°)
1.49623565609444e-01	(-6.75208202037322e+01dB,2.02420206113537e-03°)
1.51356124843621e-01	(-6.75208202020273e+01dB,1.65681168898035e-03°)
1.53108746168203e-01	(-6.75208202006817e+01dB,1.28964092529674e-03°)
1.54881661891248e-01	(-6.75208201996955e+01dB,9.22641101989612e-04°)
1.56675107010815e-01	(-6.75208201990681e+01dB,5.55763573701520e-04°)
1.58489319246112e-01	(-6.75208201987986e+01dB,1.88959711245116e-04°)
1.60324539069005e-01	(-6.75208201988875e+01dB,-1.77819104827629e-04°)
1.62181009735893e-01	(-6.75208201993343e+01dB,-5.44621490606005e-04°)
1.64058977319954e-01	(-6.75208202001399e+01dB,-9.11496065316205e-04°)
1.65958690743757e-01	(-6.75208202013039e+01dB,-1.27849145777701e-03°)
1.67880401812256e-01	(-6.75208202028275e+01dB,-1.64565631278387e-03°)
1.69824365246175e-01	(-6.75208202047114e+01dB,-2.01303929760651e-03°)
1.71790838715759e-01	(-6.75208202069566e+01dB,-2.38068910845063e-03°)
1.73780082874938e-01	(-6.75208202095640e+01dB,-2.74865447684153e-03°)
1.75792361395870e-01	(-6.75208202125354e+01dB,-3.11698417616635e-03°)
1.77827941003893e-01	(-6.75208202158720e+01dB,-3.48572702810305e-03°)
1.79887091512879e-01	(-6.75208202195762e+01dB,-3.85493190909147e-03°)
1.81970085860999e-01	(-6.75208202236494e+01dB,-4.22464775681199e-03°)
1.84077200146896e-01	(-6.75208202280938e+01dB,-4.59492357664989e-03°)
1.86208713666287e-01	(-6.75208202329117e+01dB,-4.96580844821424e-03°)
1.88364908948981e-01	(-6.75208202381060e+01dB,-5.33735153190761e-03°)
1.90546071796325e-01	(-6.75208202436793e+01dB,-5.70960207528980e-03°)
1.92752491319094e-01	(-6.75208202496345e+01dB,-6.08260941975746e-03°)
1.94984459975805e-01	(-6.75208202559745e+01dB,-6.45642300697682e-03°)
1.97242273611486e-01	(-6.75208202627034e+01dB,-6.83109238551120e-03°)
1.99526231496889e-01	(-6.75208202698239e+01dB,-7.20666721733616e-03°)
2.01836636368157e-01	(-6.75208202773405e+01dB,-7.58319728445352e-03°)
2.04173794466954e-01	(-6.75208202852567e+01dB,-7.96073249547905e-03°)
2.06538015581054e-01	(-6.75208202935769e+01dB,-8.33932289226789e-03°)
2.08929613085405e-01	(-6.75208203023053e+01dB,-8.71901865649834e-03°)
