Freq.	V(vo)/V(vp)
1.00000000000000e-01	(4.01223469016938e+01dB,-1.78274075392132e+02°)
1.01157945425990e-01	(4.01224365800628e+01dB,-1.78293820444493e+02°)
1.02329299228075e-01	(4.01225242188927e+01dB,-1.78313339879066e+02°)
1.03514216667934e-01	(4.01226098645270e+01dB,-1.78332636265006e+02°)
1.04712854805090e-01	(4.01226935622615e+01dB,-1.78351712142516e+02°)
1.05925372517729e-01	(4.01227753563609e+01dB,-1.78370570023165e+02°)
1.07151930523761e-01	(4.01228552900877e+01dB,-1.78389212390200e+02°)
1.08392691402120e-01	(4.01229334057228e+01dB,-1.78407641698856e+02°)
1.09647819614319e-01	(4.01230097445862e+01dB,-1.78425860376662e+02°)
1.10917481526240e-01	(4.01230843470612e+01dB,-1.78443870823747e+02°)
1.12201845430196e-01	(4.01231572526154e+01dB,-1.78461675413137e+02°)
1.13501081567232e-01	(4.01232284998189e+01dB,-1.78479276491055e+02°)
1.14815362149688e-01	(4.01232981263674e+01dB,-1.78496676377215e+02°)
1.16144861384034e-01	(4.01233661691006e+01dB,-1.78513877365115e+02°)
1.17489755493953e-01	(4.01234326640222e+01dB,-1.78530881722322e+02°)
1.18850222743702e-01	(4.01234976463191e+01dB,-1.78547691690763e+02°)
1.20226443461741e-01	(4.01235611503769e+01dB,-1.78564309487004e+02°)
1.21618600064637e-01	(4.01236232098037e+01dB,-1.78580737302531e+02°)
1.23026877081238e-01	(4.01236838574427e+01dB,-1.78596977304028e+02°)
1.24451461177139e-01	(4.01237431253906e+01dB,-1.78613031633652e+02°)
1.25892541179417e-01	(4.01238010450171e+01dB,-1.78628902409301e+02°)
1.27350308101666e-01	(4.01238576469788e+01dB,-1.78644591724886e+02°)
1.28824955169314e-01	(4.01239129612350e+01dB,-1.78660101650598e+02°)
1.30316677845230e-01	(4.01239670170665e+01dB,-1.78675434233166e+02°)
1.31825673855641e-01	(4.01240198430863e+01dB,-1.78690591496123e+02°)
1.33352143216333e-01	(4.01240714672605e+01dB,-1.78705575440060e+02°)
1.34896288259166e-01	(4.01241219169188e+01dB,-1.78720388042885e+02°)
1.36458313658893e-01	(4.01241712187684e+01dB,-1.78735031260069e+02°)
1.38038426460289e-01	(4.01242193989117e+01dB,-1.78749507024905e+02°)
1.39636836105594e-01	(4.01242664828579e+01dB,-1.78763817248746e+02°)
1.41253754462276e-01	(4.01243124955364e+01dB,-1.78777963821253e+02°)
1.42889395851111e-01	(4.01243574613087e+01dB,-1.78791948610641e+02°)
1.44543977074593e-01	(4.01244014039860e+01dB,-1.78805773463912e+02°)
1.46217717445672e-01	(4.01244443468354e+01dB,-1.78819440207096e+02°)
