vreg	V(vo)
0.000000000000000e+00	4.004383e-11
1.000000000000000e-02	4.923956e-08
2.000000000000000e-02	1.081547e-07
3.000000000000000e-02	1.787417e-07
4.000000000000000e-02	2.633658e-07
5.000000000000000e-02	3.648931e-07
6.000000000000000e-02	4.868050e-07
7.000000000000001e-02	6.333425e-07
8.000000000000000e-02	8.096880e-07
9.000000000000000e-02	1.022198e-06
9.999999999999999e-02	1.278698e-06
1.100000000000000e-01	1.588871e-06
1.200000000000000e-01	1.964751e-06
1.300000000000000e-01	2.421381e-06
1.400000000000000e-01	2.977670e-06
1.500000000000000e-01	3.657535e-06
1.600000000000000e-01	4.491428e-06
1.700000000000000e-01	5.518380e-06
1.800000000000000e-01	6.788755e-06
1.900000000000000e-01	8.368000e-06
2.000000000000000e-01	1.034172e-05
2.100000000000000e-01	1.282263e-05
2.200000000000001e-01	1.596004e-05
2.300000000000001e-01	1.995291e-05
2.400000000000001e-01	2.506765e-05
2.500000000000001e-01	3.166269e-05
2.600000000000001e-01	4.022201e-05
2.700000000000001e-01	5.140107e-05
2.800000000000001e-01	6.608944e-05
2.900000000000001e-01	8.549573e-05
3.000000000000001e-01	1.112620e-04
3.100000000000001e-01	1.456163e-04
3.200000000000001e-01	1.915744e-04
3.300000000000001e-01	2.532004e-04
3.400000000000001e-01	3.359376e-04
3.500000000000001e-01	4.470156e-04
3.600000000000002e-01	5.959288e-04
3.700000000000002e-01	7.949670e-04
3.800000000000002e-01	1.059746e-03
3.900000000000002e-01	1.409654e-03
4.000000000000002e-01	1.868078e-03
4.100000000000002e-01	2.462255e-03
4.200000000000002e-01	3.222587e-03
4.300000000000002e-01	4.181329e-03
4.400000000000002e-01	5.370699e-03
4.500000000000002e-01	6.820633e-03
4.600000000000002e-01	8.556568e-03
4.700000000000003e-01	1.059766e-02
4.800000000000003e-01	1.295579e-02
4.900000000000003e-01	1.563540e-02
5.000000000000002e-01	1.863413e-02
5.100000000000002e-01	2.194399e-02
5.200000000000002e-01	2.555271e-02
5.300000000000002e-01	2.944517e-02
5.400000000000003e-01	3.360454e-02
5.500000000000003e-01	3.801329e-02
5.600000000000003e-01	4.265393e-02
5.700000000000003e-01	4.750947e-02
5.800000000000003e-01	5.256374e-02
5.900000000000003e-01	5.780162e-02
6.000000000000003e-01	6.320906e-02
6.100000000000003e-01	6.877316e-02
6.200000000000003e-01	7.448205e-02
6.300000000000003e-01	8.032494e-02
6.400000000000003e-01	8.629199e-02
6.500000000000004e-01	9.237424e-02
6.600000000000004e-01	9.856352e-02
6.700000000000004e-01	1.048524e-01
6.800000000000004e-01	1.112342e-01
6.900000000000004e-01	1.177028e-01
7.000000000000004e-01	1.242524e-01
7.100000000000004e-01	1.308780e-01
7.200000000000004e-01	1.375750e-01
7.300000000000004e-01	1.443389e-01
7.400000000000004e-01	1.511659e-01
7.500000000000004e-01	1.580524e-01
7.600000000000005e-01	1.649949e-01
7.700000000000005e-01	1.719905e-01
7.800000000000005e-01	1.790362e-01
7.900000000000005e-01	1.861295e-01
8.000000000000005e-01	1.932680e-01
8.100000000000005e-01	2.004493e-01
8.200000000000005e-01	2.076713e-01
8.300000000000005e-01	2.149322e-01
8.400000000000005e-01	2.222300e-01
8.500000000000005e-01	2.295631e-01
8.600000000000005e-01	2.369299e-01
8.700000000000006e-01	2.443290e-01
8.800000000000006e-01	2.517588e-01
8.900000000000006e-01	2.592181e-01
9.000000000000006e-01	2.667058e-01
9.100000000000006e-01	2.742205e-01
9.200000000000006e-01	2.817613e-01
