vreg	V(vo)
0.000000000000000e+00	5.293157e-12
1.000000000000000e-02	6.508691e-09
2.000000000000000e-02	1.429636e-08
3.000000000000000e-02	2.362688e-08
4.000000000000000e-02	3.481292e-08
5.000000000000000e-02	4.823334e-08
6.000000000000000e-02	6.434837e-08
7.000000000000001e-02	8.371864e-08
8.000000000000000e-02	1.070293e-07
9.000000000000000e-02	1.351205e-07
9.999999999999999e-02	1.690270e-07
1.100000000000000e-01	2.100289e-07
1.200000000000000e-01	2.597172e-07
1.300000000000000e-01	3.200808e-07
1.400000000000000e-01	3.936200e-07
1.500000000000000e-01	4.834976e-07
1.600000000000000e-01	5.937407e-07
1.700000000000000e-01	7.295113e-07
1.800000000000000e-01	8.974720e-07
1.900000000000000e-01	1.106281e-06
2.000000000000000e-01	1.367267e-06
2.100000000000000e-01	1.695350e-06
2.200000000000001e-01	2.110301e-06
2.300000000000001e-01	2.638478e-06
2.400000000000001e-01	3.315197e-06
2.500000000000001e-01	4.188009e-06
2.600000000000001e-01	5.321190e-06
2.700000000000001e-01	6.801915e-06
2.800000000000001e-01	8.748715e-06
2.900000000000001e-01	1.132304e-05
3.000000000000001e-01	1.474497e-05
3.100000000000001e-01	1.931455e-05
3.200000000000001e-01	2.544032e-05
3.300000000000001e-01	3.367754e-05
3.400000000000001e-01	4.477832e-05
3.500000000000001e-01	5.975686e-05
3.600000000000002e-01	7.997273e-05
3.700000000000002e-01	1.072347e-04
3.800000000000002e-01	1.439267e-04
3.900000000000002e-01	1.931549e-04
4.000000000000002e-01	2.589113e-04
4.100000000000002e-01	3.462428e-04
4.200000000000002e-01	4.614076e-04
4.300000000000002e-01	6.119938e-04
4.400000000000002e-01	8.069654e-04
4.500000000000002e-01	1.056604e-03
4.600000000000002e-01	1.372311e-03
4.700000000000003e-01	1.766271e-03
4.800000000000003e-01	2.250969e-03
4.900000000000003e-01	2.838624e-03
5.000000000000002e-01	3.540589e-03
5.100000000000002e-01	4.366806e-03
5.200000000000002e-01	5.325373e-03
5.300000000000002e-01	6.422284e-03
5.400000000000003e-01	7.661329e-03
5.500000000000003e-01	9.044176e-03
5.600000000000003e-01	1.057056e-02
5.700000000000003e-01	1.223855e-02
5.800000000000003e-01	1.404489e-02
5.900000000000003e-01	1.598525e-02
6.000000000000003e-01	1.805460e-02
6.100000000000003e-01	2.024736e-02
6.200000000000003e-01	2.255773e-02
6.300000000000003e-01	2.497973e-02
6.400000000000003e-01	2.750742e-02
6.500000000000004e-01	3.013499e-02
6.600000000000004e-01	3.285675e-02
6.700000000000004e-01	3.566729e-02
6.800000000000004e-01	3.856142e-02
6.900000000000004e-01	4.153421e-02
7.000000000000004e-01	4.458102e-02
7.100000000000004e-01	4.769748e-02
7.200000000000004e-01	5.087946e-02
7.300000000000004e-01	5.412313e-02
7.400000000000004e-01	5.742487e-02
7.500000000000004e-01	6.078128e-02
7.600000000000005e-01	6.418923e-02
7.700000000000005e-01	6.764574e-02
7.800000000000005e-01	7.114804e-02
7.900000000000005e-01	7.469355e-02
8.000000000000005e-01	7.827986e-02
8.100000000000005e-01	8.190467e-02
8.200000000000005e-01	8.556588e-02
8.300000000000005e-01	8.926149e-02
8.400000000000005e-01	9.298962e-02
8.500000000000005e-01	9.674853e-02
8.600000000000005e-01	1.005366e-01
8.700000000000006e-01	1.043522e-01
8.800000000000006e-01	1.081939e-01
8.900000000000006e-01	1.120604e-01
