Freq.	V(vo)/V(vp)
1.00000000000000e-01	(4.91000497526267e+01dB,-1.77377893825487e+02°)
1.01157945425990e-01	(4.91002566674455e+01dB,-1.77407869010905e+02°)
1.02329299228075e-01	(4.91004588818336e+01dB,-1.77437502484712e+02°)
1.03514216667934e-01	(4.91006565023566e+01dB,-1.77466798111375e+02°)
1.04712854805090e-01	(4.91008496331762e+01dB,-1.77495759712722e+02°)
1.05925372517729e-01	(4.91010383760984e+01dB,-1.77524391068379e+02°)
1.07151930523761e-01	(4.91012228306339e+01dB,-1.77552695916200e+02°)
1.08392691402120e-01	(4.91014030940400e+01dB,-1.77580677952697e+02°)
1.09647819614319e-01	(4.91015792613792e+01dB,-1.77608340833463e+02°)
1.10917481526240e-01	(4.91017514255645e+01dB,-1.77635688173592e+02°)
1.12201845430196e-01	(4.91019196774079e+01dB,-1.77662723548101e+02°)
1.13501081567232e-01	(4.91020841056692e+01dB,-1.77689450492340e+02°)
1.14815362149688e-01	(4.91022447971009e+01dB,-1.77715872502411e+02°)
1.16144861384034e-01	(4.91024018364943e+01dB,-1.77741993035566e+02°)
1.17489755493953e-01	(4.91025553067207e+01dB,-1.77767815510623e+02°)
1.18850222743702e-01	(4.91027052887780e+01dB,-1.77793343308360e+02°)
1.20226443461741e-01	(4.91028518618307e+01dB,-1.77818579771918e+02°)
1.21618600064637e-01	(4.91029951032532e+01dB,-1.77843528207191e+02°)
1.23026877081238e-01	(4.91031350886669e+01dB,-1.77868191883226e+02°)
1.24451461177139e-01	(4.91032718919834e+01dB,-1.77892574032602e+02°)
1.25892541179417e-01	(4.91034055854390e+01dB,-1.77916677851822e+02°)
1.27350308101666e-01	(4.91035362396376e+01dB,-1.77940506501694e+02°)
1.28824955169314e-01	(4.91036639235804e+01dB,-1.77964063107705e+02°)
1.30316677845230e-01	(4.91037887047082e+01dB,-1.77987350760403e+02°)
1.31825673855641e-01	(4.91039106489348e+01dB,-1.78010372515762e+02°)
1.33352143216333e-01	(4.91040298206807e+01dB,-1.78033131395557e+02°)
1.34896288259166e-01	(4.91041462829055e+01dB,-1.78055630387723e+02°)
1.36458313658893e-01	(4.91042600971437e+01dB,-1.78077872446723e+02°)
1.38038426460289e-01	(4.91043713235352e+01dB,-1.78099860493903e+02°)
1.39636836105594e-01	(4.91044800208563e+01dB,-1.78121597417848e+02°)
1.41253754462276e-01	(4.91045862465538e+01dB,-1.78143086074734e+02°)
1.42889395851111e-01	(4.91046900567698e+01dB,-1.78164329288679e+02°)
1.44543977074593e-01	(4.91047915063735e+01dB,-1.78185329852085e+02°)
1.46217717445672e-01	(4.91048906489913e+01dB,-1.78206090525985e+02°)
1.47910838816821e-01	(4.91049875370347e+01dB,-1.78226614040377e+02°)
1.49623565609444e-01	(4.91050822217266e+01dB,-1.78246903094564e+02°)
1.51356124843621e-01	(4.91051747531252e+01dB,-1.78266960357486e+02°)
1.53108746168203e-01	(4.91052651801556e+01dB,-1.78286788468047e+02°)
1.54881661891248e-01	(4.91053535506358e+01dB,-1.78306390035446e+02°)
1.56675107010815e-01	(4.91054399112958e+01dB,-1.78325767639495e+02°)
1.58489319246112e-01	(4.91055243078069e+01dB,-1.78344923830945e+02°)
1.60324539069005e-01	(4.91056067848027e+01dB,-1.78363861131797e+02°)
1.62181009735893e-01	(4.91056873859051e+01dB,-1.78382582035621e+02°)
1.64058977319954e-01	(4.91057661537489e+01dB,-1.78401089007863e+02°)
1.65958690743757e-01	(4.91058431299976e+01dB,-1.78419384486155e+02°)
1.67880401812256e-01	(4.91059183553712e+01dB,-1.78437470880622e+02°)
1.69824365246175e-01	(4.91059918696648e+01dB,-1.78455350574177e+02°)
1.71790838715759e-01	(4.91060637117710e+01dB,-1.78473025922826e+02°)
1.73780082874938e-01	(4.91061339196997e+01dB,-1.78490499255961e+02°)
1.75792361395870e-01	(4.91062025305981e+01dB,-1.78507772876653e+02°)
1.77827941003893e-01	(4.91062695807676e+01dB,-1.78524849061944e+02°)
1.79887091512879e-01	(4.91063351056899e+01dB,-1.78541730063128e+02°)
1.81970085860999e-01	(4.91063991400380e+01dB,-1.78558418106042e+02°)
1.84077200146896e-01	(4.91064617176978e+01dB,-1.78574915391344e+02°)
1.86208713666287e-01	(4.91065228717880e+01dB,-1.78591224094791e+02°)
1.88364908948981e-01	(4.91065826346732e+01dB,-1.78607346367512e+02°)
1.90546071796325e-01	(4.91066410379837e+01dB,-1.78623284336288e+02°)
1.92752491319094e-01	(4.91066981126312e+01dB,-1.78639040103812e+02°)
1.94984459975805e-01	(4.91067538888262e+01dB,-1.78654615748966e+02°)
1.97242273611486e-01	(4.91068083960916e+01dB,-1.78670013327076e+02°)
1.99526231496889e-01	(4.91068616632807e+01dB,-1.78685234870179e+02°)
2.01836636368157e-01	(4.91069137185923e+01dB,-1.78700282387281e+02°)
2.04173794466954e-01	(4.91069645895830e+01dB,-1.78715157864612e+02°)
2.06538015581054e-01	(4.91070143031846e+01dB,-1.78729863265880e+02°)
2.08929613085405e-01	(4.91070628857165e+01dB,-1.78744400532522e+02°)
2.11348903983666e-01	(4.91071103628996e+01dB,-1.78758771583951e+02°)
2.13796208950224e-01	(4.91071567598718e+01dB,-1.78772978317802e+02°)
2.16271852372703e-01	(4.91072021011987e+01dB,-1.78787022610177e+02°)
2.18776162394956e-01	(4.91072464108882e+01dB,-1.78800906315881e+02°)
2.21309470960565e-01	(4.91072897124038e+01dB,-1.78814631268664e+02°)
2.23872113856835e-01	(4.91073320286724e+01dB,-1.78828199281454e+02°)
2.26464430759307e-01	(4.91073733821040e+01dB,-1.78841612146592e+02°)
2.29086765276778e-01	(4.91074137945969e+01dB,-1.78854871636058e+02°)
2.31739464996849e-01	(4.91074532875533e+01dB,-1.78867979501704e+02°)
2.34422881531993e-01	(4.91074918818872e+01dB,-1.78880937475476e+02°)
2.37137370566167e-01	(4.91075295980373e+01dB,-1.78893747269638e+02°)
2.39883291901950e-01	(4.91075664559791e+01dB,-1.78906410576994e+02°)
2.42661009508243e-01	(4.91076024752358e+01dB,-1.78918929071103e+02°)
2.45470891568504e-01	(4.91076376748809e+01dB,-1.78931304406499e+02°)
2.48313310529558e-01	(4.91076720735607e+01dB,-1.78943538218902e+02°)
2.51188643150959e-01	(4.91077056894947e+01dB,-1.78955632125430e+02°)
2.54097270554932e-01	(4.91077385404877e+01dB,-1.78967587724807e+02°)
2.57039578276888e-01	(4.91077706439407e+01dB,-1.78979406597571e+02°)
2.60015956316529e-01	(4.91078020168592e+01dB,-1.78991090306281e+02°)
2.63026799189540e-01	(4.91078326758627e+01dB,-1.79002640395712e+02°)
2.66072505979882e-01	(4.91078626371901e+01dB,-1.79014058393063e+02°)
2.69153480392693e-01	(4.91078919167148e+01dB,-1.79025345808151e+02°)
2.72270130807793e-01	(4.91079205299466e+01dB,-1.79036504133608e+02°)
2.75422870333818e-01	(4.91079484920431e+01dB,-1.79047534845072e+02°)
2.78612116862979e-01	(4.91079758178208e+01dB,-1.79058439401383e+02°)
2.81838293126447e-01	(4.91080025217523e+01dB,-1.79069219244769e+02°)
2.85101826750393e-01	(4.91080286179875e+01dB,-1.79079875801036e+02°)
2.88403150312662e-01	(4.91080541203508e+01dB,-1.79090410479750e+02°)
2.91742701400118e-01	(4.91080790423551e+01dB,-1.79100824674424e+02°)
2.95120922666640e-01	(4.91081033972030e+01dB,-1.79111119762697e+02°)
2.98538261891798e-01	(4.91081271977987e+01dB,-1.79121297106514e+02°)
3.01995172040203e-01	(4.91081504567535e+01dB,-1.79131358052302e+02°)
3.05492111321553e-01	(4.91081731863901e+01dB,-1.79141303931149e+02°)
3.09029543251361e-01	(4.91081953987516e+01dB,-1.79151136058973e+02°)
3.12607936712398e-01	(4.91082171056076e+01dB,-1.79160855736698e+02°)
3.16227766016840e-01	(4.91082383184597e+01dB,-1.79170464250420e+02°)
3.19889510969142e-01	(4.91082590485498e+01dB,-1.79179962871575e+02°)
3.23593656929630e-01	(4.91082793068610e+01dB,-1.79189352857109e+02°)
3.27340694878840e-01	(4.91082991041277e+01dB,-1.79198635449638e+02°)
3.31131121482593e-01	(4.91083184508404e+01dB,-1.79207811877611e+02°)
3.34965439157830e-01	(4.91083373572519e+01dB,-1.79216883355472e+02°)
3.38844156139205e-01	(4.91083558333809e+01dB,-1.79225851083817e+02°)
3.42767786546453e-01	(4.91083738890179e+01dB,-1.79234716249553e+02°)
3.46736850452534e-01	(4.91083915337299e+01dB,-1.79243480026050e+02°)
3.50751873952571e-01	(4.91084087768704e+01dB,-1.79252143573299e+02°)
3.54813389233578e-01	(4.91084256275740e+01dB,-1.79260708038060e+02°)
3.58921934645008e-01	(4.91084420947720e+01dB,-1.79269174554014e+02°)
3.63078054770104e-01	(4.91084581871923e+01dB,-1.79277544241910e+02°)
3.67282300498087e-01	(4.91084739133617e+01dB,-1.79285818209713e+02°)
3.71535229097175e-01	(4.91084892816140e+01dB,-1.79293997552751e+02°)
3.75837404288447e-01	(4.91085043000949e+01dB,-1.79302083353853e+02°)
3.80189396320564e-01	(4.91085189767644e+01dB,-1.79310076683496e+02°)
3.84591782045357e-01	(4.91085333194000e+01dB,-1.79317978599943e+02°)
3.89045144994284e-01	(4.91085473356029e+01dB,-1.79325790149385e+02°)
3.93550075455781e-01	(4.91085610328026e+01dB,-1.79333512366073e+02°)
3.98107170553500e-01	(4.91085744182574e+01dB,-1.79341146272457e+02°)
4.02717034325462e-01	(4.91085874990624e+01dB,-1.79348692879319e+02°)
4.07380277804116e-01	(4.91086002821496e+01dB,-1.79356153185909e+02°)
4.12097519097334e-01	(4.91086127742944e+01dB,-1.79363528180071e+02°)
4.16869383470339e-01	(4.91086249821194e+01dB,-1.79370818838375e+02°)
4.21696503428586e-01	(4.91086369120926e+01dB,-1.79378026126248e+02°)
4.26579518801596e-01	(4.91086485705378e+01dB,-1.79385150998095e+02°)
4.31519076827769e-01	(4.91086599636360e+01dB,-1.79392194397431e+02°)
4.36515832240170e-01	(4.91086710974237e+01dB,-1.79399157257000e+02°)
4.41570447353316e-01	(4.91086819778030e+01dB,-1.79406040498900e+02°)
4.46683592150967e-01	(4.91086926105419e+01dB,-1.79412845034703e+02°)
4.51855944374926e-01	(4.91087030012752e+01dB,-1.79419571765577e+02°)
4.57088189614879e-01	(4.91087131555106e+01dB,-1.79426221582400e+02°)
4.62381021399264e-01	(4.91087230786307e+01dB,-1.79432795365884e+02°)
4.67735141287202e-01	(4.91087327758944e+01dB,-1.79439293986685e+02°)
4.73151258961485e-01	(4.91087422524428e+01dB,-1.79445718305520e+02°)
4.78630092322643e-01	(4.91087515132990e+01dB,-1.79452069173281e+02°)
4.84172367584104e-01	(4.91087605633725e+01dB,-1.79458347431144e+02°)
4.89778819368451e-01	(4.91087694074583e+01dB,-1.79464553910684e+02°)
4.95450190804795e-01	(4.91087780502456e+01dB,-1.79470689433982e+02°)
5.01187233627277e-01	(4.91087864963165e+01dB,-1.79476754813731e+02°)
5.06990708274709e-01	(4.91087947501477e+01dB,-1.79482750853350e+02°)
5.12861383991370e-01	(4.91088028161130e+01dB,-1.79488678347081e+02°)
5.18800038928966e-01	(4.91088106984897e+01dB,-1.79494538080101e+02°)
5.24807460249778e-01	(4.91088184014558e+01dB,-1.79500330828621e+02°)
5.30884444230993e-01	(4.91088259290942e+01dB,-1.79506057359992e+02°)
5.37031796370258e-01	(4.91088332853955e+01dB,-1.79511718432802e+02°)
5.43250331492439e-01	(4.91088404742606e+01dB,-1.79517314796979e+02°)
5.49540873857630e-01	(4.91088474994963e+01dB,-1.79522847193888e+02°)
5.55904257270409e-01	(4.91088543648312e+01dB,-1.79528316356431e+02°)
5.62341325190355e-01	(4.91088610739019e+01dB,-1.79533723009142e+02°)
5.68852930843847e-01	(4.91088676302656e+01dB,-1.79539067868281e+02°)
5.75439937337163e-01	(4.91088740373993e+01dB,-1.79544351641934e+02°)
5.82103217770877e-01	(4.91088802986967e+01dB,-1.79549575030099e+02°)
5.88843655355595e-01	(4.91088864174787e+01dB,-1.79554738724784e+02°)
5.95662143529016e-01	(4.91088923969892e+01dB,-1.79559843410098e+02°)
6.02559586074364e-01	(4.91088982403979e+01dB,-1.79564889762336e+02°)
6.09536897240175e-01	(4.91089039508021e+01dB,-1.79569878450076e+02°)
6.16595001861489e-01	(4.91089095312281e+01dB,-1.79574810134260e+02°)
6.23734835482426e-01	(4.91089149846374e+01dB,-1.79579685468286e+02°)
6.30957344480200e-01	(4.91089203139169e+01dB,-1.79584505098093e+02°)
6.38263486190555e-01	(4.91089255218953e+01dB,-1.79589269662245e+02°)
6.45654229034662e-01	(4.91089306113312e+01dB,-1.79593979792018e+02°)
6.53130552647479e-01	(4.91089355849232e+01dB,-1.79598636111479e+02°)
6.60693448007603e-01	(4.91089404453085e+01dB,-1.79603239237573e+02°)
6.68343917568622e-01	(4.91089451950631e+01dB,-1.79607789780204e+02°)
6.76082975391989e-01	(4.91089498367065e+01dB,-1.79612288342311e+02°)
6.83911647281437e-01	(4.91089543726982e+01dB,-1.79616735519953e+02°)
6.91830970918944e-01	(4.91089588054421e+01dB,-1.79621131902384e+02°)
6.99841996002281e-01	(4.91089631372903e+01dB,-1.79625478072135e+02°)
