Freq.	V(vo)/V(vp)
1.00000000000000e-01	(6.20386149967183e+01dB,-1.68366611378999e+02°)
1.01157945425990e-01	(6.20426366433406e+01dB,-1.68496208612220e+02°)
1.02329299228075e-01	(6.20465703473204e+01dB,-1.68624439756130e+02°)
1.03514216667934e-01	(6.20504179546322e+01dB,-1.68751316668695e+02°)
1.04712854805090e-01	(6.20541812758444e+01dB,-1.68876851189477e+02°)
1.05925372517729e-01	(6.20578620866535e+01dB,-1.69001055136440e+02°)
1.07151930523761e-01	(6.20614621284156e+01dB,-1.69123940302872e+02°)
1.08392691402120e-01	(6.20649831086772e+01dB,-1.69245518454436e+02°)
1.09647819614319e-01	(6.20684267017034e+01dB,-1.69365801326328e+02°)
1.10917481526240e-01	(6.20717945490035e+01dB,-1.69484800620558e+02°)
1.12201845430196e-01	(6.20750882598543e+01dB,-1.69602528003334e+02°)
1.13501081567232e-01	(6.20783094118194e+01dB,-1.69718995102566e+02°)
1.14815362149688e-01	(6.20814595512667e+01dB,-1.69834213505462e+02°)
1.16144861384034e-01	(6.20845401938809e+01dB,-1.69948194756241e+02°)
1.17489755493953e-01	(6.20875528251728e+01dB,-1.70060950353935e+02°)
1.18850222743702e-01	(6.20904989009852e+01dB,-1.70172491750293e+02°)
1.20226443461741e-01	(6.20933798479935e+01dB,-1.70282830347785e+02°)
1.21618600064637e-01	(6.20961970642029e+01dB,-1.70391977497690e+02°)
1.23026877081238e-01	(6.20989519194405e+01dB,-1.70499944498279e+02°)
1.24451461177139e-01	(6.21016457558430e+01dB,-1.70606742593083e+02°)
1.25892541179417e-01	(6.21042798883393e+01dB,-1.70712382969248e+02°)
1.27350308101666e-01	(6.21068556051287e+01dB,-1.70816876755971e+02°)
1.28824955169314e-01	(6.21093741681533e+01dB,-1.70920235023019e+02°)
1.30316677845230e-01	(6.21118368135659e+01dB,-1.71022468779315e+02°)
1.31825673855641e-01	(6.21142447521916e+01dB,-1.71123588971617e+02°)
1.33352143216333e-01	(6.21165991699856e+01dB,-1.71223606483253e+02°)
1.34896288259166e-01	(6.21189012284839e+01dB,-1.71322532132938e+02°)
1.36458313658893e-01	(6.21211520652497e+01dB,-1.71420376673654e+02°)
1.38038426460289e-01	(6.21233527943133e+01dB,-1.71517150791599e+02°)
1.39636836105594e-01	(6.21255045066072e+01dB,-1.71612865105197e+02°)
1.41253754462276e-01	(6.21276082703946e+01dB,-1.71707530164177e+02°)
1.42889395851111e-01	(6.21296651316932e+01dB,-1.71801156448705e+02°)
1.44543977074593e-01	(6.21316761146924e+01dB,-1.71893754368578e+02°)
1.46217717445672e-01	(6.21336422221648e+01dB,-1.71985334262475e+02°)
1.47910838816821e-01	(6.21355644358728e+01dB,-1.72075906397259e+02°)
1.49623565609444e-01	(6.21374437169678e+01dB,-1.72165480967339e+02°)
1.51356124843621e-01	(6.21392810063856e+01dB,-1.72254068094072e+02°)
1.53108746168203e-01	(6.21410772252335e+01dB,-1.72341677825227e+02°)
1.54881661891248e-01	(6.21428332751743e+01dB,-1.72428320134483e+02°)
1.56675107010815e-01	(6.21445500388024e+01dB,-1.72514004920985e+02°)
1.58489319246112e-01	(6.21462283800147e+01dB,-1.72598742008938e+02°)
1.60324539069005e-01	(6.21478691443767e+01dB,-1.72682541147241e+02°)
1.62181009735893e-01	(6.21494731594808e+01dB,-1.72765412009173e+02°)
1.64058977319954e-01	(6.21510412353016e+01dB,-1.72847364192103e+02°)
1.65958690743757e-01	(6.21525741644563e+01dB,-1.72928407217324e+02°)
1.67880401812256e-01	(6.21540727228929e+01dB,-1.73008550529559e+02°)
1.69824365246175e-01	(6.21555376697098e+01dB,-1.73087803497220e+02°)
1.71790838715759e-01	(6.21569697478310e+01dB,-1.73166175411980e+02°)
1.73780082874938e-01	(6.21583696842463e+01dB,-1.73243675488747e+02°)
1.75792361395870e-01	(6.21597381903314e+01dB,-1.73320312865585e+02°)
1.77827941003893e-01	(6.21610759621622e+01dB,-1.73396096603675e+02°)
1.79887091512879e-01	(6.21623836808243e+01dB,-1.73471035687303e+02°)
1.81970085860999e-01	(6.21636620127168e+01dB,-1.73545139023869e+02°)
1.84077200146896e-01	(6.21649116098514e+01dB,-1.73618415443933e+02°)
1.86208713666287e-01	(6.21661331101447e+01dB,-1.73690873701281e+02°)
1.88364908948981e-01	(6.21673271377075e+01dB,-1.73762522473013e+02°)
1.90546071796325e-01	(6.21684943031269e+01dB,-1.73833370359664e+02°)
1.92752491319094e-01	(6.21696352037445e+01dB,-1.73903425885339e+02°)
1.94984459975805e-01	(6.21707504239294e+01dB,-1.73972697497872e+02°)
1.97242273611486e-01	(6.21718405353462e+01dB,-1.74041193569004e+02°)
1.99526231496889e-01	(6.21729060972173e+01dB,-1.74108922394590e+02°)
2.01836636368157e-01	(6.21739476565818e+01dB,-1.74175892194811e+02°)
2.04173794466954e-01	(6.21749657485483e+01dB,-1.74242111114415e+02°)
2.06538015581054e-01	(6.21759608965441e+01dB,-1.74307587222968e+02°)
2.08929613085405e-01	(6.21769336125584e+01dB,-1.74372328515129e+02°)
2.11348903983666e-01	(6.21778843973824e+01dB,-1.74436342910932e+02°)
2.13796208950224e-01	(6.21788137408436e+01dB,-1.74499638256091e+02°)
2.16271852372703e-01	(6.21797221220362e+01dB,-1.74562222322313e+02°)
2.18776162394956e-01	(6.21806100095476e+01dB,-1.74624102807627e+02°)
2.21309470960565e-01	(6.21814778616792e+01dB,-1.74685287336729e+02°)
