rl	V(vo)
1.000000000000000e-02	4.528944e-03
2.000000000000000e-02	9.080828e-03
3.000000000000000e-02	1.365583e-02
4.000000000000000e-02	1.825416e-02
5.000000000000000e-02	2.287588e-02
6.000000000000000e-02	2.752130e-02
7.000000000000001e-02	3.219054e-02
8.000000000000000e-02	3.688380e-02
9.000000000000000e-02	4.160127e-02
9.999999999999999e-02	4.634312e-02
1.100000000000000e-01	5.110956e-02
1.200000000000000e-01	5.590076e-02
1.300000000000000e-01	6.071693e-02
1.400000000000000e-01	6.555825e-02
1.500000000000000e-01	7.042494e-02
1.600000000000000e-01	7.531719e-02
1.700000000000000e-01	8.023519e-02
1.800000000000000e-01	8.517916e-02
1.900000000000000e-01	9.014930e-02
2.000000000000000e-01	9.514581e-02
2.100000000000000e-01	1.001689e-01
2.200000000000001e-01	1.052188e-01
2.300000000000001e-01	1.102957e-01
2.400000000000001e-01	1.153999e-01
2.500000000000001e-01	1.205315e-01
2.600000000000001e-01	1.256908e-01
2.700000000000001e-01	1.308780e-01
2.800000000000001e-01	1.360933e-01
2.900000000000001e-01	1.413369e-01
3.000000000000001e-01	1.466092e-01
3.100000000000001e-01	1.519102e-01
3.200000000000001e-01	1.572404e-01
3.300000000000001e-01	1.625998e-01
3.400000000000001e-01	1.679888e-01
3.500000000000001e-01	1.734075e-01
3.600000000000002e-01	1.788563e-01
3.700000000000002e-01	1.843355e-01
3.800000000000002e-01	1.898450e-01
3.900000000000002e-01	1.953854e-01
4.000000000000002e-01	2.009569e-01
4.100000000000002e-01	2.065596e-01
4.200000000000002e-01	2.121940e-01
4.300000000000002e-01	2.178602e-01
4.400000000000002e-01	2.235585e-01
4.500000000000002e-01	2.292892e-01
4.600000000000002e-01	2.350526e-01
4.700000000000003e-01	2.408489e-01
4.800000000000003e-01	2.466784e-01
4.900000000000003e-01	2.525415e-01
5.000000000000002e-01	2.584383e-01
5.100000000000002e-01	2.643693e-01
5.200000000000002e-01	2.703347e-01
5.300000000000002e-01	2.763347e-01
5.400000000000003e-01	2.823698e-01
5.500000000000003e-01	2.884402e-01
5.600000000000003e-01	2.945461e-01
5.700000000000003e-01	3.006881e-01
5.800000000000003e-01	3.068662e-01
5.900000000000003e-01	3.130810e-01
6.000000000000003e-01	3.193326e-01
6.100000000000003e-01	3.256215e-01
6.200000000000003e-01	3.319479e-01
6.300000000000003e-01	3.383122e-01
6.400000000000003e-01	3.447148e-01
6.500000000000004e-01	3.511559e-01
6.600000000000004e-01	3.576360e-01
6.700000000000004e-01	3.641554e-01
6.800000000000004e-01	3.707144e-01
6.900000000000004e-01	3.773135e-01
7.000000000000004e-01	3.839529e-01
7.100000000000004e-01	3.906330e-01
7.200000000000004e-01	3.973543e-01
7.300000000000004e-01	4.041171e-01
7.400000000000004e-01	4.109218e-01
7.500000000000004e-01	4.177687e-01
7.600000000000005e-01	4.246584e-01
7.700000000000005e-01	4.315911e-01
7.800000000000005e-01	4.385673e-01
7.900000000000005e-01	4.455874e-01
8.000000000000005e-01	4.526518e-01
8.100000000000005e-01	4.597610e-01
8.200000000000005e-01	4.669152e-01
8.300000000000005e-01	4.741151e-01
8.400000000000005e-01	4.813610e-01
8.500000000000005e-01	4.886534e-01
8.600000000000005e-01	4.959927e-01
8.700000000000006e-01	5.033793e-01
8.800000000000006e-01	5.108138e-01
8.900000000000006e-01	5.182966e-01
9.000000000000006e-01	5.258281e-01
9.100000000000006e-01	5.334089e-01
9.200000000000006e-01	5.410397e-01
9.300000000000006e-01	5.487202e-01
9.400000000000006e-01	5.564516e-01
9.500000000000006e-01	5.642343e-01
9.600000000000006e-01	5.720687e-01
9.700000000000006e-01	5.799553e-01
9.800000000000006e-01	5.878948e-01
9.900000000000007e-01	5.958875e-01
1.000000000000001e+00	6.039341e-01
1.010000000000001e+00	6.120351e-01
1.020000000000001e+00	6.201910e-01
1.030000000000001e+00	6.284024e-01
1.040000000000001e+00	6.366699e-01
1.050000000000001e+00	6.449944e-01
1.060000000000001e+00	6.533755e-01
1.070000000000001e+00	6.618146e-01
1.080000000000001e+00	6.703125e-01
1.090000000000001e+00	6.788689e-01
1.100000000000001e+00	6.874871e-01
1.110000000000001e+00	6.961617e-01
1.120000000000001e+00	7.048993e-01
1.130000000000001e+00	7.136983e-01
1.140000000000001e+00	7.225595e-01
1.150000000000001e+00	7.314836e-01
1.160000000000001e+00	7.404713e-01
1.170000000000001e+00	7.495232e-01
1.180000000000001e+00	7.586399e-01
1.190000000000001e+00	7.678223e-01
1.200000000000001e+00	7.770711e-01
1.210000000000001e+00	7.863868e-01
1.220000000000001e+00	7.957703e-01
1.230000000000001e+00	8.052224e-01
1.240000000000001e+00	8.147438e-01
1.250000000000001e+00	8.243351e-01
1.260000000000001e+00	8.339972e-01
1.270000000000001e+00	8.437310e-01
1.280000000000001e+00	8.535372e-01
1.290000000000001e+00	8.634166e-01
1.300000000000001e+00	8.733699e-01
1.310000000000001e+00	8.833982e-01
1.320000000000001e+00	8.935022e-01
1.330000000000001e+00	9.036826e-01
1.340000000000001e+00	9.139429e-01
1.350000000000001e+00	9.242769e-01
1.360000000000001e+00	9.346925e-01
1.370000000000001e+00	9.451883e-01
1.380000000000001e+00	9.557649e-01
1.390000000000001e+00	9.664237e-01
1.400000000000001e+00	9.771654e-01
1.410000000000001e+00	9.879911e-01
1.420000000000001e+00	9.989017e-01
1.430000000000001e+00	1.009898e+00
1.440000000000001e+00	1.020982e+00
1.450000000000001e+00	1.032153e+00
1.460000000000001e+00	1.043414e+00
1.470000000000001e+00	1.054765e+00
1.480000000000001e+00	1.066206e+00
1.490000000000001e+00	1.077741e+00
1.500000000000001e+00	1.089368e+00
1.510000000000001e+00	1.101090e+00
1.520000000000001e+00	1.112908e+00
1.530000000000001e+00	1.124823e+00
1.540000000000001e+00	1.136835e+00
1.550000000000001e+00	1.148948e+00
1.560000000000001e+00	1.161160e+00
1.570000000000001e+00	1.173475e+00
1.580000000000001e+00	1.185892e+00
1.590000000000001e+00	1.198414e+00
1.600000000000001e+00	1.211042e+00
1.610000000000001e+00	1.223788e+00
