vreg	V(vo)
0.000000000000000e+00	5.781138e-11
1.000000000000000e-02	5.129697e-09
2.000000000000000e-02	1.191268e-08
3.000000000000000e-02	2.092111e-08
4.000000000000000e-02	3.277490e-08
5.000000000000000e-02	4.818445e-08
6.000000000000000e-02	6.790447e-08
7.000000000000001e-02	9.264378e-08
8.000000000000000e-02	1.229254e-07
9.000000000000000e-02	1.589110e-07
9.999999999999999e-02	2.002347e-07
1.100000000000000e-01	2.459193e-07
1.200000000000000e-01	2.944479e-07
1.300000000000000e-01	3.440120e-07
1.400000000000000e-01	3.928739e-07
1.500000000000000e-01	4.397216e-07
1.600000000000000e-01	4.838908e-07
1.700000000000000e-01	5.254049e-07
1.800000000000000e-01	5.648436e-07
1.900000000000000e-01	6.031374e-07
2.000000000000000e-01	6.413317e-07
2.100000000000000e-01	6.803420e-07
2.200000000000001e-01	7.208033e-07
2.300000000000001e-01	7.629825e-07
2.400000000000001e-01	8.067631e-07
2.500000000000001e-01	8.515557e-07
2.600000000000001e-01	8.965785e-07
2.700000000000001e-01	9.407340e-07
2.800000000000001e-01	9.829822e-07
2.900000000000001e-01	1.022174e-06
3.000000000000001e-01	1.057798e-06
3.100000000000001e-01	1.089334e-06
3.200000000000001e-01	1.116740e-06
3.300000000000001e-01	1.140245e-06
3.400000000000001e-01	1.160295e-06
3.500000000000001e-01	1.177366e-06
3.600000000000002e-01	1.191980e-06
3.700000000000002e-01	1.204581e-06
3.800000000000002e-01	1.215616e-06
3.900000000000002e-01	1.225554e-06
4.000000000000002e-01	1.234501e-06
4.100000000000002e-01	1.242860e-06
4.200000000000002e-01	1.250772e-06
4.300000000000002e-01	1.258192e-06
4.400000000000002e-01	1.265439e-06
4.500000000000002e-01	1.272354e-06
4.600000000000002e-01	1.279307e-06
4.700000000000003e-01	1.286044e-06
4.800000000000003e-01	1.292681e-06
4.900000000000003e-01	1.299387e-06
5.000000000000002e-01	1.305955e-06
5.100000000000002e-01	1.312595e-06
5.200000000000002e-01	1.319156e-06
5.300000000000002e-01	1.325753e-06
5.400000000000003e-01	1.332318e-06
5.500000000000003e-01	1.338881e-06
5.600000000000003e-01	1.345486e-06
5.700000000000003e-01	1.352160e-06
5.800000000000003e-01	1.358721e-06
5.900000000000003e-01	1.365422e-06
