vreg	V(vo)
0.000000000000000e+00	1.584067e-11
1.000000000000000e-02	1.405581e-09
2.000000000000000e-02	3.264178e-09
3.000000000000000e-02	5.732568e-09
4.000000000000000e-02	8.980611e-09
5.000000000000000e-02	1.320297e-08
6.000000000000000e-02	1.860644e-08
7.000000000000001e-02	2.538524e-08
8.000000000000000e-02	3.368269e-08
9.000000000000000e-02	4.354310e-08
9.999999999999999e-02	5.486619e-08
1.100000000000000e-01	6.738425e-08
1.200000000000000e-01	8.068153e-08
1.300000000000000e-01	9.426258e-08
1.400000000000000e-01	1.076511e-07
1.500000000000000e-01	1.204880e-07
1.600000000000000e-01	1.325905e-07
1.700000000000000e-01	1.439658e-07
1.800000000000000e-01	1.547733e-07
1.900000000000000e-01	1.652661e-07
2.000000000000000e-01	1.757328e-07
2.100000000000000e-01	1.864204e-07
2.200000000000001e-01	1.975041e-07
2.300000000000001e-01	2.090667e-07
2.400000000000001e-01	2.210562e-07
2.500000000000001e-01	2.333453e-07
2.600000000000001e-01	2.456717e-07
2.700000000000001e-01	2.577780e-07
2.800000000000001e-01	2.693424e-07
2.900000000000001e-01	2.800909e-07
3.000000000000001e-01	2.898555e-07
3.100000000000001e-01	2.984897e-07
3.200000000000001e-01	3.060121e-07
3.300000000000001e-01	3.124345e-07
3.400000000000001e-01	3.179314e-07
3.500000000000001e-01	3.226000e-07
3.600000000000002e-01	3.266001e-07
3.700000000000002e-01	3.300515e-07
3.800000000000002e-01	3.330877e-07
3.900000000000002e-01	3.358167e-07
4.000000000000002e-01	3.382834e-07
4.100000000000002e-01	3.405458e-07
4.200000000000002e-01	3.427048e-07
4.300000000000002e-01	3.447659e-07
4.400000000000002e-01	3.467525e-07
4.500000000000002e-01	3.486505e-07
4.600000000000002e-01	3.505283e-07
4.700000000000003e-01	3.523888e-07
4.800000000000003e-01	3.542138e-07
4.900000000000003e-01	3.560295e-07
5.000000000000002e-01	3.578604e-07
5.100000000000002e-01	3.596403e-07
5.200000000000002e-01	3.614679e-07
5.300000000000002e-01	3.632759e-07
5.400000000000003e-01	3.650860e-07
5.500000000000003e-01	3.668838e-07
5.600000000000003e-01	3.686803e-07
5.700000000000003e-01	3.704864e-07
5.800000000000003e-01	3.723000e-07
5.900000000000003e-01	3.741443e-07
6.000000000000003e-01	3.759481e-07
6.100000000000003e-01	3.777772e-07
6.200000000000003e-01	3.796065e-07
6.300000000000003e-01	3.814198e-07
6.400000000000003e-01	3.832637e-07
6.500000000000004e-01	3.851048e-07
6.600000000000004e-01	3.869663e-07
6.700000000000004e-01	3.887840e-07
6.800000000000004e-01	3.906484e-07
6.900000000000004e-01	3.925037e-07
7.000000000000004e-01	3.943633e-07
7.100000000000004e-01	3.962255e-07
7.200000000000004e-01	3.980652e-07
7.300000000000004e-01	3.999560e-07
7.400000000000004e-01	4.018397e-07
7.500000000000004e-01	4.037088e-07
7.600000000000005e-01	4.055809e-07
7.700000000000005e-01	4.074546e-07
7.800000000000005e-01	4.093316e-07
7.900000000000005e-01	4.112507e-07
8.000000000000005e-01	4.131454e-07
8.100000000000005e-01	4.150620e-07
8.200000000000005e-01	4.169439e-07
8.300000000000005e-01	4.188423e-07
8.400000000000005e-01	4.207732e-07
8.500000000000005e-01	4.226720e-07
8.600000000000005e-01	4.245682e-07
8.700000000000006e-01	4.265107e-07
8.800000000000006e-01	4.284196e-07
8.900000000000006e-01	4.303561e-07
9.000000000000006e-01	4.322793e-07
9.100000000000006e-01	4.342039e-07
9.200000000000006e-01	4.361588e-07
9.300000000000006e-01	4.380823e-07
9.400000000000006e-01	4.400207e-07
9.500000000000006e-01	4.419845e-07
9.600000000000006e-01	4.439303e-07
9.700000000000006e-01	4.459003e-07
9.800000000000006e-01	4.478294e-07
9.900000000000007e-01	4.497953e-07
1.000000000000001e+00	4.517574e-07
1.010000000000001e+00	4.537232e-07
1.020000000000001e+00	4.556948e-07
1.030000000000001e+00	4.576746e-07
1.040000000000001e+00	4.596490e-07
1.050000000000001e+00	4.616226e-07
1.060000000000001e+00	4.636090e-07
1.070000000000001e+00	4.656042e-07
1.080000000000001e+00	4.675749e-07
1.090000000000001e+00	4.695753e-07
1.100000000000001e+00	4.715684e-07
1.110000000000001e+00	4.736075e-07
1.120000000000001e+00	4.755865e-07
1.130000000000001e+00	4.775981e-07
1.140000000000001e+00	4.795984e-07
1.150000000000001e+00	4.815917e-07
1.160000000000001e+00	4.836319e-07
1.170000000000001e+00	4.856194e-07
1.180000000000001e+00	4.876454e-07
1.190000000000001e+00	4.896766e-07
1.200000000000001e+00	4.916952e-07
1.210000000000001e+00	4.937181e-07
1.220000000000001e+00	4.957550e-07
1.230000000000001e+00	4.977860e-07
1.240000000000001e+00	4.998330e-07
1.250000000000001e+00	5.018978e-07
1.260000000000001e+00	5.039505e-07
1.270000000000001e+00	5.059823e-07
1.280000000000001e+00	5.080220e-07
1.290000000000001e+00	5.100524e-07
1.300000000000001e+00	5.121225e-07
1.310000000000001e+00	5.142076e-07
1.320000000000001e+00	5.162501e-07
1.330000000000001e+00	5.183315e-07
1.340000000000001e+00	5.203793e-07
1.350000000000001e+00	5.224499e-07
1.360000000000001e+00	5.245362e-07
1.370000000000001e+00	5.265973e-07
1.380000000000001e+00	5.286726e-07
1.390000000000001e+00	5.307755e-07
1.400000000000001e+00	5.328415e-07
1.410000000000001e+00	5.349300e-07
1.420000000000001e+00	5.370052e-07
1.430000000000001e+00	5.391224e-07
1.440000000000001e+00	5.412094e-07
1.450000000000001e+00	5.433283e-07
1.460000000000001e+00	5.454052e-07
1.470000000000001e+00	5.475020e-07
1.480000000000001e+00	5.496299e-07
1.490000000000001e+00	5.517221e-07
1.500000000000001e+00	5.538402e-07
1.510000000000001e+00	5.559660e-07
1.520000000000001e+00	5.580879e-07
1.530000000000001e+00	5.601788e-07
1.540000000000001e+00	5.623151e-07
1.550000000000001e+00	5.644470e-07
1.560000000000001e+00	5.665714e-07
1.570000000000001e+00	5.687252e-07
1.580000000000001e+00	5.708374e-07
1.590000000000001e+00	5.729975e-07
1.600000000000001e+00	5.751239e-07
1.610000000000001e+00	5.772537e-07
1.620000000000001e+00	5.794195e-07
1.630000000000001e+00	5.815817e-07
1.640000000000001e+00	5.837447e-07
1.650000000000001e+00	5.859023e-07
1.660000000000001e+00	5.880842e-07
1.670000000000001e+00	5.902413e-07
1.680000000000001e+00	5.924713e-07
1.690000000000001e+00	5.946715e-07
1.700000000000001e+00	5.969187e-07
1.710000000000001e+00	5.992264e-07
1.720000000000001e+00	6.015698e-07
1.730000000000001e+00	6.040050e-07
1.740000000000001e+00	6.065760e-07
1.750000000000001e+00	6.093522e-07
1.760000000000001e+00	6.123897e-07
1.770000000000001e+00	6.158204e-07
1.780000000000001e+00	6.198430e-07
1.790000000000001e+00	6.247934e-07
1.800000000000001e+00	6.309523e-07
1.810000000000001e+00	6.389728e-07
1.820000000000001e+00	6.497839e-07
1.830000000000001e+00	6.646086e-07
1.840000000000001e+00	6.854488e-07
1.850000000000001e+00	7.151397e-07
1.860000000000001e+00	7.581465e-07
1.870000000000001e+00	8.207666e-07
1.880000000000001e+00	9.130628e-07
1.890000000000001e+00	1.050023e-06
1.900000000000001e+00	1.254601e-06
1.910000000000001e+00	1.561461e-06
1.920000000000001e+00	2.023407e-06
1.930000000000001e+00	2.719649e-06
1.940000000000002e+00	3.769076e-06
1.950000000000002e+00	5.349529e-06
1.960000000000002e+00	7.725438e-06
1.970000000000002e+00	1.129007e-05
1.980000000000002e+00	1.662657e-05
1.990000000000002e+00	2.459834e-05
2.000000000000001e+00	3.648236e-05
2.010000000000001e+00	5.416486e-05
2.020000000000001e+00	8.042872e-05
2.030000000000001e+00	1.193763e-04
2.040000000000000e+00	1.770490e-04
2.050000000000000e+00	2.623383e-04
2.060000000000000e+00	3.883186e-04
2.070000000000000e+00	5.742043e-04
2.080000000000000e+00	8.482141e-04
2.089999999999999e+00	1.251767e-03
2.099999999999999e+00	1.845616e-03
2.109999999999999e+00	2.718823e-03
2.119999999999999e+00	4.001845e-03
2.129999999999999e+00	5.885615e-03
2.139999999999998e+00	8.649267e-03
2.149999999999998e+00	1.270030e-02
2.159999999999998e+00	1.863240e-02
2.169999999999998e+00	2.730823e-02
2.179999999999997e+00	3.997626e-02
2.189999999999997e+00	5.843340e-02
2.199999999999997e+00	8.524523e-02
2.209999999999997e+00	1.240331e-01
2.219999999999997e+00	1.798257e-01
2.229999999999996e+00	2.594454e-01
2.239999999999996e+00	3.718520e-01
2.249999999999996e+00	5.282920e-01
2.259999999999996e+00	7.420350e-01
2.269999999999996e+00	1.027311e+00
2.279999999999995e+00	1.153526e+00
2.289999999999995e+00	1.182066e+00
2.299999999999995e+00	1.201522e+00
2.309999999999995e+00	1.218195e+00
2.319999999999995e+00	1.232682e+00
2.329999999999994e+00	1.245720e+00
2.339999999999994e+00	1.257609e+00
2.349999999999994e+00	1.268493e+00
2.359999999999994e+00	1.278521e+00
2.369999999999993e+00	1.287847e+00
2.379999999999993e+00	1.296614e+00
2.389999999999993e+00	1.304946e+00
2.399999999999993e+00	1.312944e+00
2.409999999999993e+00	1.320682e+00
2.419999999999992e+00	1.328210e+00
2.429999999999992e+00	1.335561e+00
2.439999999999992e+00	1.342754e+00
2.449999999999992e+00	1.349801e+00
2.459999999999992e+00	1.356708e+00
2.469999999999991e+00	1.363478e+00
2.479999999999991e+00	1.370117e+00
2.489999999999991e+00	1.376632e+00
2.499999999999991e+00	1.383036e+00
2.509999999999990e+00	1.389345e+00
2.519999999999990e+00	1.395582e+00
2.529999999999990e+00	1.401776e+00
2.539999999999990e+00	1.407959e+00
2.549999999999990e+00	1.414166e+00
2.559999999999989e+00	1.420434e+00
2.569999999999989e+00	1.426796e+00
2.579999999999989e+00	1.433278e+00
2.589999999999989e+00	1.439895e+00
2.599999999999989e+00	1.446652e+00
2.609999999999988e+00	1.453542e+00
2.619999999999988e+00	1.460550e+00
2.629999999999988e+00	1.467659e+00
2.639999999999988e+00	1.474846e+00
2.649999999999987e+00	1.482096e+00
2.659999999999987e+00	1.489392e+00
2.669999999999987e+00	1.496721e+00
2.679999999999987e+00	1.504075e+00
2.689999999999987e+00	1.511447e+00
2.699999999999986e+00	1.518831e+00
2.709999999999986e+00	1.526224e+00
2.719999999999986e+00	1.533623e+00
2.729999999999986e+00	1.541027e+00
2.739999999999986e+00	1.548434e+00
2.749999999999985e+00	1.555844e+00
2.759999999999985e+00	1.563255e+00
2.769999999999985e+00	1.570668e+00
2.779999999999985e+00	1.578082e+00
2.789999999999984e+00	1.585496e+00
2.799999999999984e+00	1.592912e+00
