rl	V(vo)
1.000000000000000e-01	3.761484e-02
2.000000000000000e-01	7.684055e-02
3.000000000000000e-01	1.177829e-01
4.000000000000000e-01	1.605570e-01
5.000000000000000e-01	2.052887e-01
6.000000000000000e-01	2.521154e-01
7.000000000000000e-01	3.011878e-01
7.999999999999999e-01	3.526716e-01
8.999999999999999e-01	4.067487e-01
9.999999999999999e-01	4.636202e-01
1.100000000000000e+00	5.235085e-01
1.200000000000000e+00	5.866600e-01
1.300000000000000e+00	6.533489e-01
1.400000000000000e+00	7.238809e-01
1.500000000000000e+00	7.985988e-01
1.600000000000000e+00	8.778839e-01
1.700000000000000e+00	9.621709e-01
1.800000000000000e+00	1.051947e+00
1.900000000000001e+00	1.147767e+00
2.000000000000000e+00	1.250262e+00
2.100000000000001e+00	1.360155e+00
2.200000000000001e+00	1.478275e+00
2.300000000000001e+00	1.605583e+00
2.400000000000001e+00	1.743193e+00
2.500000000000001e+00	1.892407e+00
2.600000000000001e+00	2.054757e+00
2.700000000000001e+00	2.232057e+00
2.800000000000001e+00	2.426469e+00
2.900000000000001e+00	2.640613e+00
3.000000000000001e+00	2.877584e+00
3.100000000000001e+00	3.141317e+00
3.200000000000002e+00	3.436549e+00
3.300000000000002e+00	3.769304e+00
3.400000000000002e+00	4.147202e+00
3.500000000000002e+00	4.579882e+00
3.600000000000002e+00	4.927148e+00
3.700000000000002e+00	4.991055e+00
3.800000000000002e+00	5.008931e+00
3.900000000000002e+00	5.010637e+00
4.000000000000002e+00	5.011039e+00
4.100000000000001e+00	5.011350e+00
4.200000000000001e+00	5.011629e+00
4.300000000000001e+00	5.011891e+00
4.400000000000000e+00	5.012032e+00
4.500000000000000e+00	5.012375e+00
4.600000000000000e+00	5.012599e+00
4.699999999999999e+00	5.012811e+00
4.799999999999999e+00	5.012967e+00
4.899999999999999e+00	5.013163e+00
4.999999999999998e+00	5.013388e+00
5.099999999999998e+00	5.013563e+00
5.199999999999998e+00	5.013731e+00
5.299999999999997e+00	5.013890e+00
5.399999999999997e+00	5.014028e+00
5.499999999999996e+00	5.014190e+00
5.599999999999996e+00	5.014331e+00
5.699999999999996e+00	5.014466e+00
5.799999999999995e+00	5.014596e+00
5.899999999999995e+00	5.014721e+00
5.999999999999995e+00	5.014841e+00
6.099999999999994e+00	5.014957e+00
6.199999999999994e+00	5.015061e+00
6.299999999999994e+00	5.015176e+00
6.399999999999993e+00	5.015280e+00
6.499999999999993e+00	5.015380e+00
6.599999999999993e+00	5.015477e+00
6.699999999999992e+00	5.015570e+00
6.799999999999992e+00	5.015661e+00
6.899999999999991e+00	5.015806e+00
6.999999999999991e+00	5.015833e+00
7.099999999999991e+00	5.015915e+00
7.199999999999990e+00	5.015995e+00
7.299999999999990e+00	5.016072e+00
7.399999999999990e+00	5.016085e+00
7.499999999999989e+00	5.016220e+00
7.599999999999989e+00	5.016290e+00
7.699999999999989e+00	5.016359e+00
7.799999999999988e+00	5.016426e+00
7.899999999999988e+00	5.016490e+00
7.999999999999988e+00	5.016553e+00
8.099999999999987e+00	5.016614e+00
8.199999999999987e+00	5.016675e+00
8.299999999999986e+00	5.016732e+00
8.399999999999986e+00	5.016789e+00
8.499999999999986e+00	5.016844e+00
8.599999999999985e+00	5.016898e+00
8.699999999999985e+00	5.016950e+00
8.799999999999985e+00	5.017002e+00
