Freq.	V(vo)/V(vp)
1.00000000000000e-01	(6.21756815134958e+01dB,-1.68179336274329e+02°)
1.01157945425990e-01	(6.21798318900909e+01dB,-1.68310903030114e+02°)
1.02329299228075e-01	(6.21838916281417e+01dB,-1.68441086754562e+02°)
1.03514216667934e-01	(6.21878626250606e+01dB,-1.68569899326110e+02°)
1.04712854805090e-01	(6.21917467420908e+01dB,-1.68697352609578e+02°)
1.05925372517729e-01	(6.21955458048414e+01dB,-1.68823458452781e+02°)
1.07151930523761e-01	(6.21992616037395e+01dB,-1.68948228683392e+02°)
1.08392691402120e-01	(6.22028958948918e+01dB,-1.69071675105390e+02°)
1.09647819614319e-01	(6.22064504001228e+01dB,-1.69193809496689e+02°)
1.10917481526240e-01	(6.22099268077503e+01dB,-1.69314643605930e+02°)
1.12201845430196e-01	(6.22133267733594e+01dB,-1.69434189149408e+02°)
1.13501081567232e-01	(6.22166519197500e+01dB,-1.69552457809128e+02°)
1.14815362149688e-01	(6.22199038381179e+01dB,-1.69669461229442e+02°)
1.16144861384034e-01	(6.22230840879125e+01dB,-1.69785211015415e+02°)
1.17489755493953e-01	(6.22261941979294e+01dB,-1.69899718729788e+02°)
1.18850222743702e-01	(6.22292356665736e+01dB,-1.70012995891042e+02°)
1.20226443461741e-01	(6.22322099621189e+01dB,-1.70125053971549e+02°)
1.21618600064637e-01	(6.22351185237065e+01dB,-1.70235904394952e+02°)
1.23026877081238e-01	(6.22379627615131e+01dB,-1.70345558534603e+02°)
1.24451461177139e-01	(6.22407440574110e+01dB,-1.70454027711520e+02°)
1.25892541179417e-01	(6.22434637651258e+01dB,-1.70561323192985e+02°)
1.27350308101666e-01	(6.22461232112186e+01dB,-1.70667456190312e+02°)
1.28824955169314e-01	(6.22487236952348e+01dB,-1.70772437857613e+02°)
1.30316677845230e-01	(6.22512664902615e+01dB,-1.70876279290192e+02°)
1.31825673855641e-01	(6.22537528433975e+01dB,-1.70978991523106e+02°)
1.33352143216333e-01	(6.22561839762177e+01dB,-1.71080585529801e+02°)
1.34896288259166e-01	(6.22585610852324e+01dB,-1.71181072220821e+02°)
1.36458313658893e-01	(6.22608853423411e+01dB,-1.71280462442596e+02°)
1.38038426460289e-01	(6.22631578952807e+01dB,-1.71378766976292e+02°)
1.39636836105594e-01	(6.22653798680683e+01dB,-1.71475996536732e+02°)
1.41253754462276e-01	(6.22675523614380e+01dB,-1.71572161771379e+02°)
1.42889395851111e-01	(6.22696764532728e+01dB,-1.71667273259386e+02°)
1.44543977074593e-01	(6.22717531990298e+01dB,-1.71761341510707e+02°)
1.46217717445672e-01	(6.22737836321607e+01dB,-1.71854376965265e+02°)
1.47910838816821e-01	(6.22757687644419e+01dB,-1.71946389992253e+02°)
1.49623565609444e-01	(6.22777095867175e+01dB,-1.72037390889107e+02°)
1.51356124843621e-01	(6.22796070688004e+01dB,-1.72127389881310e+02°)
1.53108746168203e-01	(6.22814621602033e+01dB,-1.72216397121462e+02°)
1.54881661891248e-01	(6.22832757904463e+01dB,-1.72304422688800e+02°)
1.56675107010815e-01	(6.22850488694414e+01dB,-1.72391476588678e+02°)
1.58489319246112e-01	(6.22867822877890e+01dB,-1.72477568752173e+02°)
1.60324539069005e-01	(6.22884769174857e+01dB,-1.72562709035371e+02°)
1.62181009735893e-01	(6.22901336117898e+01dB,-1.72646907219423e+02°)
1.64058977319954e-01	(6.22917532059184e+01dB,-1.72730173009917e+02°)
1.65958690743757e-01	(6.22933365173196e+01dB,-1.72812516036646e+02°)
1.67880401812256e-01	(6.22948843459391e+01dB,-1.72893945853427e+02°)
1.69824365246175e-01	(6.22963974749013e+01dB,-1.72974471937594e+02°)
1.71790838715759e-01	(6.22978766703443e+01dB,-1.73054103690233e+02°)
1.73780082874938e-01	(6.22993226820892e+01dB,-1.73132850435750e+02°)
1.75792361395870e-01	(6.23007362438849e+01dB,-1.73210721421824e+02°)
1.77827941003893e-01	(6.23021180737297e+01dB,-1.73287725819319e+02°)
1.79887091512879e-01	(6.23034688741889e+01dB,-1.73363872722231e+02°)
1.81970085860999e-01	(6.23047893327061e+01dB,-1.73439171147660e+02°)
1.84077200146896e-01	(6.23060801218254e+01dB,-1.73513630035879e+02°)
1.86208713666287e-01	(6.23073418998288e+01dB,-1.73587258250105e+02°)
1.88364908948981e-01	(6.23085753105268e+01dB,-1.73660064576944e+02°)
1.90546071796325e-01	(6.23097809838854e+01dB,-1.73732057726209e+02°)
1.92752491319094e-01	(6.23109595362272e+01dB,-1.73803246331096e+02°)
1.94984459975805e-01	(6.23121115705111e+01dB,-1.73873638948309e+02°)
