Freq.	V(vo)/V(vp)
1.00000000000000e-01	(6.04648089870426e+01dB,-1.70311525718820e+02°)
1.01157945425990e-01	(6.04676097479308e+01dB,-1.70420362964051e+02°)
1.02329299228075e-01	(6.04703485018364e+01dB,-1.70528023009785e+02°)
1.03514216667934e-01	(6.04730265837277e+01dB,-1.70634517084965e+02°)
1.04712854805090e-01	(6.04756453014228e+01dB,-1.70739856361803e+02°)
1.05925372517729e-01	(6.04782059363376e+01dB,-1.70844051953949e+02°)
1.07151930523761e-01	(6.04807097435507e+01dB,-1.70947114915464e+02°)
1.08392691402120e-01	(6.04831579524724e+01dB,-1.71049056239210e+02°)
1.09647819614319e-01	(6.04855517675096e+01dB,-1.71149886855334e+02°)
1.10917481526240e-01	(6.04878923680458e+01dB,-1.71249617630519e+02°)
1.12201845430196e-01	(6.04901809093668e+01dB,-1.71348259366324e+02°)
1.13501081567232e-01	(6.04924185229012e+01dB,-1.71445822798297e+02°)
1.14815362149688e-01	(6.04946063164551e+01dB,-1.71542318595139e+02°)
1.16144861384034e-01	(6.04967453750536e+01dB,-1.71637757357329e+02°)
1.17489755493953e-01	(6.04988367610961e+01dB,-1.71732149616484e+02°)
1.18850222743702e-01	(6.05008815148460e+01dB,-1.71825505834443e+02°)
1.20226443461741e-01	(6.05028806548468e+01dB,-1.71917836402473e+02°)
1.21618600064637e-01	(6.05048351783324e+01dB,-1.72009151640537e+02°)
1.23026877081238e-01	(6.05067460616310e+01dB,-1.72099461796611e+02°)
1.24451461177139e-01	(6.05086142605646e+01dB,-1.72188777046052e+02°)
1.25892541179417e-01	(6.05104407107725e+01dB,-1.72277107491086e+02°)
1.27350308101666e-01	(6.05122263283719e+01dB,-1.72364463160027e+02°)
1.28824955169314e-01	(6.05139720099296e+01dB,-1.72450854007168e+02°)
1.30316677845230e-01	(6.05156786330412e+01dB,-1.72536289912150e+02°)
1.31825673855641e-01	(6.05173470569067e+01dB,-1.72620780679399e+02°)
1.33352143216333e-01	(6.05189781222154e+01dB,-1.72704336038187e+02°)
1.34896288259166e-01	(6.05205726520508e+01dB,-1.72786965641848e+02°)
1.36458313658893e-01	(6.05221314516956e+01dB,-1.72868679067978e+02°)
1.38038426460289e-01	(6.05236553095950e+01dB,-1.72949485817679e+02°)
1.39636836105594e-01	(6.05251449968748e+01dB,-1.73029395316044e+02°)
1.41253754462276e-01	(6.05266012685680e+01dB,-1.73108416911264e+02°)
1.42889395851111e-01	(6.05280248634651e+01dB,-1.73186559874893e+02°)
1.44543977074593e-01	(6.05294165043005e+01dB,-1.73263833401858e+02°)
1.46217717445672e-01	(6.05307768984142e+01dB,-1.73340246610120e+02°)
1.47910838816821e-01	(6.05321067381345e+01dB,-1.73415808540595e+02°)
1.49623565609444e-01	(6.05334067004672e+01dB,-1.73490528157620e+02°)
1.51356124843621e-01	(6.05346774480852e+01dB,-1.73564414348444e+02°)
1.53108746168203e-01	(6.05359196292820e+01dB,-1.73637475923544e+02°)
1.54881661891248e-01	(6.05371338783326e+01dB,-1.73709721616645e+02°)
1.56675107010815e-01	(6.05383208158492e+01dB,-1.73781160084767e+02°)
1.58489319246112e-01	(6.05394810487873e+01dB,-1.73851799908545e+02°)
1.60324539069005e-01	(6.05406151711351e+01dB,-1.73921649592075e+02°)
1.62181009735893e-01	(6.05417237639104e+01dB,-1.73990717563277e+02°)
1.64058977319954e-01	(6.05428073954951e+01dB,-1.74059012174032e+02°)
1.65958690743757e-01	(6.05438666219665e+01dB,-1.74126541700341e+02°)
1.67880401812256e-01	(6.05449019870786e+01dB,-1.74193314342732e+02°)
1.69824365246175e-01	(6.05459140229270e+01dB,-1.74259338226226e+02°)
1.71790838715759e-01	(6.05469032499213e+01dB,-1.74324621400778e+02°)
1.73780082874938e-01	(6.05478701771652e+01dB,-1.74389171841465e+02°)
1.75792361395870e-01	(6.05488153024193e+01dB,-1.74452997448951e+02°)
1.77827941003893e-01	(6.05497391127484e+01dB,-1.74516106049527e+02°)
1.79887091512879e-01	(6.05506420844744e+01dB,-1.74578505395606e+02°)
1.81970085860999e-01	(6.05515246835397e+01dB,-1.74640203165972e+02°)
1.84077200146896e-01	(6.05523873654513e+01dB,-1.74701206966293e+02°)
1.86208713666287e-01	(6.05532305759800e+01dB,-1.74761524329180e+02°)
1.88364908948981e-01	(6.05540547508208e+01dB,-1.74821162714895e+02°)
1.90546071796325e-01	(6.05548603163524e+01dB,-1.74880129511394e+02°)
1.92752491319094e-01	(6.05556476892890e+01dB,-1.74938432035050e+02°)
1.94984459975805e-01	(6.05564172774324e+01dB,-1.74996077530721e+02°)
1.97242273611486e-01	(6.05571694793158e+01dB,-1.75053073172487e+02°)
1.99526231496889e-01	(6.05579046849478e+01dB,-1.75109426063739e+02°)
2.01836636368157e-01	(6.05586232755173e+01dB,-1.75165143237891e+02°)
2.04173794466954e-01	(6.05593256237854e+01dB,-1.75220231658683e+02°)
2.06538015581054e-01	(6.05600120944729e+01dB,-1.75274698220512e+02°)
2.08929613085405e-01	(6.05606830440234e+01dB,-1.75328549749107e+02°)
2.11348903983666e-01	(6.05613388210529e+01dB,-1.75381793001827e+02°)
2.13796208950224e-01	(6.05619797664510e+01dB,-1.75434434668157e+02°)
2.16271852372703e-01	(6.05626062135473e+01dB,-1.75486481370172e+02°)
2.18776162394956e-01	(6.05632184882747e+01dB,-1.75537939663003e+02°)
2.21309470960565e-01	(6.05638169093292e+01dB,-1.75588816035312e+02°)
2.23872113856835e-01	(6.05644017883268e+01dB,-1.75639116909767e+02°)
2.26464430759307e-01	(6.05649734300260e+01dB,-1.75688848643491e+02°)
2.29086765276778e-01	(6.05655321322010e+01dB,-1.75738017528677e+02°)
2.31739464996849e-01	(6.05660781862046e+01dB,-1.75786629792878e+02°)
2.34422881531993e-01	(6.05666118769043e+01dB,-1.75834691599594e+02°)
2.37137370566167e-01	(6.05671334826160e+01dB,-1.75882209048868e+02°)
2.39883291901950e-01	(6.05676432757267e+01dB,-1.75929188177544e+02°)
2.42661009508243e-01	(6.05681415223455e+01dB,-1.75975634960000e+02°)
2.45470891568504e-01	(6.05686284827126e+01dB,-1.76021555308513e+02°)
2.48313310529558e-01	(6.05691044111913e+01dB,-1.76066955073821e+02°)
2.51188643150959e-01	(6.05695695566711e+01dB,-1.76111840045503e+02°)
2.54097270554932e-01	(6.05700241622775e+01dB,-1.76156215952664e+02°)
2.57039578276888e-01	(6.05704684658395e+01dB,-1.76200088464290e+02°)
2.60015956316529e-01	(6.05709026996628e+01dB,-1.76243463189895e+02°)
2.63026799189540e-01	(6.05713270910617e+01dB,-1.76286345679850e+02°)
2.66072505979882e-01	(6.05717418621969e+01dB,-1.76328741426005e+02°)
2.69153480392693e-01	(6.05721472303252e+01dB,-1.76370655862134e+02°)
2.72270130807793e-01	(6.05725434076323e+01dB,-1.76412094364555e+02°)
2.75422870333818e-01	(6.05729306018938e+01dB,-1.76453062252400e+02°)
2.78612116862979e-01	(6.05733090158184e+01dB,-1.76493564788438e+02°)
2.81838293126447e-01	(6.05736788477734e+01dB,-1.76533607179313e+02°)
2.85101826750393e-01	(6.05740402918167e+01dB,-1.76573194576080e+02°)
2.88403150312662e-01	(6.05743935374478e+01dB,-1.76612332074843e+02°)
2.91742701400118e-01	(6.05747387699815e+01dB,-1.76651024717139e+02°)
2.95120922666640e-01	(6.05750761705730e+01dB,-1.76689277490469e+02°)
2.98538261891798e-01	(6.05754059163092e+01dB,-1.76727095328786e+02°)
3.01995172040203e-01	(6.05757281803691e+01dB,-1.76764483112972e+02°)
3.05492111321553e-01	(6.05760431318337e+01dB,-1.76801445671426e+02°)
3.09029543251361e-01	(6.05763509362584e+01dB,-1.76837987780379e+02°)
3.12607936712398e-01	(6.05766517552022e+01dB,-1.76874114164586e+02°)
