vreg	V(vo)
0.000000000000000e+00	7.754413e-12
1.000000000000000e-02	6.839836e-10
2.000000000000000e-02	1.588395e-09
3.000000000000000e-02	2.789617e-09
4.000000000000000e-02	4.370398e-09
5.000000000000000e-02	6.425631e-09
6.000000000000000e-02	9.056255e-09
7.000000000000001e-02	1.235732e-08
8.000000000000000e-02	1.639950e-08
9.000000000000000e-02	2.120583e-08
9.999999999999999e-02	2.672990e-08
1.100000000000000e-01	3.284503e-08
1.200000000000000e-01	3.935413e-08
1.300000000000000e-01	4.602340e-08
1.400000000000000e-01	5.263095e-08
1.500000000000000e-01	5.901446e-08
1.600000000000000e-01	6.510047e-08
1.700000000000000e-01	7.090940e-08
1.800000000000000e-01	7.653786e-08
1.900000000000000e-01	8.212815e-08
2.000000000000000e-01	8.783508e-08
2.100000000000000e-01	9.379465e-08
2.200000000000001e-01	1.001016e-07
2.300000000000001e-01	1.067984e-07
2.400000000000001e-01	1.138646e-07
2.500000000000001e-01	1.212162e-07
2.600000000000001e-01	1.287240e-07
2.700000000000001e-01	1.362082e-07
2.800000000000001e-01	1.434810e-07
2.900000000000001e-01	1.503558e-07
3.000000000000001e-01	1.566735e-07
3.100000000000001e-01	1.623254e-07
3.200000000000001e-01	1.672818e-07
3.300000000000001e-01	1.715320e-07
3.400000000000001e-01	1.751412e-07
3.500000000000001e-01	1.781905e-07
3.600000000000002e-01	1.807636e-07
3.700000000000002e-01	1.829475e-07
3.800000000000002e-01	1.848255e-07
3.900000000000002e-01	1.864624e-07
4.000000000000002e-01	1.879088e-07
4.100000000000002e-01	1.892369e-07
4.200000000000002e-01	1.904512e-07
4.300000000000002e-01	1.915877e-07
4.400000000000002e-01	1.926761e-07
4.500000000000002e-01	1.937158e-07
4.600000000000002e-01	1.947267e-07
4.700000000000003e-01	1.957170e-07
4.800000000000003e-01	1.966997e-07
4.900000000000003e-01	1.976669e-07
5.000000000000002e-01	1.986232e-07
5.100000000000002e-01	1.995759e-07
5.200000000000002e-01	2.005320e-07
5.300000000000002e-01	2.014749e-07
5.400000000000003e-01	2.024208e-07
5.500000000000003e-01	2.033670e-07
5.600000000000003e-01	2.043179e-07
5.700000000000003e-01	2.052569e-07
5.800000000000003e-01	2.062075e-07
5.900000000000003e-01	2.071547e-07
6.000000000000003e-01	2.081054e-07
6.100000000000003e-01	2.090585e-07
6.200000000000003e-01	2.100065e-07
6.300000000000003e-01	2.109609e-07
6.400000000000003e-01	2.119190e-07
6.500000000000004e-01	2.128768e-07
6.600000000000004e-01	2.138295e-07
6.700000000000004e-01	2.147924e-07
6.800000000000004e-01	2.157558e-07
6.900000000000004e-01	2.167189e-07
7.000000000000004e-01	2.176832e-07
7.100000000000004e-01	2.186516e-07
7.200000000000004e-01	2.196134e-07
7.300000000000004e-01	2.205881e-07
7.400000000000004e-01	2.215558e-07
7.500000000000004e-01	2.225308e-07
7.600000000000005e-01	2.235055e-07
7.700000000000005e-01	2.244751e-07
7.800000000000005e-01	2.254531e-07
7.900000000000005e-01	2.264350e-07
8.000000000000005e-01	2.274182e-07
8.100000000000005e-01	2.283925e-07
8.200000000000005e-01	2.293825e-07
8.300000000000005e-01	2.303736e-07
8.400000000000005e-01	2.313569e-07
8.500000000000005e-01	2.323462e-07
8.600000000000005e-01	2.333306e-07
8.700000000000006e-01	2.343270e-07
8.800000000000006e-01	2.353106e-07
8.900000000000006e-01	2.363065e-07
9.000000000000006e-01	2.372996e-07
9.100000000000006e-01	2.382902e-07
9.200000000000006e-01	2.393004e-07
9.300000000000006e-01	2.402962e-07
9.400000000000006e-01	2.412927e-07
9.500000000000006e-01	2.422987e-07
9.600000000000006e-01	2.432973e-07
9.700000000000006e-01	2.443029e-07
9.800000000000006e-01	2.453093e-07
9.900000000000007e-01	2.463164e-07
1.000000000000001e+00	2.473261e-07
1.010000000000001e+00	2.483330e-07
1.020000000000001e+00	2.493388e-07
1.030000000000001e+00	2.503568e-07
1.040000000000001e+00	2.513663e-07
1.050000000000001e+00	2.523901e-07
1.060000000000001e+00	2.534001e-07
1.070000000000001e+00	2.544149e-07
1.080000000000001e+00	2.554436e-07
1.090000000000001e+00	2.564604e-07
1.100000000000001e+00	2.574810e-07
1.110000000000001e+00	2.585030e-07
1.120000000000001e+00	2.595354e-07
1.130000000000001e+00	2.605507e-07
1.140000000000001e+00	2.615836e-07
1.150000000000001e+00	2.626173e-07
1.160000000000001e+00	2.636376e-07
1.170000000000001e+00	2.646706e-07
1.180000000000001e+00	2.656984e-07
1.190000000000001e+00	2.667418e-07
1.200000000000001e+00	2.677698e-07
1.210000000000001e+00	2.688131e-07
1.220000000000001e+00	2.698428e-07
1.230000000000001e+00	2.708838e-07
1.240000000000001e+00	2.719231e-07
1.250000000000001e+00	2.729705e-07
1.260000000000001e+00	2.740130e-07
1.270000000000001e+00	2.750554e-07
1.280000000000001e+00	2.760999e-07
1.290000000000001e+00	2.771471e-07
1.300000000000001e+00	2.782002e-07
1.310000000000001e+00	2.792499e-07
1.320000000000001e+00	2.802996e-07
1.330000000000001e+00	2.813570e-07
1.340000000000001e+00	2.824101e-07
1.350000000000001e+00	2.834553e-07
1.360000000000001e+00	2.845159e-07
1.370000000000001e+00	2.855771e-07
1.380000000000001e+00	2.866215e-07
1.390000000000001e+00	2.876827e-07
1.400000000000001e+00	2.887478e-07
1.410000000000001e+00	2.898072e-07
1.420000000000001e+00	2.908687e-07
1.430000000000001e+00	2.919315e-07
1.440000000000001e+00	2.929948e-07
1.450000000000001e+00	2.940629e-07
1.460000000000001e+00	2.951305e-07
1.470000000000001e+00	2.961953e-07
1.480000000000001e+00	2.972690e-07
1.490000000000001e+00	2.983393e-07
1.500000000000001e+00	2.994092e-07
1.510000000000001e+00	3.004827e-07
1.520000000000001e+00	3.015538e-07
1.530000000000001e+00	3.026373e-07
1.540000000000001e+00	3.037099e-07
1.550000000000001e+00	3.047818e-07
1.560000000000001e+00	3.058641e-07
1.570000000000001e+00	3.069486e-07
1.580000000000001e+00	3.080245e-07
1.590000000000001e+00	3.091135e-07
1.600000000000001e+00	3.101986e-07
1.610000000000001e+00	3.112787e-07
1.620000000000001e+00	3.123711e-07
1.630000000000001e+00	3.134578e-07
1.640000000000001e+00	3.145485e-07
1.650000000000001e+00	3.156372e-07
1.660000000000001e+00	3.167408e-07
1.670000000000001e+00	3.178647e-07
1.680000000000001e+00	3.189647e-07
1.690000000000001e+00	3.200910e-07
1.700000000000001e+00	3.212346e-07
1.710000000000001e+00	3.223919e-07
1.720000000000001e+00	3.235805e-07
1.730000000000001e+00	3.248180e-07
1.740000000000001e+00	3.261142e-07
1.750000000000001e+00	3.275235e-07
1.760000000000001e+00	3.290460e-07
1.770000000000001e+00	3.307790e-07
1.780000000000001e+00	3.328166e-07
1.790000000000001e+00	3.352895e-07
1.800000000000001e+00	3.383918e-07
1.810000000000001e+00	3.424383e-07
1.820000000000001e+00	3.478571e-07
1.830000000000001e+00	3.553184e-07
1.840000000000001e+00	3.657655e-07
1.850000000000001e+00	3.806425e-07
1.860000000000001e+00	4.021154e-07
1.870000000000001e+00	4.333608e-07
1.880000000000001e+00	4.792572e-07
1.890000000000001e+00	5.471786e-07
1.900000000000001e+00	6.482909e-07
1.910000000000001e+00	7.995025e-07
1.920000000000001e+00	1.026464e-06
1.930000000000001e+00	1.367738e-06
1.940000000000002e+00	1.881177e-06
1.950000000000002e+00	2.653258e-06
1.960000000000002e+00	3.812766e-06
1.970000000000002e+00	5.551098e-06
1.980000000000002e+00	8.152219e-06
1.990000000000002e+00	1.203653e-05
2.000000000000001e+00	1.782587e-05
2.010000000000001e+00	2.643865e-05
2.020000000000001e+00	3.923006e-05
2.030000000000001e+00	5.819769e-05
2.040000000000000e+00	8.628359e-05
2.050000000000000e+00	1.278174e-04
2.060000000000000e+00	1.891664e-04
2.070000000000000e+00	2.796878e-04
2.080000000000000e+00	4.131255e-04
2.089999999999999e+00	6.096535e-04
2.099999999999999e+00	8.988687e-04
2.109999999999999e+00	1.324166e-03
2.119999999999999e+00	1.949130e-03
2.129999999999999e+00	2.866865e-03
2.139999999999998e+00	4.213572e-03
2.149999999999998e+00	6.188275e-03
2.159999999999998e+00	9.081363e-03
2.169999999999998e+00	1.331563e-02
2.179999999999997e+00	1.950487e-02
2.189999999999997e+00	2.853640e-02
2.199999999999997e+00	4.168539e-02
2.209999999999997e+00	6.076881e-02
2.219999999999997e+00	8.834445e-02
2.229999999999996e+00	1.279517e-01
2.239999999999996e+00	1.843726e-01
2.249999999999996e+00	2.638585e-01
2.259999999999996e+00	3.742276e-01
2.269999999999996e+00	5.247020e-01
2.279999999999995e+00	7.253671e-01
2.289999999999995e+00	9.862168e-01
2.299999999999995e+00	1.315770e+00
2.309999999999995e+00	1.498527e+00
2.319999999999995e+00	1.538029e+00
2.329999999999994e+00	1.564319e+00
2.339999999999994e+00	1.585508e+00
2.349999999999994e+00	1.604119e+00
2.359999999999994e+00	1.620887e+00
2.369999999999993e+00	1.636111e+00
2.379999999999993e+00	1.650139e+00
2.389999999999993e+00	1.663190e+00
2.399999999999993e+00	1.675438e+00
2.409999999999993e+00	1.687033e+00
2.419999999999992e+00	1.698100e+00
2.429999999999992e+00	1.708744e+00
2.439999999999992e+00	1.719045e+00
2.449999999999992e+00	1.729068e+00
2.459999999999992e+00	1.738859e+00
2.469999999999991e+00	1.748454e+00
2.479999999999991e+00	1.757879e+00
2.489999999999991e+00	1.767153e+00
2.499999999999991e+00	1.776293e+00
2.509999999999990e+00	1.785315e+00
2.519999999999990e+00	1.794239e+00
2.529999999999990e+00	1.803085e+00
2.539999999999990e+00	1.811880e+00
2.549999999999990e+00	1.820653e+00
2.559999999999989e+00	1.829436e+00
2.569999999999989e+00	1.838259e+00
2.579999999999989e+00	1.847151e+00
2.589999999999989e+00	1.856133e+00
2.599999999999989e+00	1.865216e+00
2.609999999999988e+00	1.874403e+00
2.619999999999988e+00	1.883686e+00
2.629999999999988e+00	1.893054e+00
2.639999999999988e+00	1.902491e+00
2.649999999999987e+00	1.911984e+00
2.659999999999987e+00	1.921517e+00
2.669999999999987e+00	1.931082e+00
2.679999999999987e+00	1.940669e+00
2.689999999999987e+00	1.950271e+00
2.699999999999986e+00	1.959885e+00
2.709999999999986e+00	1.969508e+00
2.719999999999986e+00	1.979136e+00
2.729999999999986e+00	1.988767e+00
2.739999999999986e+00	1.998402e+00
2.749999999999985e+00	2.008038e+00
2.759999999999985e+00	2.017676e+00
2.769999999999985e+00	2.027315e+00
2.779999999999985e+00	2.036955e+00
2.789999999999984e+00	2.046595e+00
2.799999999999984e+00	2.056236e+00
2.809999999999984e+00	2.065877e+00
2.819999999999984e+00	2.075518e+00
2.829999999999984e+00	2.085159e+00
2.839999999999983e+00	2.094800e+00
2.849999999999983e+00	2.104442e+00
2.859999999999983e+00	2.114084e+00
2.869999999999983e+00	2.123725e+00
2.879999999999983e+00	2.133367e+00
2.889999999999982e+00	2.143009e+00
2.899999999999982e+00	2.152651e+00
2.909999999999982e+00	2.162293e+00
2.919999999999982e+00	2.171935e+00
2.929999999999982e+00	2.181577e+00
2.939999999999981e+00	2.191220e+00
2.949999999999981e+00	2.200862e+00
2.959999999999981e+00	2.210504e+00
2.969999999999981e+00	2.220146e+00
2.979999999999980e+00	2.229789e+00
2.989999999999980e+00	2.239431e+00
2.999999999999980e+00	2.249074e+00
3.009999999999980e+00	2.258716e+00
3.019999999999980e+00	2.268358e+00
3.029999999999979e+00	2.278001e+00
3.039999999999979e+00	2.287643e+00
3.049999999999979e+00	2.297286e+00
3.059999999999979e+00	2.306928e+00
3.069999999999979e+00	2.316571e+00
3.079999999999978e+00	2.326213e+00
3.089999999999978e+00	2.335856e+00
3.099999999999978e+00	2.345498e+00
3.109999999999978e+00	2.355141e+00
3.119999999999977e+00	2.364783e+00
3.129999999999977e+00	2.374426e+00
3.139999999999977e+00	2.384068e+00
3.149999999999977e+00	2.393711e+00
3.159999999999977e+00	2.403353e+00
3.169999999999976e+00	2.412996e+00
3.179999999999976e+00	2.422638e+00
3.189999999999976e+00	2.432280e+00
3.199999999999976e+00	2.441923e+00
3.209999999999976e+00	2.451565e+00
3.219999999999975e+00	2.461207e+00
3.229999999999975e+00	2.470850e+00
3.239999999999975e+00	2.480492e+00
3.249999999999975e+00	2.490134e+00
3.259999999999974e+00	2.499777e+00
3.269999999999974e+00	2.509419e+00
3.279999999999974e+00	2.519061e+00
3.289999999999974e+00	2.528703e+00
3.299999999999974e+00	2.538345e+00
3.309999999999973e+00	2.547987e+00
3.319999999999973e+00	2.557629e+00
3.329999999999973e+00	2.567271e+00
3.339999999999973e+00	2.576913e+00
3.349999999999973e+00	2.586555e+00
3.359999999999972e+00	2.596197e+00
3.369999999999972e+00	2.605839e+00
3.379999999999972e+00	2.615481e+00
3.389999999999972e+00	2.625123e+00
3.399999999999971e+00	2.634764e+00
3.409999999999971e+00	2.644406e+00
3.419999999999971e+00	2.654047e+00
3.429999999999971e+00	2.663689e+00
3.439999999999971e+00	2.673331e+00
3.449999999999970e+00	2.682972e+00
3.459999999999970e+00	2.692613e+00
3.469999999999970e+00	2.702255e+00
3.479999999999970e+00	2.711896e+00
3.489999999999970e+00	2.721537e+00
3.499999999999969e+00	2.731178e+00
3.509999999999969e+00	2.740819e+00
3.519999999999969e+00	2.750460e+00
3.529999999999969e+00	2.760101e+00
3.539999999999969e+00	2.769742e+00
3.549999999999968e+00	2.779383e+00
3.559999999999968e+00	2.789024e+00
3.569999999999968e+00	2.798664e+00
3.579999999999968e+00	2.808305e+00
3.589999999999967e+00	2.817945e+00
3.599999999999967e+00	2.827586e+00
3.609999999999967e+00	2.837226e+00
3.619999999999967e+00	2.846867e+00
3.629999999999967e+00	2.856507e+00
3.639999999999966e+00	2.866147e+00
3.649999999999966e+00	2.875787e+00
3.659999999999966e+00	2.885427e+00
3.669999999999966e+00	2.895067e+00
3.679999999999966e+00	2.904707e+00
3.689999999999965e+00	2.914347e+00
3.699999999999965e+00	2.923987e+00
3.709999999999965e+00	2.933626e+00
3.719999999999965e+00	2.943266e+00
3.729999999999964e+00	2.952905e+00
3.739999999999964e+00	2.962545e+00
3.749999999999964e+00	2.972184e+00
3.759999999999964e+00	2.981823e+00
3.769999999999964e+00	2.991462e+00
3.779999999999963e+00	3.001102e+00
3.789999999999963e+00	3.010741e+00
3.799999999999963e+00	3.020380e+00
3.809999999999963e+00	3.030018e+00
3.819999999999963e+00	3.039657e+00
3.829999999999962e+00	3.049296e+00
3.839999999999962e+00	3.058934e+00
3.849999999999962e+00	3.068573e+00
3.859999999999962e+00	3.078211e+00
3.869999999999961e+00	3.087850e+00
3.879999999999961e+00	3.097488e+00
3.889999999999961e+00	3.107126e+00
3.899999999999961e+00	3.116764e+00
3.909999999999961e+00	3.126402e+00
3.919999999999960e+00	3.136040e+00
3.929999999999960e+00	3.145678e+00
3.939999999999960e+00	3.155315e+00
3.949999999999960e+00	3.164953e+00
3.959999999999960e+00	3.174591e+00
3.969999999999959e+00	3.184228e+00
3.979999999999959e+00	3.193865e+00
3.989999999999959e+00	3.203503e+00
3.999999999999959e+00	3.213140e+00
4.009999999999959e+00	3.222777e+00
4.019999999999959e+00	3.232414e+00
4.029999999999959e+00	3.242051e+00
4.039999999999958e+00	3.251688e+00
4.049999999999958e+00	3.261324e+00
4.059999999999958e+00	3.270961e+00
4.069999999999958e+00	3.280597e+00
4.079999999999957e+00	3.290234e+00
4.089999999999957e+00	3.299870e+00
4.099999999999957e+00	3.309506e+00
4.109999999999957e+00	3.319142e+00
4.119999999999957e+00	3.328778e+00
4.129999999999956e+00	3.338414e+00
4.139999999999956e+00	3.348050e+00
4.149999999999956e+00	3.357686e+00
4.159999999999956e+00	3.367321e+00
4.169999999999956e+00	3.376957e+00
4.179999999999955e+00	3.386592e+00
4.189999999999955e+00	3.396228e+00
4.199999999999955e+00	3.405863e+00
4.209999999999955e+00	3.415498e+00
4.219999999999954e+00	3.425133e+00
4.229999999999954e+00	3.434768e+00
4.239999999999954e+00	3.444403e+00
4.249999999999954e+00	3.454037e+00
4.259999999999954e+00	3.463672e+00
4.269999999999953e+00	3.473306e+00
4.279999999999953e+00	3.482941e+00
4.289999999999953e+00	3.492575e+00
4.299999999999953e+00	3.502209e+00
4.309999999999953e+00	3.511843e+00
4.319999999999952e+00	3.521477e+00
4.329999999999952e+00	3.531111e+00
4.339999999999952e+00	3.540745e+00
4.349999999999952e+00	3.550379e+00
4.359999999999951e+00	3.560013e+00
4.369999999999951e+00	3.569646e+00
4.379999999999951e+00	3.579279e+00
4.389999999999951e+00	3.588913e+00
4.399999999999951e+00	3.598546e+00
4.409999999999950e+00	3.608179e+00
4.419999999999950e+00	3.617812e+00
4.429999999999950e+00	3.627445e+00
4.439999999999950e+00	3.637078e+00
4.449999999999950e+00	3.646710e+00
4.459999999999949e+00	3.656343e+00
4.469999999999949e+00	3.665975e+00
4.479999999999949e+00	3.675608e+00
4.489999999999949e+00	3.685240e+00
4.499999999999948e+00	3.694872e+00
4.509999999999948e+00	3.704504e+00
4.519999999999948e+00	3.714136e+00
4.529999999999948e+00	3.723768e+00
4.539999999999948e+00	3.733400e+00
4.549999999999947e+00	3.743031e+00
4.559999999999947e+00	3.752663e+00
4.569999999999947e+00	3.762294e+00
4.579999999999947e+00	3.771925e+00
4.589999999999947e+00	3.781557e+00
4.599999999999946e+00	3.791188e+00
4.609999999999946e+00	3.800819e+00
4.619999999999946e+00	3.810449e+00
4.629999999999946e+00	3.820080e+00
4.639999999999946e+00	3.829711e+00
4.649999999999945e+00	3.839341e+00
4.659999999999945e+00	3.848972e+00
4.669999999999945e+00	3.858602e+00
4.679999999999945e+00	3.868232e+00
4.689999999999944e+00	3.877862e+00
4.699999999999944e+00	3.887492e+00
4.709999999999944e+00	3.897122e+00
4.719999999999944e+00	3.906752e+00
4.729999999999944e+00	3.916382e+00
4.739999999999943e+00	3.926012e+00
4.749999999999943e+00	3.935641e+00
4.759999999999943e+00	3.945270e+00
4.769999999999943e+00	3.954900e+00
4.779999999999943e+00	3.964529e+00
4.789999999999942e+00	3.974158e+00
4.799999999999942e+00	3.983787e+00
4.809999999999942e+00	3.993415e+00
4.819999999999942e+00	4.003044e+00
4.829999999999941e+00	4.012673e+00
4.839999999999941e+00	4.022301e+00
4.849999999999941e+00	4.031929e+00
4.859999999999941e+00	4.041558e+00
4.869999999999941e+00	4.051186e+00
4.879999999999940e+00	4.060814e+00
4.889999999999940e+00	4.070442e+00
4.899999999999940e+00	4.080070e+00
4.909999999999940e+00	4.089697e+00
4.919999999999940e+00	4.099325e+00
4.929999999999939e+00	4.108953e+00
4.939999999999939e+00	4.118580e+00
4.949999999999939e+00	4.128207e+00
4.959999999999939e+00	4.137835e+00
4.969999999999938e+00	4.147461e+00
4.979999999999938e+00	4.157088e+00
4.989999999999938e+00	4.166715e+00
4.999999999999938e+00	4.176342e+00
5.009999999999938e+00	4.185968e+00
5.019999999999937e+00	4.195595e+00
5.029999999999937e+00	4.205222e+00
5.039999999999937e+00	4.214848e+00
5.049999999999937e+00	4.224474e+00
5.059999999999937e+00	4.234100e+00
5.069999999999936e+00	4.243726e+00
5.079999999999936e+00	4.253352e+00
5.089999999999936e+00	4.262978e+00
5.099999999999936e+00	4.272603e+00
5.109999999999935e+00	4.282228e+00
5.119999999999935e+00	4.291854e+00
5.129999999999935e+00	4.301479e+00
5.139999999999935e+00	4.311104e+00
5.149999999999935e+00	4.320729e+00
5.159999999999934e+00	4.330354e+00
5.169999999999934e+00	4.339979e+00
5.179999999999934e+00	4.349604e+00
5.189999999999934e+00	4.359229e+00
5.199999999999934e+00	4.368853e+00
5.209999999999933e+00	4.378477e+00
5.219999999999933e+00	4.388102e+00
5.229999999999933e+00	4.397726e+00
5.239999999999933e+00	4.407350e+00
5.249999999999932e+00	4.416974e+00
5.259999999999932e+00	4.426598e+00
5.269999999999932e+00	4.436221e+00
5.279999999999932e+00	4.445845e+00
5.289999999999932e+00	4.455468e+00
5.299999999999931e+00	4.465091e+00
5.309999999999931e+00	4.474714e+00
5.319999999999931e+00	4.484337e+00
5.329999999999931e+00	4.493960e+00
5.339999999999931e+00	4.503583e+00
5.349999999999930e+00	4.513206e+00
5.359999999999930e+00	4.522829e+00
5.369999999999930e+00	4.532451e+00
5.379999999999930e+00	4.542073e+00
5.389999999999930e+00	4.551695e+00
5.399999999999929e+00	4.561317e+00
5.409999999999929e+00	4.570939e+00
5.419999999999929e+00	4.580560e+00
5.429999999999929e+00	4.590181e+00
5.439999999999928e+00	4.599802e+00
5.449999999999928e+00	4.609423e+00
5.459999999999928e+00	4.619043e+00
5.469999999999928e+00	4.628663e+00
5.479999999999928e+00	4.638283e+00
5.489999999999927e+00	4.647902e+00
5.499999999999927e+00	4.657521e+00
5.509999999999927e+00	4.667139e+00
5.519999999999927e+00	4.676756e+00
5.529999999999927e+00	4.686372e+00
5.539999999999926e+00	4.695988e+00
5.549999999999926e+00	4.705602e+00
5.559999999999926e+00	4.715215e+00
5.569999999999926e+00	4.724826e+00
5.579999999999925e+00	4.734436e+00
5.589999999999925e+00	4.744043e+00
5.599999999999925e+00	4.753647e+00
5.609999999999925e+00	4.763248e+00
5.619999999999925e+00	4.772845e+00
5.629999999999924e+00	4.782437e+00
5.639999999999924e+00	4.792024e+00
5.649999999999924e+00	4.801603e+00
5.659999999999924e+00	4.811174e+00
5.669999999999924e+00	4.820735e+00
5.679999999999923e+00	4.830284e+00
5.689999999999923e+00	4.839818e+00
5.699999999999923e+00	4.849334e+00
5.709999999999923e+00	4.858828e+00
5.719999999999922e+00	4.868294e+00
5.729999999999922e+00	4.877727e+00
5.739999999999922e+00	4.887117e+00
5.749999999999922e+00	4.896455e+00
5.759999999999922e+00	4.905727e+00
5.769999999999921e+00	4.914913e+00
5.779999999999921e+00	4.923989e+00
5.789999999999921e+00	4.932923e+00
5.799999999999921e+00	4.941671e+00
5.809999999999921e+00	4.950176e+00
5.819999999999920e+00	4.958368e+00
5.829999999999920e+00	4.966159e+00
5.839999999999920e+00	4.973453e+00
5.849999999999920e+00	4.980145e+00
5.859999999999919e+00	4.986142e+00
5.869999999999919e+00	4.991368e+00
5.879999999999919e+00	4.995782e+00
5.889999999999919e+00	4.999393e+00
5.899999999999919e+00	5.002255e+00
5.909999999999918e+00	5.004459e+00
5.919999999999918e+00	5.006117e+00
5.929999999999918e+00	5.007340e+00
5.939999999999918e+00	5.008230e+00
5.949999999999918e+00	5.008871e+00
5.959999999999917e+00	5.009332e+00
5.969999999999917e+00	5.009662e+00
5.979999999999917e+00	5.009899e+00
5.989999999999917e+00	5.010070e+00
5.999999999999917e+00	5.010195e+00
6.009999999999916e+00	5.010288e+00
6.019999999999916e+00	5.010359e+00
6.029999999999916e+00	5.010413e+00
6.039999999999916e+00	5.010457e+00
6.049999999999915e+00	5.010492e+00
6.059999999999915e+00	5.010522e+00
6.069999999999915e+00	5.010549e+00
6.079999999999915e+00	5.010573e+00
6.089999999999915e+00	5.010595e+00
6.099999999999914e+00	5.010615e+00
6.109999999999914e+00	5.010635e+00
6.119999999999914e+00	5.010654e+00
6.129999999999914e+00	5.010673e+00
