vreg	V(vo)
0.000000000000000e+00	1.172159e-10
1.000000000000000e-02	1.033924e-08
2.000000000000000e-02	2.401050e-08
3.000000000000000e-02	4.216840e-08
4.000000000000000e-02	6.606375e-08
5.000000000000000e-02	9.713096e-08
6.000000000000000e-02	1.368958e-07
7.000000000000001e-02	1.867951e-07
8.000000000000000e-02	2.478969e-07
9.000000000000000e-02	3.205497e-07
9.999999999999999e-02	4.040518e-07
1.100000000000000e-01	4.964883e-07
1.200000000000000e-01	5.948804e-07
1.300000000000000e-01	6.956932e-07
1.400000000000000e-01	7.955742e-07
1.500000000000000e-01	8.920670e-07
1.600000000000000e-01	9.840642e-07
1.700000000000000e-01	1.071874e-06
1.800000000000000e-01	1.156952e-06
1.900000000000000e-01	1.241453e-06
2.000000000000000e-01	1.327723e-06
2.100000000000000e-01	1.417801e-06
2.200000000000001e-01	1.513148e-06
2.300000000000001e-01	1.614380e-06
2.400000000000001e-01	1.721179e-06
2.500000000000001e-01	1.832347e-06
2.600000000000001e-01	1.945783e-06
2.700000000000001e-01	2.058966e-06
2.800000000000001e-01	2.168884e-06
2.900000000000001e-01	2.272802e-06
3.000000000000001e-01	2.368260e-06
3.100000000000001e-01	2.453756e-06
3.200000000000001e-01	2.528657e-06
3.300000000000001e-01	2.592956e-06
3.400000000000001e-01	2.647489e-06
3.500000000000001e-01	2.693515e-06
3.600000000000002e-01	2.732472e-06
3.700000000000002e-01	2.765466e-06
3.800000000000002e-01	2.793847e-06
3.900000000000002e-01	2.818568e-06
4.000000000000002e-01	2.840586e-06
4.100000000000002e-01	2.860517e-06
4.200000000000002e-01	2.878883e-06
4.300000000000002e-01	2.896121e-06
4.400000000000002e-01	2.912522e-06
4.500000000000002e-01	2.928263e-06
4.600000000000002e-01	2.943648e-06
4.700000000000003e-01	2.958544e-06
4.800000000000003e-01	2.973293e-06
4.900000000000003e-01	2.988028e-06
5.000000000000002e-01	3.002418e-06
5.100000000000002e-01	3.016739e-06
5.200000000000002e-01	3.031206e-06
5.300000000000002e-01	3.045421e-06
5.400000000000003e-01	3.059842e-06
5.500000000000003e-01	3.074162e-06
5.600000000000003e-01	3.088395e-06
5.700000000000003e-01	3.102716e-06
5.800000000000003e-01	3.117144e-06
5.900000000000003e-01	3.131523e-06
6.000000000000003e-01	3.145773e-06
6.100000000000003e-01	3.160229e-06
6.200000000000003e-01	3.174576e-06
6.300000000000003e-01	3.189005e-06
6.400000000000003e-01	3.203442e-06
6.500000000000004e-01	3.217827e-06
6.600000000000004e-01	3.232300e-06
6.700000000000004e-01	3.246931e-06
6.800000000000004e-01	3.261354e-06
6.900000000000004e-01	3.275967e-06
7.000000000000004e-01	3.290471e-06
